unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1639440000000,2021-12-14 00:00:00,BTT/USDT,0.00283900,0.00287800,0.00270900,0.00283200,15678678542.00000000,43860333.57411400,161887
1639353600000,2021-12-13 00:00:00,BTT/USDT,0.00328300,0.00333000,0.00278600,0.00283800,14383865391.00000000,43194493.21914300,133914
1639267200000,2021-12-12 00:00:00,BTT/USDT,0.00343900,0.00353300,0.00320300,0.00328200,17558016876.00000000,58576106.59643500,140392
1639180800000,2021-12-11 00:00:00,BTT/USDT,0.00308700,0.00343900,0.00300300,0.00343800,26639975772.00000000,87733857.80605100,212840
1639094400000,2021-12-10 00:00:00,BTT/USDT,0.00323800,0.00339900,0.00307300,0.00308900,25535672797.00000000,83074712.05871500,210361
1639008000000,2021-12-09 00:00:00,BTT/USDT,0.00374600,0.00387200,0.00322600,0.00323800,29520102241.00000000,101970908.46272200,281324
1638921600000,2021-12-08 00:00:00,BTT/USDT,0.00368800,0.00419800,0.00356600,0.00374600,65750538322.00000000,254685911.51109300,654174
1638835200000,2021-12-07 00:00:00,BTT/USDT,0.00334300,0.00405000,0.00315400,0.00368900,115822715106.00000000,430771486.31434800,1144033
1638748800000,2021-12-06 00:00:00,BTT/USDT,0.00246600,0.00355200,0.00231600,0.00334300,119799169209.00000000,359802390.66939900,888516
1638662400000,2021-12-05 00:00:00,BTT/USDT,0.00259700,0.00264600,0.00238400,0.00246500,25346217827.00000000,63726079.97263900,91361
1638576000000,2021-12-04 00:00:00,BTT/USDT,0.00296200,0.00296700,0.00200200,0.00259700,36849537987.00000000,91951470.23664890,226532
1638489600000,2021-12-03 00:00:00,BTT/USDT,0.00313800,0.00318400,0.00285000,0.00296400,17826592449.00000000,54768712.62322240,105947
1638403200000,2021-12-02 00:00:00,BTT/USDT,0.00314100,0.00320800,0.00305700,0.00313900,13928508905.00000000,43513779.96795300,78716
1638316800000,2021-12-01 00:00:00,BTT/USDT,0.00316100,0.00322500,0.00309000,0.00314100,14700572298.00000000,46597916.22491400,89911
1638230400000,2021-11-30 00:00:00,BTT/USDT,0.00320900,0.00324400,0.00311000,0.00316000,16978568809.00000000,53984709.25288000,99142
1638144000000,2021-11-29 00:00:00,BTT/USDT,0.00316800,0.00323300,0.00312400,0.00320900,13567156526.00000000,43113905.10692200,84940
1638057600000,2021-11-28 00:00:00,BTT/USDT,0.00313700,0.00316800,0.00295500,0.00316600,16609937623.00000000,50968170.82939100,88100
1637971200000,2021-11-27 00:00:00,BTT/USDT,0.00310600,0.00324600,0.00309000,0.00313700,13934676006.00000000,44243406.53680400,90699
1637884800000,2021-11-26 00:00:00,BTT/USDT,0.00328500,0.00347000,0.00299000,0.00310600,25416971319.00000000,81046059.14580900,212777
1637798400000,2021-11-25 00:00:00,BTT/USDT,0.00318500,0.00332900,0.00316000,0.00328500,11342461396.00000000,36999200.69529000,103451
1637712000000,2021-11-24 00:00:00,BTT/USDT,0.00328700,0.00329100,0.00312600,0.00318500,10171844515.00000000,32544441.25396800,103547
1637625600000,2021-11-23 00:00:00,BTT/USDT,0.00327800,0.00337300,0.00320100,0.00328500,13650333563.00000000,44534523.15323500,121186
1637539200000,2021-11-22 00:00:00,BTT/USDT,0.00340100,0.00341100,0.00324400,0.00327800,9312430761.00000000,30896831.05770700,87807
1637452800000,2021-11-21 00:00:00,BTT/USDT,0.00343000,0.00349400,0.00338800,0.00340000,11091578010.00000000,38176433.03609800,120609
1637366400000,2021-11-20 00:00:00,BTT/USDT,0.00339400,0.00344000,0.00329400,0.00342900,10456398563.00000000,35505059.69352400,109568
1637280000000,2021-11-19 00:00:00,BTT/USDT,0.00327400,0.00345300,0.00321600,0.00339400,11895274330.00000000,39866275.23685100,115279
1637193600000,2021-11-18 00:00:00,BTT/USDT,0.00360300,0.00366300,0.00318400,0.00327700,15380227355.00000000,52687808.63637100,159348
1637107200000,2021-11-17 00:00:00,BTT/USDT,0.00351200,0.00360500,0.00343800,0.00360300,12975377400.00000000,45791761.52269600,115329
1637020800000,2021-11-16 00:00:00,BTT/USDT,0.00380800,0.00381200,0.00330000,0.00351500,21890808638.00000000,78182657.09376300,198154
1636934400000,2021-11-15 00:00:00,BTT/USDT,0.00379300,0.00398700,0.00374200,0.00380800,25684012617.00000000,99583600.91474400,212726
1636848000000,2021-11-14 00:00:00,BTT/USDT,0.00377400,0.00387500,0.00370900,0.00379100,13040020207.00000000,49261402.93150700,111931
1636761600000,2021-11-13 00:00:00,BTT/USDT,0.00372900,0.00382000,0.00370000,0.00377500,7420913143.00000000,27857744.97660900,87551
1636675200000,2021-11-12 00:00:00,BTT/USDT,0.00381800,0.00385000,0.00360000,0.00372800,10666882128.00000000,39787785.44660700,116478
1636588800000,2021-11-11 00:00:00,BTT/USDT,0.00379800,0.00389000,0.00373100,0.00381900,10811580029.00000000,41338646.61377000,122362
1636502400000,2021-11-10 00:00:00,BTT/USDT,0.00411600,0.00420000,0.00349100,0.00379900,22725898342.00000000,90098214.03915900,286011
1636416000000,2021-11-09 00:00:00,BTT/USDT,0.00406400,0.00420000,0.00400400,0.00411700,17650669579.00000000,72415184.58481700,237399
1636329600000,2021-11-08 00:00:00,BTT/USDT,0.00395700,0.00409300,0.00393700,0.00406500,14022190365.00000000,56123374.58355700,162146
1636243200000,2021-11-07 00:00:00,BTT/USDT,0.00386200,0.00405300,0.00382600,0.00395700,14338227484.00000000,56495979.57161000,158163
1636156800000,2021-11-06 00:00:00,BTT/USDT,0.00385000,0.00391300,0.00364400,0.00386200,12728987358.00000000,48544705.76772200,127185
1636070400000,2021-11-05 00:00:00,BTT/USDT,0.00392900,0.00396400,0.00378100,0.00384900,11480312031.00000000,44688266.12730700,126200
1635984000000,2021-11-04 00:00:00,BTT/USDT,0.00404800,0.00411700,0.00384600,0.00392900,17865537860.00000000,70930551.95442400,191662
1635897600000,2021-11-03 00:00:00,BTT/USDT,0.00408100,0.00421300,0.00382000,0.00404800,23398626893.00000000,94102954.57222200,273847
1635811200000,2021-11-02 00:00:00,BTT/USDT,0.00398700,0.00425000,0.00390400,0.00408100,27695490368.00000000,113064481.41935500,269961
1635724800000,2021-11-01 00:00:00,BTT/USDT,0.00413400,0.00415300,0.00382900,0.00398600,20593428852.00000000,82035396.78852000,208425
1635638400000,2021-10-31 00:00:00,BTT/USDT,0.00386700,0.00456700,0.00371800,0.00413400,60146276394.00000000,244603720.75181500,677443
1635552000000,2021-10-30 00:00:00,BTT/USDT,0.00382000,0.00424800,0.00370200,0.00386800,53862077267.00000000,213894965.04323500,536093
1635465600000,2021-10-29 00:00:00,BTT/USDT,0.00352100,0.00387700,0.00349400,0.00381900,18926450265.00000000,69853701.04715500,194053
1635379200000,2021-10-28 00:00:00,BTT/USDT,0.00333400,0.00359900,0.00328600,0.00352100,19580552500.00000000,68380171.45568400,175209
1635292800000,2021-10-27 00:00:00,BTT/USDT,0.00375000,0.00385400,0.00304200,0.00333400,26089305047.00000000,90743380.53859700,258225
1635206400000,2021-10-26 00:00:00,BTT/USDT,0.00369700,0.00393500,0.00365700,0.00375100,23827528033.00000000,90242811.33136100,220039
1635120000000,2021-10-25 00:00:00,BTT/USDT,0.00359800,0.00370000,0.00358900,0.00369600,9641440694.00000000,35227518.05670900,80567
1635033600000,2021-10-24 00:00:00,BTT/USDT,0.00367500,0.00368400,0.00352400,0.00359900,10781812241.00000000,38932196.60142500,88834
1634947200000,2021-10-23 00:00:00,BTT/USDT,0.00365300,0.00368200,0.00359600,0.00367600,7455620150.00000000,27192688.18255700,60012
1634860800000,2021-10-22 00:00:00,BTT/USDT,0.00363400,0.00374400,0.00357800,0.00365300,10885737806.00000000,39976721.31552300,78967
1634774400000,2021-10-21 00:00:00,BTT/USDT,0.00378400,0.00387100,0.00361500,0.00363500,14198897234.00000000,53258314.31582000,128954
1634688000000,2021-10-20 00:00:00,BTT/USDT,0.00359500,0.00385400,0.00357000,0.00378300,19567348520.00000000,72901585.11840900,158907
1634601600000,2021-10-19 00:00:00,BTT/USDT,0.00357100,0.00363000,0.00353400,0.00359500,7424522404.00000000,26628475.71853100,64414
1634515200000,2021-10-18 00:00:00,BTT/USDT,0.00360400,0.00363700,0.00351300,0.00357200,7418811894.00000000,26537526.77144500,70065
1634428800000,2021-10-17 00:00:00,BTT/USDT,0.00362700,0.00372400,0.00346300,0.00360400,11831739088.00000000,42941159.23122900,105784
1634342400000,2021-10-16 00:00:00,BTT/USDT,0.00363300,0.00372400,0.00360000,0.00362600,7066988899.00000000,25812344.48374100,78292
1634256000000,2021-10-15 00:00:00,BTT/USDT,0.00375400,0.00377500,0.00352600,0.00363300,12215790587.00000000,44598066.92704600,133228
1634169600000,2021-10-14 00:00:00,BTT/USDT,0.00376100,0.00383400,0.00371400,0.00375400,7110660651.00000000,26786956.13229700,83704
1634083200000,2021-10-13 00:00:00,BTT/USDT,0.00368100,0.00376100,0.00358600,0.00376100,7989660877.00000000,29343022.38634100,89593
1633996800000,2021-10-12 00:00:00,BTT/USDT,0.00381700,0.00382600,0.00351900,0.00368200,9568009369.00000000,34803454.38502100,107881
1633910400000,2021-10-11 00:00:00,BTT/USDT,0.00381300,0.00402000,0.00372700,0.00381900,10807561948.00000000,41995900.05528200,117064
1633824000000,2021-10-10 00:00:00,BTT/USDT,0.00415800,0.00416400,0.00378800,0.00381300,15986200353.00000000,63795345.51428300,168708
1633737600000,2021-10-09 00:00:00,BTT/USDT,0.00374800,0.00442600,0.00370800,0.00415800,41205246983.00000000,171924401.47049100,501491
1633651200000,2021-10-08 00:00:00,BTT/USDT,0.00363400,0.00389800,0.00361100,0.00374700,14170320986.00000000,53518923.42047100,163937
1633564800000,2021-10-07 00:00:00,BTT/USDT,0.00370100,0.00371000,0.00356200,0.00363500,11128035163.00000000,40358632.48864200,115403
1633478400000,2021-10-06 00:00:00,BTT/USDT,0.00372800,0.00381000,0.00345200,0.00370100,16345791270.00000000,59635515.77575900,171972
1633392000000,2021-10-05 00:00:00,BTT/USDT,0.00345900,0.00387400,0.00343400,0.00372900,21938825685.00000000,79901960.19395700,236281
1633305600000,2021-10-04 00:00:00,BTT/USDT,0.00355300,0.00355400,0.00332300,0.00345700,8280626329.00000000,28433116.18747100,84716
1633219200000,2021-10-03 00:00:00,BTT/USDT,0.00342400,0.00365900,0.00337900,0.00355300,8957793167.00000000,31474151.03971900,98214
1633132800000,2021-10-02 00:00:00,BTT/USDT,0.00342400,0.00352000,0.00334500,0.00342500,5696993442.00000000,19565291.33634800,69761
1633046400000,2021-10-01 00:00:00,BTT/USDT,0.00318000,0.00345000,0.00314400,0.00342300,7215809558.00000000,24035277.77645300,81497
1632960000000,2021-09-30 00:00:00,BTT/USDT,0.00302300,0.00318300,0.00300700,0.00318000,4949172365.00000000,15409007.55622600,47649
1632873600000,2021-09-29 00:00:00,BTT/USDT,0.00296700,0.00311900,0.00293000,0.00302200,4928844800.00000000,14986351.08837400,43524
1632787200000,2021-09-28 00:00:00,BTT/USDT,0.00309600,0.00314200,0.00294600,0.00296700,5245243824.00000000,16030025.90286380,46130
1632700800000,2021-09-27 00:00:00,BTT/USDT,0.00318300,0.00328500,0.00309400,0.00309700,5341901560.00000000,17084903.79714800,50163
1632614400000,2021-09-26 00:00:00,BTT/USDT,0.00324900,0.00325400,0.00302600,0.00318500,6395739052.00000000,20222661.64389320,56175
1632528000000,2021-09-25 00:00:00,BTT/USDT,0.00328800,0.00334300,0.00317200,0.00324800,5605720835.00000000,18271942.84261000,48153
1632441600000,2021-09-24 00:00:00,BTT/USDT,0.00353200,0.00353800,0.00307800,0.00328900,10296068215.00000000,33713334.45728200,99495
1632355200000,2021-09-23 00:00:00,BTT/USDT,0.00350900,0.00355200,0.00339600,0.00353100,6247845889.00000000,21783557.15089000,72528
1632268800000,2021-09-22 00:00:00,BTT/USDT,0.00314000,0.00352800,0.00306800,0.00351100,8235893982.00000000,27445634.73753500,93698
1632182400000,2021-09-21 00:00:00,BTT/USDT,0.00333200,0.00344700,0.00306400,0.00314000,11527085163.00000000,37841581.56397350,118460
