unix,date,symbol,open,high,low,close,Volume LINK,Volume USDT,tradecount
1656547200000,2022-06-30 00:00:00,LINK/USDT,6.23000000,6.32000000,5.88000000,6.27000000,6704771.13000000,40714345.00060000,74170
1656460800000,2022-06-29 00:00:00,LINK/USDT,6.32000000,6.49000000,6.13000000,6.23000000,6958633.85000000,43952686.16860000,75337
1656374400000,2022-06-28 00:00:00,LINK/USDT,6.56000000,7.26000000,6.27000000,6.32000000,10657624.70000000,71863302.49930000,118470
1656288000000,2022-06-27 00:00:00,LINK/USDT,6.70000000,6.99000000,6.41000000,6.55000000,6501336.11000000,43497628.51870000,69067
1656201600000,2022-06-26 00:00:00,LINK/USDT,7.27000000,7.49000000,6.68000000,6.70000000,5600782.15000000,39742467.19450000,68034
1656115200000,2022-06-25 00:00:00,LINK/USDT,7.27000000,7.38000000,6.79000000,7.26000000,5651119.11000000,40043466.48480000,65113
1656028800000,2022-06-24 00:00:00,LINK/USDT,6.99000000,7.44000000,6.95000000,7.26000000,6466777.49000000,46292015.74410000,77234
1655942400000,2022-06-23 00:00:00,LINK/USDT,6.62000000,7.09000000,6.61000000,6.99000000,6672460.20000000,45914070.04190000,75308
1655856000000,2022-06-22 00:00:00,LINK/USDT,6.86000000,7.03000000,6.44000000,6.63000000,8513601.16000000,57398967.90960000,100361
1655769600000,2022-06-21 00:00:00,LINK/USDT,6.98000000,7.57000000,6.75000000,6.86000000,9463662.53000000,68197003.82190000,115493
1655683200000,2022-06-20 00:00:00,LINK/USDT,6.60000000,7.29000000,6.31000000,6.98000000,10165932.01000000,69272588.58940000,125387
1655596800000,2022-06-19 00:00:00,LINK/USDT,5.92000000,6.82000000,5.83000000,6.60000000,9867779.28000000,62030912.31050000,115396
1655510400000,2022-06-18 00:00:00,LINK/USDT,6.36000000,6.47000000,5.41000000,5.92000000,15948947.65000000,93218207.55010000,160780
