unix,date,symbol,open,high,low,close,Volume ADA,Volume USDT,tradecount
1657065600000,2022-07-06 00:00:00,ADA/USDT,0.45710000,0.46560000,0.44700000,0.46230000,139221841.00000000,63728969.98517000,126851
1656979200000,2022-07-05 00:00:00,ADA/USDT,0.46950000,0.47170000,0.44470000,0.45710000,171538047.70000000,78479359.61598000,159310
1656892800000,2022-07-04 00:00:00,ADA/USDT,0.45600000,0.47650000,0.44450000,0.46950000,196991430.20000000,90547253.01091000,184438
1656806400000,2022-07-03 00:00:00,ADA/USDT,0.45580000,0.46000000,0.44360000,0.45610000,90832805.90000000,41041921.16475000,92146
1656720000000,2022-07-02 00:00:00,ADA/USDT,0.44870000,0.46170000,0.44080000,0.45590000,109165380.70000000,49191448.48722000,103433
1656633600000,2022-07-01 00:00:00,ADA/USDT,0.45990000,0.47500000,0.44270000,0.44870000,182788187.10000000,83081567.68070000,182713
1656547200000,2022-06-30 00:00:00,ADA/USDT,0.46620000,0.46770000,0.43520000,0.45990000,212174584.90000000,95075676.72616000,216004
1656460800000,2022-06-29 00:00:00,ADA/USDT,0.46930000,0.47720000,0.45880000,0.46620000,166130162.20000000,77773512.88053000,171783
1656374400000,2022-06-28 00:00:00,ADA/USDT,0.48550000,0.49750000,0.46710000,0.46940000,163559982.80000000,78948406.06234000,186022
1656288000000,2022-06-27 00:00:00,ADA/USDT,0.48990000,0.50880000,0.47560000,0.48560000,157303921.40000000,77606254.36506000,179939
1656201600000,2022-06-26 00:00:00,ADA/USDT,0.49850000,0.52600000,0.48850000,0.48990000,211856675.90000000,107772457.29959000,249977
1656115200000,2022-06-25 00:00:00,ADA/USDT,0.49820000,0.50780000,0.47830000,0.49840000,142417111.70000000,70381037.05771000,168307
1656028800000,2022-06-24 00:00:00,ADA/USDT,0.48000000,0.50970000,0.47620000,0.49810000,241562561.80000000,119934896.12403000,274333
1655942400000,2022-06-23 00:00:00,ADA/USDT,0.45940000,0.48310000,0.45630000,0.48000000,160787911.20000000,75878540.69780000,175347
1655856000000,2022-06-22 00:00:00,ADA/USDT,0.48130000,0.48150000,0.45590000,0.45940000,203592970.70000000,95339778.91015000,235107
1655769600000,2022-06-21 00:00:00,ADA/USDT,0.49150000,0.51140000,0.47510000,0.48130000,269304587.00000000,133582879.81690000,336782
1655683200000,2022-06-20 00:00:00,ADA/USDT,0.48490000,0.50880000,0.46130000,0.49150000,309797825.10000000,150592838.51178000,373869
1655596800000,2022-06-19 00:00:00,ADA/USDT,0.45480000,0.49000000,0.43590000,0.48480000,304390171.70000000,140851798.29959000,352806
1655510400000,2022-06-18 00:00:00,ADA/USDT,0.48710000,0.49530000,0.42060000,0.45490000,383466178.70000000,174806284.46655000,434016
1655424000000,2022-06-17 00:00:00,ADA/USDT,0.47620000,0.50400000,0.47170000,0.48720000,221261441.40000000,108323356.32765000,268808
1655337600000,2022-06-16 00:00:00,ADA/USDT,0.53470000,0.54720000,0.46730000,0.47620000,360176076.10000000,180247004.87872000,447662
1655251200000,2022-06-15 00:00:00,ADA/USDT,0.48310000,0.53930000,0.44830000,0.53480000,628287744.00000000,303575079.58861000,794143
1655164800000,2022-06-14 00:00:00,ADA/USDT,0.46420000,0.52000000,0.43690000,0.48310000,609069303.40000000,294811430.56791000,744052
1655078400000,2022-06-13 00:00:00,ADA/USDT,0.49040000,0.49850000,0.43660000,0.46440000,761583537.40000000,352962846.74877000,852871
