unix,date,symbol,open,high,low,close,Volume TRX,Volume USDT,tradecount
1653436800000,2022-05-25 00:00:00,TRX/USDT,0.08064000,0.08836000,0.07981000,0.08470000,1645020316.90000000,136272182.50153300,319419
1653350400000,2022-05-24 00:00:00,TRX/USDT,0.07618000,0.08313000,0.07593000,0.08064000,2130235212.30000000,171029374.55485900,376435
1653264000000,2022-05-23 00:00:00,TRX/USDT,0.07814000,0.08263000,0.07579000,0.07616000,1739029855.30000000,137072160.99472800,306682
1653177600000,2022-05-22 00:00:00,TRX/USDT,0.07403000,0.07864000,0.07362000,0.07815000,794508416.60000000,60398476.50289800,156988
1653091200000,2022-05-21 00:00:00,TRX/USDT,0.07124000,0.07581000,0.07044000,0.07404000,778339094.40000000,57022012.98359300,136783
1653004800000,2022-05-20 00:00:00,TRX/USDT,0.07358000,0.07509000,0.06997000,0.07124000,1140316688.50000000,83240286.72298600,187626
1652918400000,2022-05-19 00:00:00,TRX/USDT,0.07101000,0.07500000,0.07009000,0.07357000,1112323147.10000000,81149875.02872100,189799
1652832000000,2022-05-18 00:00:00,TRX/USDT,0.07225000,0.07286000,0.06944000,0.07100000,1036749143.00000000,73824605.76575300,180370
1652745600000,2022-05-17 00:00:00,TRX/USDT,0.06917000,0.07400000,0.06891000,0.07225000,1150179105.80000000,81602066.59773000,186067
1652659200000,2022-05-16 00:00:00,TRX/USDT,0.07241000,0.07245000,0.06716000,0.06917000,1292851047.40000000,89645991.32002800,197424
1652572800000,2022-05-15 00:00:00,TRX/USDT,0.07243000,0.07270000,0.06774000,0.07240000,1402520002.10000000,98106956.77113500,227024
1652486400000,2022-05-14 00:00:00,TRX/USDT,0.07426000,0.07611000,0.07069000,0.07243000,1635927756.80000000,119937709.56486600,266552
1652400000000,2022-05-13 00:00:00,TRX/USDT,0.06730000,0.07650000,0.06656000,0.07426000,2808372373.10000000,204912823.80430900,481918
1652313600000,2022-05-12 00:00:00,TRX/USDT,0.07495000,0.08124000,0.06559000,0.06729000,5395873532.90000000,394193808.12933700,838638
1652227200000,2022-05-11 00:00:00,TRX/USDT,0.07692000,0.08500000,0.06300000,0.07496000,8370955647.80000000,609679726.16744400,1269420
1652140800000,2022-05-10 00:00:00,TRX/USDT,0.07272000,0.08254000,0.07143000,0.07691000,4991322416.40000000,390611126.22607100,788378
1652054400000,2022-05-09 00:00:00,TRX/USDT,0.08796000,0.08816000,0.07204000,0.07272000,6627462667.40000000,525542408.53476200,1032839
1651968000000,2022-05-08 00:00:00,TRX/USDT,0.08352000,0.09279000,0.08025000,0.08794000,5046105564.60000000,430348883.27477000,904617
1651881600000,2022-05-07 00:00:00,TRX/USDT,0.08629000,0.08880000,0.07975000,0.08351000,5138517562.50000000,432804365.52881800,882006
1651795200000,2022-05-06 00:00:00,TRX/USDT,0.07450000,0.08843000,0.07268000,0.08629000,6171321353.60000000,499426382.89668000,932587
1651708800000,2022-05-05 00:00:00,TRX/USDT,0.08630000,0.08987000,0.07158000,0.07451000,5525059352.40000000,448357096.98109400,1017335
1651622400000,2022-05-04 00:00:00,TRX/USDT,0.07261000,0.08700000,0.06994000,0.08629000,5498845727.20000000,427547746.05450500,1037670
1651536000000,2022-05-03 00:00:00,TRX/USDT,0.06895000,0.07522000,0.06813000,0.07261000,3492334219.70000000,250100899.43923500,501477
1651449600000,2022-05-02 00:00:00,TRX/USDT,0.07078000,0.07365000,0.06455000,0.06894000,3245131312.80000000,224800612.62819400,457592
1651363200000,2022-05-01 00:00:00,TRX/USDT,0.06262000,0.07171000,0.06163000,0.07079000,3438166744.20000000,230299576.79111100,437175
1651276800000,2022-04-30 00:00:00,TRX/USDT,0.06368000,0.06525000,0.06188000,0.06262000,1817042212.80000000,115514201.38635100,235292
1651190400000,2022-04-29 00:00:00,TRX/USDT,0.06372000,0.07003000,0.06272000,0.06368000,2815178038.80000000,186467340.88975300,378596
1651104000000,2022-04-28 00:00:00,TRX/USDT,0.06318000,0.06410000,0.06250000,0.06372000,1000760430.40000000,63485897.20645500,185831
1651017600000,2022-04-27 00:00:00,TRX/USDT,0.06190000,0.06372000,0.06170000,0.06318000,1001719735.60000000,62910748.16014800,170547
1650931200000,2022-04-26 00:00:00,TRX/USDT,0.06531000,0.06566000,0.06158000,0.06190000,1114740594.20000000,71115806.21542900,182349
1650844800000,2022-04-25 00:00:00,TRX/USDT,0.06567000,0.06581000,0.06174000,0.06531000,1341560314.30000000,85141082.77807500,217889
1650758400000,2022-04-24 00:00:00,TRX/USDT,0.06762000,0.06792000,0.06460000,0.06567000,1101010255.80000000,72739051.70543500,172121
1650672000000,2022-04-23 00:00:00,TRX/USDT,0.06660000,0.06930000,0.06649000,0.06761000,1477379914.20000000,100442836.42483700,271457
1650585600000,2022-04-22 00:00:00,TRX/USDT,0.07112000,0.07246000,0.06637000,0.06661000,3203527503.60000000,219016525.15587800,440723
1650499200000,2022-04-21 00:00:00,TRX/USDT,0.06261000,0.07500000,0.06243000,0.07112000,6294268623.80000000,444424571.05711600,912863
1650412800000,2022-04-20 00:00:00,TRX/USDT,0.06311000,0.06345000,0.06181000,0.06261000,1187994943.20000000,74612850.50008300,159835
1650326400000,2022-04-19 00:00:00,TRX/USDT,0.06147000,0.06362000,0.06111000,0.06310000,1199904239.00000000,74623039.43094900,160604
1650240000000,2022-04-18 00:00:00,TRX/USDT,0.06008000,0.06167000,0.05886000,0.06148000,1328404692.80000000,80014511.57527500,158632
1650153600000,2022-04-17 00:00:00,TRX/USDT,0.06186000,0.06289000,0.05980000,0.06009000,892400970.80000000,55186133.01995600,130021
1650067200000,2022-04-16 00:00:00,TRX/USDT,0.06182000,0.06225000,0.06094000,0.06186000,724223249.20000000,44744579.42801400,114158
1649980800000,2022-04-15 00:00:00,TRX/USDT,0.06014000,0.06241000,0.05985000,0.06181000,940617959.70000000,57649029.85697200,131105
1649894400000,2022-04-14 00:00:00,TRX/USDT,0.06150000,0.06216000,0.05938000,0.06013000,1072890655.80000000,65312604.66769100,142243
1649808000000,2022-04-13 00:00:00,TRX/USDT,0.05990000,0.06153000,0.05935000,0.06150000,915244608.80000000,55319636.72738200,141750
1649721600000,2022-04-12 00:00:00,TRX/USDT,0.05824000,0.06042000,0.05790000,0.05991000,1076307124.60000000,63789330.27562000,160682
1649635200000,2022-04-11 00:00:00,TRX/USDT,0.06236000,0.06255000,0.05774000,0.05823000,1239891995.10000000,74405109.36502800,182205
1649548800000,2022-04-10 00:00:00,TRX/USDT,0.06394000,0.06429000,0.06218000,0.06238000,920182764.90000000,58350784.95697000,140599
1649462400000,2022-04-09 00:00:00,TRX/USDT,0.06259000,0.06405000,0.06221000,0.06394000,991389626.20000000,62568049.85076500,144294
1649376000000,2022-04-08 00:00:00,TRX/USDT,0.06430000,0.06521000,0.06213000,0.06259000,1083541914.80000000,69080422.77937100,161335
1649289600000,2022-04-07 00:00:00,TRX/USDT,0.06307000,0.06479000,0.06264000,0.06431000,1226144490.60000000,78231853.42430700,170326
1649203200000,2022-04-06 00:00:00,TRX/USDT,0.06928000,0.06936000,0.06299000,0.06308000,1452627239.70000000,95916860.47334500,230930
1649116800000,2022-04-05 00:00:00,TRX/USDT,0.07070000,0.07181000,0.06918000,0.06928000,1039780864.10000000,73400546.24672200,161259
1649030400000,2022-04-04 00:00:00,TRX/USDT,0.07311000,0.07313000,0.06881000,0.07070000,1129118661.60000000,80169059.75707300,184067
1648944000000,2022-04-03 00:00:00,TRX/USDT,0.07323000,0.07371000,0.07208000,0.07312000,783037232.30000000,57039132.22408300,146594
1648857600000,2022-04-02 00:00:00,TRX/USDT,0.07495000,0.07644000,0.07279000,0.07322000,1287534518.50000000,96460247.03732600,211590
1648771200000,2022-04-01 00:00:00,TRX/USDT,0.07388000,0.07511000,0.06920000,0.07494000,1612294324.20000000,117982289.90726400,264000
1648684800000,2022-03-31 00:00:00,TRX/USDT,0.07334000,0.07956000,0.07325000,0.07388000,3186223698.70000000,241642359.23557800,536799
1648598400000,2022-03-30 00:00:00,TRX/USDT,0.06937000,0.07444000,0.06745000,0.07334000,2557063068.70000000,183066547.59187000,380823
1648512000000,2022-03-29 00:00:00,TRX/USDT,0.06912000,0.07248000,0.06832000,0.06936000,1453951645.50000000,102801218.77588100,232870
1648425600000,2022-03-28 00:00:00,TRX/USDT,0.06899000,0.07197000,0.06851000,0.06910000,1856463228.40000000,130603057.83081700,270496
1648339200000,2022-03-27 00:00:00,TRX/USDT,0.06631000,0.06956000,0.06583000,0.06899000,2083247985.40000000,140685564.80353500,267032
