unix,date,symbol,open,high,low,close,Volume ETC,Volume USDT,tradecount
1656806400000,2022-07-03 00:00:00,ETC/USDT,14.77000000,15.01000000,14.35000000,14.81000000,404095.95000000,5918983.91370000,20898
1656720000000,2022-07-02 00:00:00,ETC/USDT,14.64000000,14.95000000,14.29000000,14.77000000,428642.97000000,6277609.72830000,19104
1656633600000,2022-07-01 00:00:00,ETC/USDT,15.01000000,15.41000000,14.28000000,14.64000000,808395.84000000,11939982.61370000,37491
1656547200000,2022-06-30 00:00:00,ETC/USDT,15.23000000,15.30000000,14.14000000,15.01000000,767409.17000000,11189220.30100000,42938
1656460800000,2022-06-29 00:00:00,ETC/USDT,15.43000000,15.73000000,14.91000000,15.23000000,728771.82000000,11125154.51480000,38365
1656374400000,2022-06-28 00:00:00,ETC/USDT,16.56000000,16.83000000,15.32000000,15.44000000,809650.34000000,13109534.86690000,44746
1656288000000,2022-06-27 00:00:00,ETC/USDT,16.68000000,17.53000000,16.16000000,16.56000000,1415764.59000000,23970081.26970000,72612
1656201600000,2022-06-26 00:00:00,ETC/USDT,16.55000000,17.99000000,16.04000000,16.69000000,1311860.69000000,22121139.41290000,61709
1656115200000,2022-06-25 00:00:00,ETC/USDT,16.42000000,16.69000000,15.78000000,16.55000000,682863.74000000,11128989.63960000,36650
1656028800000,2022-06-24 00:00:00,ETC/USDT,15.93000000,16.83000000,15.87000000,16.41000000,955345.77000000,15648177.17610000,46806
1655942400000,2022-06-23 00:00:00,ETC/USDT,15.20000000,16.05000000,15.13000000,15.93000000,660302.72000000,10323888.97400000,32496
1655856000000,2022-06-22 00:00:00,ETC/USDT,16.15000000,16.16000000,15.06000000,15.20000000,999820.19000000,15505136.34530000,51935
1655769600000,2022-06-21 00:00:00,ETC/USDT,16.23000000,16.98000000,15.81000000,16.14000000,1067249.09000000,17528110.54100000,57791
1655683200000,2022-06-20 00:00:00,ETC/USDT,15.37000000,16.55000000,14.54000000,16.24000000,1402121.71000000,22077127.98580000,78136
1655596800000,2022-06-19 00:00:00,ETC/USDT,13.67000000,15.60000000,13.28000000,15.37000000,1460395.09000000,20969143.54430000,81978
1655510400000,2022-06-18 00:00:00,ETC/USDT,14.34000000,14.59000000,12.47000000,13.67000000,1514024.94000000,20390842.32440000,90767
1655424000000,2022-06-17 00:00:00,ETC/USDT,13.83000000,14.59000000,13.70000000,14.35000000,828976.26000000,11797981.15040000,46924
1655337600000,2022-06-16 00:00:00,ETC/USDT,15.87000000,16.08000000,13.58000000,13.82000000,1396290.28000000,20487380.56550000,77765
1655251200000,2022-06-15 00:00:00,ETC/USDT,14.57000000,16.05000000,12.92000000,15.88000000,2808030.33000000,39686781.84490000,158686
1655164800000,2022-06-14 00:00:00,ETC/USDT,14.44000000,15.14000000,13.10000000,14.57000000,2159612.44000000,31026071.06550000,130362
1655078400000,2022-06-13 00:00:00,ETC/USDT,16.56000000,16.96000000,13.96000000,14.45000000,2554381.32900000,38318880.96152400,117936
1654992000000,2022-06-12 00:00:00,ETC/USDT,18.22000000,18.40000000,16.54000000,16.56000000,1094080.69000000,18970343.46920000,58362
1654905600000,2022-06-11 00:00:00,ETC/USDT,20.00000000,20.39000000,17.87000000,18.22000000,799873.15000000,15073371.51390000,44514
1654819200000,2022-06-10 00:00:00,ETC/USDT,21.18000000,21.39000000,19.75000000,20.00000000,614755.59000000,12640952.96310000,37000
1654732800000,2022-06-09 00:00:00,ETC/USDT,21.29000000,21.66000000,20.96000000,21.17000000,325672.01000000,6937560.68670000,18803
1654646400000,2022-06-08 00:00:00,ETC/USDT,21.54000000,21.82000000,21.03000000,21.28000000,397838.38000000,8514022.72760000,26098
1654560000000,2022-06-07 00:00:00,ETC/USDT,22.52000000,22.52000000,20.81000000,21.54000000,851219.30000000,18277648.58890000,50202
1654473600000,2022-06-06 00:00:00,ETC/USDT,21.82000000,23.42000000,21.77000000,22.52000000,786156.99000000,17839151.03250000,44439
1654387200000,2022-06-05 00:00:00,ETC/USDT,21.97000000,22.19000000,21.67000000,21.82000000,244707.82000000,5358223.87370000,16967
1654300800000,2022-06-04 00:00:00,ETC/USDT,21.84000000,22.06000000,21.53000000,21.98000000,363561.37000000,7938621.07710000,21412
1654214400000,2022-06-03 00:00:00,ETC/USDT,22.42000000,22.64000000,21.27000000,21.84000000,539829.55000000,11813558.72770000,32003
1654128000000,2022-06-02 00:00:00,ETC/USDT,22.01000000,22.52000000,21.60000000,22.42000000,618320.48000000,13623560.34430000,38282
1654041600000,2022-06-01 00:00:00,ETC/USDT,23.78000000,24.23000000,21.43000000,22.02000000,1156151.66000000,26671306.45680000,66654
1653955200000,2022-05-31 00:00:00,ETC/USDT,24.85000000,25.16000000,22.97000000,23.77000000,1671424.91000000,40036576.39530000,93839
1653868800000,2022-05-30 00:00:00,ETC/USDT,23.67000000,25.00000000,23.43000000,24.84000000,1235554.64000000,29920302.08360000,66488
1653782400000,2022-05-29 00:00:00,ETC/USDT,22.75000000,23.81000000,22.20000000,23.67000000,858482.35000000,19669675.25700000,41961
1653696000000,2022-05-28 00:00:00,ETC/USDT,22.51000000,23.08000000,22.34000000,22.74000000,1047607.78000000,23820255.21260000,49184
1653609600000,2022-05-27 00:00:00,ETC/USDT,21.89000000,23.42000000,21.41000000,22.51000000,2676849.89000000,60454041.12550000,135939
1653523200000,2022-05-26 00:00:00,ETC/USDT,23.73000000,23.94000000,20.74000000,21.90000000,2153133.51000000,47790673.56320000,111613
1653436800000,2022-05-25 00:00:00,ETC/USDT,24.21000000,25.69000000,23.48000000,23.73000000,2746538.65000000,66839689.00540000,151783
1653350400000,2022-05-24 00:00:00,ETC/USDT,21.86000000,24.46000000,21.06000000,24.22000000,2523052.10000000,57635423.28610000,144066
1653264000000,2022-05-23 00:00:00,ETC/USDT,21.08000000,24.23000000,20.66000000,21.86000000,2279003.03000000,51369715.86400000,141490
1653177600000,2022-05-22 00:00:00,ETC/USDT,20.35000000,21.26000000,20.16000000,21.08000000,440807.03000000,9170542.30890000,30797
1653091200000,2022-05-21 00:00:00,ETC/USDT,20.16000000,20.54000000,19.87000000,20.35000000,269907.63000000,5466224.21810000,23473
