unix,date,symbol,open,high,low,close,Volume BNB,Volume USDT,tradecount
1654992000000,2022-06-12 00:00:00,BNB/USDT,269.90000000,272.00000000,251.10000000,254.80000000,827755.03500000,215061279.49010000,344673
1654905600000,2022-06-11 00:00:00,BNB/USDT,286.40000000,290.60000000,265.20000000,269.90000000,584351.45600000,161677600.77920000,269404
1654819200000,2022-06-10 00:00:00,BNB/USDT,289.90000000,298.90000000,283.20000000,286.40000000,817523.36400000,236828890.89880000,339014
1654732800000,2022-06-09 00:00:00,BNB/USDT,288.50000000,293.40000000,286.30000000,289.90000000,335495.07300000,97246541.13660000,191304
1654646400000,2022-06-08 00:00:00,BNB/USDT,290.30000000,294.60000000,283.90000000,288.50000000,509510.45500000,147774213.83020000,267476
1654560000000,2022-06-07 00:00:00,BNB/USDT,295.10000000,295.90000000,273.50000000,290.30000000,969784.61900000,276622300.08330000,415694
1654473600000,2022-06-06 00:00:00,BNB/USDT,299.10000000,312.30000000,288.00000000,295.10000000,758590.86000000,229336066.15040000,357412
1654387200000,2022-06-05 00:00:00,BNB/USDT,301.40000000,302.50000000,295.00000000,299.10000000,269695.90100000,80515666.71290000,172367
1654300800000,2022-06-04 00:00:00,BNB/USDT,298.60000000,302.90000000,294.80000000,301.30000000,293533.10800000,87900097.34290000,170227
1654214400000,2022-06-03 00:00:00,BNB/USDT,308.40000000,310.30000000,293.30000000,298.60000000,468996.67700000,140826605.15820000,240420
1654128000000,2022-06-02 00:00:00,BNB/USDT,300.50000000,309.20000000,298.20000000,308.30000000,477670.40000000,144758528.49280000,245840
1654041600000,2022-06-01 00:00:00,BNB/USDT,321.00000000,324.50000000,297.60000000,300.40000000,817984.60900000,254597660.74540000,352811
1653955200000,2022-05-31 00:00:00,BNB/USDT,321.80000000,324.80000000,313.50000000,320.90000000,701746.39000000,224420165.56090000,351755
1653868800000,2022-05-30 00:00:00,BNB/USDT,305.90000000,324.00000000,303.90000000,321.80000000,1006928.23100000,318483358.17240000,359039
1653782400000,2022-05-29 00:00:00,BNB/USDT,307.60000000,308.20000000,298.60000000,305.80000000,519507.74700000,157551407.34380000,223923
1653696000000,2022-05-28 00:00:00,BNB/USDT,301.50000000,310.50000000,296.90000000,307.50000000,601654.50400000,182686636.39400000,238331
1653609600000,2022-05-27 00:00:00,BNB/USDT,303.00000000,309.80000000,290.60000000,301.60000000,1460549.00800000,439011128.04860000,485013
1653523200000,2022-05-26 00:00:00,BNB/USDT,325.70000000,331.80000000,296.70000000,303.00000000,1539437.59800000,482675425.18620000,472567
1653436800000,2022-05-25 00:00:00,BNB/USDT,328.30000000,337.90000000,324.00000000,325.70000000,1057736.75500000,348647272.35310000,324800
1653350400000,2022-05-24 00:00:00,BNB/USDT,317.10000000,330.40000000,312.10000000,328.30000000,1087140.69800000,350658423.56600000,360566
1653264000000,2022-05-23 00:00:00,BNB/USDT,319.30000000,337.00000000,315.30000000,317.20000000,1016212.87100000,332787923.22110000,403707
1653177600000,2022-05-22 00:00:00,BNB/USDT,312.50000000,323.70000000,311.50000000,319.40000000,640675.57300000,203402231.02680000,264728
1653091200000,2022-05-21 00:00:00,BNB/USDT,302.30000000,314.20000000,299.30000000,312.40000000,470778.48300000,144965150.05490000,233370
1653004800000,2022-05-20 00:00:00,BNB/USDT,307.10000000,316.10000000,294.10000000,302.20000000,918118.17700000,281005765.15260000,374986
1652918400000,2022-05-19 00:00:00,BNB/USDT,287.80000000,308.90000000,286.80000000,307.10000000,685238.84400000,205598123.89960000,352294
1652832000000,2022-05-18 00:00:00,BNB/USDT,306.20000000,308.60000000,286.80000000,287.70000000,731091.09100000,217141792.47760000,327144
1652745600000,2022-05-17 00:00:00,BNB/USDT,297.30000000,310.70000000,295.80000000,306.20000000,702265.60700000,213433635.73000000,340424
1652659200000,2022-05-16 00:00:00,BNB/USDT,312.40000000,312.50000000,290.30000000,297.20000000,967622.83400000,288647095.56970000,416224
1652572800000,2022-05-15 00:00:00,BNB/USDT,296.90000000,312.60000000,285.70000000,312.40000000,774709.23100000,231142840.19010000,392238
1652486400000,2022-05-14 00:00:00,BNB/USDT,290.70000000,299.50000000,272.10000000,296.90000000,1092874.02300000,313368698.11980000,518046
1652400000000,2022-05-13 00:00:00,BNB/USDT,269.00000000,313.50000000,265.40000000,290.60000000,1912387.36100000,570629505.73500000,777961
1652313600000,2022-05-12 00:00:00,BNB/USDT,271.40000000,285.00000000,218.80000000,269.00000000,4499625.60330000,1160044030.81745800,1678892
1652227200000,2022-05-11 00:00:00,BNB/USDT,319.10000000,323.00000000,260.80000000,271.50000000,3387753.98260000,994453854.05259100,1310616
1652140800000,2022-05-10 00:00:00,BNB/USDT,296.10000000,332.80000000,289.00000000,319.10000000,2160654.17540000,681797899.10779800,770073
1652054400000,2022-05-09 00:00:00,BNB/USDT,355.90000000,359.30000000,295.40000000,296.10000000,2137566.87020000,689731241.24478500,691845
1651968000000,2022-05-08 00:00:00,BNB/USDT,365.50000000,367.00000000,349.50000000,355.90000000,785184.08700000,280783573.41530000,311749
1651881600000,2022-05-07 00:00:00,BNB/USDT,379.10000000,380.60000000,360.10000000,365.50000000,554852.53100000,207175988.65360000,265003
1651795200000,2022-05-06 00:00:00,BNB/USDT,378.50000000,383.30000000,370.60000000,379.10000000,702441.41900000,265287421.94140000,322398
1651708800000,2022-05-05 00:00:00,BNB/USDT,402.60000000,413.60000000,370.70000000,378.40000000,1224114.51200000,480461812.51410000,535227
1651622400000,2022-05-04 00:00:00,BNB/USDT,383.90000000,403.10000000,382.70000000,402.60000000,599066.68200000,235145614.89090000,290822
1651536000000,2022-05-03 00:00:00,BNB/USDT,389.50000000,392.30000000,379.80000000,383.90000000,388317.42000000,150137733.52870000,213156
1651449600000,2022-05-02 00:00:00,BNB/USDT,389.90000000,392.60000000,382.10000000,389.50000000,454918.11200000,176653828.66660000,242777
1651363200000,2022-05-01 00:00:00,BNB/USDT,377.10000000,391.40000000,375.50000000,389.90000000,564144.67300000,216874708.71500000,285078
1651276800000,2022-04-30 00:00:00,BNB/USDT,393.00000000,399.90000000,376.30000000,377.10000000,574905.82200000,224484821.43710000,278317
1651190400000,2022-04-29 00:00:00,BNB/USDT,407.20000000,410.70000000,389.70000000,393.00000000,694888.52600000,277495560.76870000,343294
1651104000000,2022-04-28 00:00:00,BNB/USDT,391.40000000,408.60000000,388.50000000,407.10000000,946336.33400000,379597709.68670000,390114
1651017600000,2022-04-27 00:00:00,BNB/USDT,386.00000000,394.80000000,383.30000000,391.30000000,567371.49500000,221200838.16620000,250590
1650931200000,2022-04-26 00:00:00,BNB/USDT,404.40000000,407.50000000,380.80000000,385.90000000,629808.81200000,248264999.28560000,297370
1650844800000,2022-04-25 00:00:00,BNB/USDT,398.80000000,405.70000000,382.30000000,404.30000000,849798.67800000,334326205.42690000,337734
1650758400000,2022-04-24 00:00:00,BNB/USDT,401.20000000,405.50000000,397.10000000,398.80000000,322889.80500000,129744963.58100000,172618
1650672000000,2022-04-23 00:00:00,BNB/USDT,406.60000000,408.10000000,397.30000000,401.10000000,339347.45000000,137157329.92670000,187741
1650585600000,2022-04-22 00:00:00,BNB/USDT,404.90000000,413.90000000,403.30000000,406.60000000,563521.04900000,230501976.66050000,255825
1650499200000,2022-04-21 00:00:00,BNB/USDT,418.40000000,426.00000000,401.20000000,404.90000000,771718.15400000,322432006.80050000,323273
1650412800000,2022-04-20 00:00:00,BNB/USDT,422.30000000,431.40000000,414.90000000,418.40000000,677255.09000000,286561981.32840000,355369
1650326400000,2022-04-19 00:00:00,BNB/USDT,416.90000000,424.70000000,414.60000000,422.30000000,567586.93100000,238184351.95820000,299856
1650240000000,2022-04-18 00:00:00,BNB/USDT,406.70000000,418.00000000,396.20000000,416.80000000,628747.77200000,255406129.10180000,298174
1650153600000,2022-04-17 00:00:00,BNB/USDT,417.30000000,418.20000000,405.50000000,406.60000000,302390.72600000,125179818.35670000,167160
1650067200000,2022-04-16 00:00:00,BNB/USDT,417.30000000,419.00000000,411.60000000,417.30000000,237289.02000000,98579512.00480000,153106
1649980800000,2022-04-15 00:00:00,BNB/USDT,414.70000000,420.00000000,412.50000000,417.30000000,331730.77300000,138219013.20940000,192015
1649894400000,2022-04-14 00:00:00,BNB/USDT,423.40000000,426.90000000,411.30000000,414.70000000,464220.20800000,194192225.96070000,264015
1649808000000,2022-04-13 00:00:00,BNB/USDT,413.70000000,424.60000000,410.30000000,423.40000000,630077.27700000,263365818.42430000,338150
1649721600000,2022-04-12 00:00:00,BNB/USDT,394.60000000,417.10000000,392.40000000,413.60000000,729790.91800000,297678247.11160000,364735
1649635200000,2022-04-11 00:00:00,BNB/USDT,418.10000000,419.70000000,391.20000000,394.60000000,856354.22400000,348015114.81860000,361757
1649548800000,2022-04-10 00:00:00,BNB/USDT,426.60000000,429.50000000,417.00000000,418.10000000,386650.88300000,164022002.15820000,212728
1649462400000,2022-04-09 00:00:00,BNB/USDT,421.50000000,428.20000000,419.60000000,426.60000000,356426.65900000,151083668.09670000,207253
1649376000000,2022-04-08 00:00:00,BNB/USDT,436.10000000,442.00000000,418.40000000,421.50000000,684600.07400000,294837274.72700000,363605
1649289600000,2022-04-07 00:00:00,BNB/USDT,420.10000000,450.00000000,416.20000000,436.00000000,717661.03600000,308674406.16490000,400142
1649203200000,2022-04-06 00:00:00,BNB/USDT,444.70000000,448.60000000,418.30000000,420.10000000,928930.80600000,401489681.82390000,504090
1649116800000,2022-04-05 00:00:00,BNB/USDT,447.60000000,460.00000000,444.10000000,444.70000000,761168.72500000,344439007.49770000,424545
1649030400000,2022-04-04 00:00:00,BNB/USDT,450.40000000,450.50000000,433.40000000,447.60000000,736637.27100000,326915235.44880000,380099
1648944000000,2022-04-03 00:00:00,BNB/USDT,437.30000000,455.70000000,432.20000000,450.40000000,676230.89200000,300737395.22410000,362521
1648857600000,2022-04-02 00:00:00,BNB/USDT,447.80000000,454.20000000,435.70000000,437.20000000,827864.88500000,369703437.96800000,416135
