unix,date,symbol,open,high,low,close,Volume SOL,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,SOL/USDT,44.87000000,45.01000000,44.30000000,44.51000000,104507.39000000,4667851.76700000,7913
1658188800000,2022-07-19 00:00:00,SOL/USDT,43.52000000,47.36000000,42.54000000,44.87000000,7876651.82000000,355431156.76720000,674599
1658102400000,2022-07-18 00:00:00,SOL/USDT,38.61000000,44.07000000,38.55000000,43.52000000,6300282.95000000,261136738.34400000,446880
1658016000000,2022-07-17 00:00:00,SOL/USDT,39.59000000,41.09000000,38.29000000,38.62000000,3795951.41000000,150590859.71780000,253441
1657929600000,2022-07-16 00:00:00,SOL/USDT,37.36000000,40.41000000,36.35000000,39.58000000,3945225.20000000,152184601.37860000,259342
1657843200000,2022-07-15 00:00:00,SOL/USDT,37.14000000,39.10000000,36.49000000,37.36000000,4440629.04000000,167467008.23130000,281361
1657756800000,2022-07-14 00:00:00,SOL/USDT,34.94000000,37.31000000,33.58000000,37.15000000,5214767.02000000,183611446.56670000,275359
1657670400000,2022-07-13 00:00:00,SOL/USDT,32.69000000,35.08000000,31.82000000,34.94000000,4798032.13000000,159907054.00990000,275893
1657584000000,2022-07-12 00:00:00,SOL/USDT,33.42000000,34.61000000,32.60000000,32.68000000,3202970.40000000,107886665.71600000,204957
1657497600000,2022-07-11 00:00:00,SOL/USDT,36.71000000,36.73000000,33.24000000,33.42000000,2927967.37000000,102666563.30430000,204049
1657411200000,2022-07-10 00:00:00,SOL/USDT,38.06000000,38.14000000,36.26000000,36.71000000,2181587.60000000,80772185.72840000,148125
1657324800000,2022-07-09 00:00:00,SOL/USDT,38.12000000,38.95000000,37.77000000,38.06000000,2088073.86000000,80090467.88860000,145253
1657238400000,2022-07-08 00:00:00,SOL/USDT,38.46000000,39.72000000,36.46000000,38.12000000,5277992.76000000,200786736.77890000,354548
1657152000000,2022-07-07 00:00:00,SOL/USDT,37.04000000,39.29000000,36.39000000,38.46000000,4091777.28000000,154787628.75830000,262606
1657065600000,2022-07-06 00:00:00,SOL/USDT,35.41000000,37.65000000,34.80000000,37.04000000,5298552.90000000,190911989.17680000,333851
1656979200000,2022-07-05 00:00:00,SOL/USDT,36.71000000,36.99000000,33.03000000,35.40000000,6098472.04000000,213296068.66330000,352757
1656892800000,2022-07-04 00:00:00,SOL/USDT,33.40000000,36.94000000,32.45000000,36.71000000,4064615.13000000,140036013.56780000,246563
1656806400000,2022-07-03 00:00:00,SOL/USDT,33.36000000,33.77000000,32.14000000,33.39000000,2394572.39000000,78904888.13080000,154731
1656720000000,2022-07-02 00:00:00,SOL/USDT,32.85000000,34.14000000,31.87000000,33.36000000,2740500.19000000,90108872.26280000,183520
1656633600000,2022-07-01 00:00:00,SOL/USDT,33.76000000,35.40000000,31.82000000,32.84000000,6155756.76000000,204979216.49370000,368256
1656547200000,2022-06-30 00:00:00,SOL/USDT,34.06000000,34.20000000,30.92000000,33.76000000,5337105.46000000,171919474.35340000,344452
