unix,date,symbol,open,high,low,close,Volume TUSD,Volume USDT,tradecount
1655164800000,2022-06-14 00:00:00,TUSD/USDT,1.00150000,1.00170000,1.00100000,1.00130000,54494609.00000000,54570189.70080000,67036
1655078400000,2022-06-13 00:00:00,TUSD/USDT,1.00130000,1.00400000,1.00110000,1.00150000,75209855.00000000,75328131.64610000,76235
1654992000000,2022-06-12 00:00:00,TUSD/USDT,1.00130000,1.00150000,1.00110000,1.00120000,25692518.00000000,25726478.92900000,34321
1654905600000,2022-06-11 00:00:00,TUSD/USDT,1.00110000,1.00130000,1.00100000,1.00120000,23566253.00000000,23593872.18450000,30856
1654819200000,2022-06-10 00:00:00,TUSD/USDT,1.00080000,1.00120000,1.00070000,1.00110000,16446416.00000000,16461823.39240000,20819
1654732800000,2022-06-09 00:00:00,TUSD/USDT,1.00080000,1.00090000,1.00070000,1.00080000,14022561.00000000,14033893.00530000,18539
1654646400000,2022-06-08 00:00:00,TUSD/USDT,1.00070000,1.00080000,1.00050000,1.00080000,18271108.00000000,18283468.84370000,27431
1654560000000,2022-06-07 00:00:00,TUSD/USDT,1.00080000,1.00100000,1.00060000,1.00070000,37461602.00000000,37491737.68470000,41444
1654473600000,2022-06-06 00:00:00,TUSD/USDT,1.00090000,1.00100000,1.00070000,1.00080000,24747448.00000000,24768123.86200000,35208
1654387200000,2022-06-05 00:00:00,TUSD/USDT,1.00090000,1.00100000,1.00070000,1.00090000,11723347.00000000,11733394.03960000,16900
1654300800000,2022-06-04 00:00:00,TUSD/USDT,1.00100000,1.00110000,1.00070000,1.00090000,9290461.00000000,9299098.72320000,13407
1654214400000,2022-06-03 00:00:00,TUSD/USDT,1.00080000,1.00110000,1.00070000,1.00100000,21580869.00000000,21599490.26750000,31066
1654128000000,2022-06-02 00:00:00,TUSD/USDT,1.00100000,1.00120000,1.00070000,1.00080000,23683696.00000000,23704515.83010000,33012
1654041600000,2022-06-01 00:00:00,TUSD/USDT,1.00090000,1.00120000,1.00070000,1.00100000,26024905.00000000,26049443.49820000,35973
1653955200000,2022-05-31 00:00:00,TUSD/USDT,1.00070000,1.00090000,1.00060000,1.00090000,25217206.00000000,25235864.34790000,36603
