unix,date,symbol,open,high,low,close,Volume ZEC,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,ZEC/USDT,64.80000000,64.80000000,63.60000000,63.80000000,2587.52200000,165971.22160000,579
1658188800000,2022-07-19 00:00:00,ZEC/USDT,65.60000000,67.20000000,62.10000000,64.70000000,189537.51500000,12254383.72500000,33877
1658102400000,2022-07-18 00:00:00,ZEC/USDT,59.50000000,66.20000000,59.30000000,65.60000000,184068.67800000,11700643.25000000,34127
1658016000000,2022-07-17 00:00:00,ZEC/USDT,63.20000000,64.00000000,59.20000000,59.50000000,123322.46700000,7526976.04740000,19177
1657929600000,2022-07-16 00:00:00,ZEC/USDT,58.50000000,64.10000000,57.70000000,63.30000000,134279.74700000,8190786.62930000,22697
1657843200000,2022-07-15 00:00:00,ZEC/USDT,57.70000000,60.00000000,57.00000000,58.40000000,115566.69100000,6749934.12760000,18039
1657756800000,2022-07-14 00:00:00,ZEC/USDT,55.00000000,59.60000000,52.70000000,57.70000000,129203.22900000,7264435.63260000,21351
1657670400000,2022-07-13 00:00:00,ZEC/USDT,52.10000000,55.10000000,50.00000000,55.10000000,108784.47962000,5686251.91689740,18917
1657584000000,2022-07-12 00:00:00,ZEC/USDT,55.70000000,55.70000000,51.90000000,52.10000000,115691.00100000,6280705.17870000,15960
1657497600000,2022-07-11 00:00:00,ZEC/USDT,59.80000000,59.80000000,55.40000000,55.70000000,63970.31300000,3704964.97890000,12180
1657411200000,2022-07-10 00:00:00,ZEC/USDT,61.20000000,61.30000000,58.10000000,59.80000000,61885.30000000,3686464.04030000,9850
1657324800000,2022-07-09 00:00:00,ZEC/USDT,59.50000000,62.50000000,59.50000000,61.20000000,60108.17900000,3685493.31830000,11427
1657238400000,2022-07-08 00:00:00,ZEC/USDT,59.90000000,61.60000000,57.70000000,59.40000000,87731.14700000,5217849.52250000,17562
1657152000000,2022-07-07 00:00:00,ZEC/USDT,58.30000000,60.60000000,57.20000000,59.90000000,94944.57600000,5594270.11250000,15249
1657065600000,2022-07-06 00:00:00,ZEC/USDT,57.00000000,58.60000000,55.80000000,58.20000000,94695.33200000,5448806.87130000,15475
1656979200000,2022-07-05 00:00:00,ZEC/USDT,58.10000000,58.80000000,54.80000000,57.10000000,121213.70200000,6884810.64610000,18806
1656892800000,2022-07-04 00:00:00,ZEC/USDT,54.50000000,58.70000000,52.90000000,58.10000000,113465.97300000,6346381.78150000,17142
1656806400000,2022-07-03 00:00:00,ZEC/USDT,54.10000000,55.20000000,52.20000000,54.50000000,48389.55000000,2602687.19980000,9265
1656720000000,2022-07-02 00:00:00,ZEC/USDT,53.50000000,54.90000000,51.90000000,54.00000000,62892.90700000,3349302.60180000,11390
