unix,date,symbol,open,high,low,close,Volume NEO,Volume USDT,tradecount
1654819200000,2022-06-10 00:00:00,NEO/USDT,12.04000000,12.05000000,10.93000000,11.41000000,520014.35000000,5981778.83950000,26027
1654732800000,2022-06-09 00:00:00,NEO/USDT,12.02000000,12.40000000,11.75000000,12.04000000,383162.05000000,4628483.84080000,18362
1654646400000,2022-06-08 00:00:00,NEO/USDT,11.85000000,12.86000000,11.47000000,12.01000000,1046973.07000000,12854441.23730000,45963
1654560000000,2022-06-07 00:00:00,NEO/USDT,12.15000000,12.17000000,11.22000000,11.86000000,618195.74000000,7175371.20920000,29132
1654473600000,2022-06-06 00:00:00,NEO/USDT,11.45000000,13.40000000,11.45000000,12.15000000,1339639.09000000,16798018.68500000,68164
1654387200000,2022-06-05 00:00:00,NEO/USDT,11.31000000,11.99000000,11.06000000,11.46000000,635632.15000000,7372874.81240000,28040
1654300800000,2022-06-04 00:00:00,NEO/USDT,11.16000000,11.34000000,10.94000000,11.31000000,200062.42000000,2231843.35100000,9563
1654214400000,2022-06-03 00:00:00,NEO/USDT,11.41000000,11.77000000,10.90000000,11.16000000,384108.23000000,4350424.56890000,17224
1654128000000,2022-06-02 00:00:00,NEO/USDT,11.14000000,11.52000000,10.86000000,11.40000000,448905.02000000,5040709.43480000,22079
1654041600000,2022-06-01 00:00:00,NEO/USDT,11.57000000,12.40000000,10.87000000,11.14000000,1227148.46000000,14384089.53330000,53496
1653955200000,2022-05-31 00:00:00,NEO/USDT,11.78000000,11.89000000,11.20000000,11.57000000,540766.84000000,6241373.36440000,25556
1653868800000,2022-05-30 00:00:00,NEO/USDT,10.64000000,11.83000000,10.57000000,11.78000000,722112.29000000,8164138.96890000,31210
1653782400000,2022-05-29 00:00:00,NEO/USDT,10.48000000,10.64000000,10.13000000,10.64000000,362745.67000000,3771485.12130000,15392
1653696000000,2022-05-28 00:00:00,NEO/USDT,10.28000000,10.66000000,10.10000000,10.47000000,495201.78000000,5166546.33420000,18255
1653609600000,2022-05-27 00:00:00,NEO/USDT,10.71000000,11.34000000,10.16000000,10.29000000,1422835.89000000,15278075.07190000,52627
1653523200000,2022-05-26 00:00:00,NEO/USDT,11.65000000,12.24000000,10.13000000,10.71000000,1208663.27000000,13304806.91590000,49567
1653436800000,2022-05-25 00:00:00,NEO/USDT,11.26000000,12.00000000,11.25000000,11.66000000,1014853.15000000,11784273.86530000,42207
1653350400000,2022-05-24 00:00:00,NEO/USDT,11.38000000,11.41000000,10.42000000,11.27000000,878406.62000000,9651219.48080000,39313
1653264000000,2022-05-23 00:00:00,NEO/USDT,10.86000000,12.65000000,10.82000000,11.38000000,2337189.14000000,27989379.31400000,103737
