unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT,tradecount
1656720000000,2022-07-02 00:00:00,XRP/USDT,0.31420000,0.31810000,0.30890000,0.31560000,179482724.00000000,56221451.44240000,88251
1656633600000,2022-07-01 00:00:00,XRP/USDT,0.33200000,0.33630000,0.31000000,0.31390000,373042743.00000000,118587656.95980000,184586
1656547200000,2022-06-30 00:00:00,XRP/USDT,0.32960000,0.33330000,0.30560000,0.33210000,463148646.00000000,147393644.66800000,245378
1656460800000,2022-06-29 00:00:00,XRP/USDT,0.33750000,0.34170000,0.32010000,0.32960000,329827694.00000000,108924493.26000000,163468
1656374400000,2022-06-28 00:00:00,XRP/USDT,0.35370000,0.35570000,0.33530000,0.33750000,316153206.00000000,109315246.46890000,155206
1656288000000,2022-06-27 00:00:00,XRP/USDT,0.35910000,0.36710000,0.34800000,0.35370000,274516503.00000000,98508600.88050000,140953
1656201600000,2022-06-26 00:00:00,XRP/USDT,0.36770000,0.37510000,0.35760000,0.35920000,194186812.00000000,71039962.39620000,118676
1656115200000,2022-06-25 00:00:00,XRP/USDT,0.36720000,0.37410000,0.35420000,0.36760000,216676025.00000000,79123639.77190000,134079
1656028800000,2022-06-24 00:00:00,XRP/USDT,0.33570000,0.38710000,0.33480000,0.36720000,610286919.00000000,223815201.86900000,364031
1655942400000,2022-06-23 00:00:00,XRP/USDT,0.32230000,0.33710000,0.32130000,0.33580000,293426615.00000000,96235892.65720000,133928
1655856000000,2022-06-22 00:00:00,XRP/USDT,0.32940000,0.32970000,0.31900000,0.32230000,315095128.00000000,101794452.02250000,152486
1655769600000,2022-06-21 00:00:00,XRP/USDT,0.32260000,0.33740000,0.31870000,0.32940000,379691157.00000000,124852730.71560000,187784
1655683200000,2022-06-20 00:00:00,XRP/USDT,0.32620000,0.32890000,0.31350000,0.32270000,356161086.00000000,114351278.52380000,181160
1655596800000,2022-06-19 00:00:00,XRP/USDT,0.30740000,0.33300000,0.29810000,0.32640000,393395495.00000000,123246578.66740000,201014
1655510400000,2022-06-18 00:00:00,XRP/USDT,0.32100000,0.32630000,0.28720000,0.30750000,555977925.71000000,170366179.89538100,283907
1655424000000,2022-06-17 00:00:00,XRP/USDT,0.31320000,0.33970000,0.31050000,0.32100000,430655102.00000000,140271381.55950000,198729
1655337600000,2022-06-16 00:00:00,XRP/USDT,0.34360000,0.34750000,0.30730000,0.31320000,589816543.00000000,190349169.85710000,238916
1655251200000,2022-06-15 00:00:00,XRP/USDT,0.32150000,0.34690000,0.29800000,0.34360000,865192872.00000000,271227096.24170000,404846
1655164800000,2022-06-14 00:00:00,XRP/USDT,0.31170000,0.32670000,0.29360000,0.32140000,778418633.00000000,243464785.14198500,342614
1655078400000,2022-06-13 00:00:00,XRP/USDT,0.34330000,0.35070000,0.30120000,0.31180000,1028751993.07000000,328637316.32500200,508115
1654992000000,2022-06-12 00:00:00,XRP/USDT,0.35980000,0.36540000,0.33940000,0.34330000,427316144.00000000,149735662.36400000,211927
1654905600000,2022-06-11 00:00:00,XRP/USDT,0.38150000,0.38870000,0.35570000,0.35990000,335176735.00000000,124317447.96890000,162752
1654819200000,2022-06-10 00:00:00,XRP/USDT,0.40020000,0.41180000,0.37620000,0.38150000,399808206.00000000,157089536.93000000,194473
1654732800000,2022-06-09 00:00:00,XRP/USDT,0.40070000,0.40410000,0.39650000,0.40020000,253775318.00000000,101687547.29320000,108685
1654646400000,2022-06-08 00:00:00,XRP/USDT,0.40760000,0.41040000,0.39470000,0.40060000,307076296.00000000,123154505.04330000,165487
1654560000000,2022-06-07 00:00:00,XRP/USDT,0.40270000,0.41750000,0.38460000,0.40760000,418785041.00000000,166280541.38170000,220088
1654473600000,2022-06-06 00:00:00,XRP/USDT,0.39540000,0.40990000,0.39400000,0.40260000,253767142.00000000,102110040.33700000,130186
1654387200000,2022-06-05 00:00:00,XRP/USDT,0.39250000,0.39950000,0.38950000,0.39530000,134209649.00000000,52902644.56820000,73022
1654300800000,2022-06-04 00:00:00,XRP/USDT,0.39030000,0.39440000,0.38460000,0.39250000,134031506.00000000,52239259.27910000,77118
1654214400000,2022-06-03 00:00:00,XRP/USDT,0.40540000,0.41050000,0.38390000,0.39040000,283788604.00000000,112542326.36650000,148952
1654128000000,2022-06-02 00:00:00,XRP/USDT,0.39810000,0.40720000,0.39070000,0.40550000,350695114.00000000,139400566.45110000,147596
1654041600000,2022-06-01 00:00:00,XRP/USDT,0.42170000,0.42660000,0.38870000,0.39800000,436983828.00000000,178928611.57630000,200731
1653955200000,2022-05-31 00:00:00,XRP/USDT,0.41880000,0.43420000,0.40650000,0.42170000,422313633.00000000,176780178.82010000,207019
1653868800000,2022-05-30 00:00:00,XRP/USDT,0.38910000,0.41970000,0.38660000,0.41870000,371239281.00000000,149384767.03210000,167873
1653782400000,2022-05-29 00:00:00,XRP/USDT,0.38630000,0.39080000,0.37940000,0.38910000,190159222.00000000,73294559.50390000,80104
1653696000000,2022-05-28 00:00:00,XRP/USDT,0.38200000,0.38900000,0.38050000,0.38630000,232996058.00000000,89731706.81050000,101729
1653609600000,2022-05-27 00:00:00,XRP/USDT,0.39210000,0.40320000,0.37640000,0.38190000,549974246.00000000,214888250.22710000,235251
1653523200000,2022-05-26 00:00:00,XRP/USDT,0.40610000,0.41090000,0.37530000,0.39200000,626704757.00000000,246729969.60500000,251980
1653436800000,2022-05-25 00:00:00,XRP/USDT,0.40870000,0.41380000,0.39480000,0.40600000,414339536.00000000,167969372.21930000,161858
1653350400000,2022-05-24 00:00:00,XRP/USDT,0.40520000,0.41380000,0.39080000,0.40860000,309724750.00000000,125344682.66550000,147275
1653264000000,2022-05-23 00:00:00,XRP/USDT,0.42170000,0.42870000,0.40020000,0.40520000,301434382.00000000,126188136.56090000,179962
1653177600000,2022-05-22 00:00:00,XRP/USDT,0.41440000,0.42550000,0.41010000,0.42180000,143783091.00000000,60032697.60840000,93691
1653091200000,2022-05-21 00:00:00,XRP/USDT,0.41010000,0.41830000,0.40300000,0.41450000,144232225.00000000,59372483.58250000,92445
1653004800000,2022-05-20 00:00:00,XRP/USDT,0.42050000,0.44070000,0.40160000,0.41010000,358049438.00000000,150932151.75710000,221270
1652918400000,2022-05-19 00:00:00,XRP/USDT,0.40560000,0.42420000,0.39080000,0.42050000,285465302.00000000,116869173.75990000,199622
1652832000000,2022-05-18 00:00:00,XRP/USDT,0.43800000,0.44280000,0.40370000,0.40560000,370954228.00000000,155713298.61080000,236704
1652745600000,2022-05-17 00:00:00,XRP/USDT,0.42310000,0.44030000,0.41700000,0.43800000,376428299.00000000,162168648.85970000,251858
1652659200000,2022-05-16 00:00:00,XRP/USDT,0.44810000,0.44810000,0.40870000,0.42310000,433909248.00000000,183880284.58740000,305356
1652572800000,2022-05-15 00:00:00,XRP/USDT,0.42620000,0.45000000,0.41490000,0.44810000,267739238.00000000,114744354.51960000,215477
1652486400000,2022-05-14 00:00:00,XRP/USDT,0.42290000,0.44100000,0.39550000,0.42620000,442845171.00000000,185744367.71240000,346940
1652400000000,2022-05-13 00:00:00,XRP/USDT,0.38560000,0.46590000,0.38130000,0.42280000,698396767.00000000,301967793.82100000,550622
1652313600000,2022-05-12 00:00:00,XRP/USDT,0.41720000,0.42960000,0.33610000,0.38560000,1567507931.50000000,594186113.52636500,1276059
1652227200000,2022-05-11 00:00:00,XRP/USDT,0.51300000,0.52530000,0.36460000,0.41720000,1598443681.35000000,731722915.31470500,1259135
1652140800000,2022-05-10 00:00:00,XRP/USDT,0.48720000,0.53710000,0.47220000,0.51300000,900790302.00000000,459950527.42000000,637387
1652054400000,2022-05-09 00:00:00,XRP/USDT,0.56630000,0.57890000,0.47000000,0.48730000,841979616.33000000,440258885.07892200,614982
1651968000000,2022-05-08 00:00:00,XRP/USDT,0.58080000,0.58330000,0.55720000,0.56620000,335981906.00000000,191966430.33330000,204020
1651881600000,2022-05-07 00:00:00,XRP/USDT,0.60220000,0.60440000,0.56920000,0.58080000,243420987.00000000,144029120.13940000,162836
1651795200000,2022-05-06 00:00:00,XRP/USDT,0.59810000,0.61640000,0.58750000,0.60220000,363872112.00000000,218917267.89230000,281104
1651708800000,2022-05-05 00:00:00,XRP/USDT,0.64600000,0.65720000,0.58010000,0.59810000,446938464.00000000,275475127.52750000,326425
1651622400000,2022-05-04 00:00:00,XRP/USDT,0.60470000,0.65000000,0.60390000,0.64590000,345607731.00000000,214781739.89200000,250260
1651536000000,2022-05-03 00:00:00,XRP/USDT,0.61430000,0.62800000,0.59610000,0.60470000,284044788.00000000,174187576.73460000,192989
1651449600000,2022-05-02 00:00:00,XRP/USDT,0.60700000,0.63120000,0.59840000,0.61430000,332748235.00000000,204458052.86530000,255037
1651363200000,2022-05-01 00:00:00,XRP/USDT,0.58450000,0.61250000,0.57600000,0.60700000,279653905.00000000,166027183.23120000,253008
1651276800000,2022-04-30 00:00:00,XRP/USDT,0.61150000,0.62880000,0.56630000,0.58450000,354754733.00000000,214938073.85450000,274288
1651190400000,2022-04-29 00:00:00,XRP/USDT,0.64280000,0.64640000,0.59920000,0.61160000,322263629.00000000,200206773.40920000,234208
1651104000000,2022-04-28 00:00:00,XRP/USDT,0.65220000,0.65770000,0.63330000,0.64280000,242145728.00000000,156497699.41270000,195259
1651017600000,2022-04-27 00:00:00,XRP/USDT,0.64200000,0.66300000,0.63610000,0.65220000,277994630.00000000,180637616.85300000,241976
1650931200000,2022-04-26 00:00:00,XRP/USDT,0.69310000,0.70650000,0.62760000,0.64200000,355964613.00000000,237444379.89660000,311924
1650844800000,2022-04-25 00:00:00,XRP/USDT,0.69800000,0.69980000,0.64510000,0.69310000,399434752.00000000,267285979.65940000,354207
1650758400000,2022-04-24 00:00:00,XRP/USDT,0.70570000,0.71190000,0.69440000,0.69810000,144945400.00000000,102084222.50700000,137510
1650672000000,2022-04-23 00:00:00,XRP/USDT,0.71780000,0.72670000,0.70230000,0.70570000,163036743.00000000,116203898.73680000,154364
1650585600000,2022-04-22 00:00:00,XRP/USDT,0.73280000,0.73870000,0.71420000,0.71790000,220757625.00000000,160328204.81800000,216443
1650499200000,2022-04-21 00:00:00,XRP/USDT,0.75170000,0.76860000,0.71800000,0.73280000,241310449.00000000,180731787.39060000,241040
1650412800000,2022-04-20 00:00:00,XRP/USDT,0.77490000,0.77530000,0.74200000,0.75170000,220246970.00000000,167656195.87770000,192462
1650326400000,2022-04-19 00:00:00,XRP/USDT,0.76980000,0.78600000,0.75880000,0.77490000,199132020.00000000,153428708.36250000,191968
1650240000000,2022-04-18 00:00:00,XRP/USDT,0.75190000,0.76990000,0.72660000,0.76990000,257757252.00000000,192473959.50380000,258339
1650153600000,2022-04-17 00:00:00,XRP/USDT,0.78080000,0.78610000,0.74770000,0.75190000,188468510.00000000,145499726.04620000,176462
1650067200000,2022-04-16 00:00:00,XRP/USDT,0.78590000,0.79990000,0.76580000,0.78080000,206493032.00000000,161483053.80880000,195172
1649980800000,2022-04-15 00:00:00,XRP/USDT,0.72620000,0.79750000,0.72610000,0.78580000,439676502.00000000,340018971.27680000,490660
1649894400000,2022-04-14 00:00:00,XRP/USDT,0.72320000,0.74130000,0.70830000,0.72620000,239629937.00000000,173590844.06360000,217510
1649808000000,2022-04-13 00:00:00,XRP/USDT,0.71510000,0.72520000,0.70170000,0.72320000,217937566.00000000,156097770.26430000,205229
1649721600000,2022-04-12 00:00:00,XRP/USDT,0.69490000,0.73400000,0.69240000,0.71520000,263088987.00000000,185940902.03630000,260994
1649635200000,2022-04-11 00:00:00,XRP/USDT,0.75430000,0.75580000,0.68020000,0.69480000,354459252.00000000,253488704.68940000,328030
1649548800000,2022-04-10 00:00:00,XRP/USDT,0.76230000,0.77310000,0.75240000,0.75430000,123028708.00000000,93662860.13360000,127125
1649462400000,2022-04-09 00:00:00,XRP/USDT,0.75500000,0.76680000,0.75310000,0.76220000,102131244.00000000,77625116.22990000,107344
1649376000000,2022-04-08 00:00:00,XRP/USDT,0.78700000,0.79440000,0.74630000,0.75490000,210639194.00000000,162771256.50490000,208204
1649289600000,2022-04-07 00:00:00,XRP/USDT,0.75940000,0.79110000,0.75230000,0.78710000,196211648.00000000,152188903.52170000,203495
1649203200000,2022-04-06 00:00:00,XRP/USDT,0.81640000,0.81840000,0.75550000,0.75950000,348686323.00000000,274381875.70230000,364137
1649116800000,2022-04-05 00:00:00,XRP/USDT,0.82610000,0.83660000,0.81450000,0.81640000,174779509.00000000,144156926.24180000,158487
1649030400000,2022-04-04 00:00:00,XRP/USDT,0.84320000,0.84400000,0.80410000,0.82600000,216740017.00000000,179165135.24210000,215429
1648944000000,2022-04-03 00:00:00,XRP/USDT,0.82400000,0.85190000,0.81430000,0.84320000,159520162.00000000,133117452.91720000,156976
1648857600000,2022-04-02 00:00:00,XRP/USDT,0.82770000,0.84990000,0.81850000,0.82400000,210041825.00000000,175623270.31370000,208651
1648771200000,2022-04-01 00:00:00,XRP/USDT,0.81490000,0.83430000,0.80700000,0.82770000,254001232.00000000,208774877.56530000,251817
1648684800000,2022-03-31 00:00:00,XRP/USDT,0.86130000,0.87370000,0.77940000,0.81480000,366939277.00000000,305824263.88920000,400216
