unix,date,symbol,open,high,low,close,Volume ALGO,Volume USDT,tradecount
1654387200000,2022-06-05 00:00:00,ALGO/USDT,0.38810000,0.40320000,0.37910000,0.39180000,32132243.00000000,12603870.07500000,50097
1654300800000,2022-06-04 00:00:00,ALGO/USDT,0.38100000,0.39040000,0.36700000,0.38830000,21203500.00000000,7981479.74580000,33247
1654214400000,2022-06-03 00:00:00,ALGO/USDT,0.39480000,0.39720000,0.37130000,0.38110000,31207050.00000000,11923849.80700000,45541
1654128000000,2022-06-02 00:00:00,ALGO/USDT,0.38490000,0.39710000,0.37660000,0.39470000,34843886.00000000,13398990.19090000,58308
1654041600000,2022-06-01 00:00:00,ALGO/USDT,0.41120000,0.42870000,0.37430000,0.38500000,69193996.00000000,28183737.86430000,121611
1653955200000,2022-05-31 00:00:00,ALGO/USDT,0.42010000,0.42550000,0.39540000,0.41130000,58909848.00000000,24260102.69210000,100472
1653868800000,2022-05-30 00:00:00,ALGO/USDT,0.37890000,0.42380000,0.37630000,0.42010000,54462784.00000000,21890515.55620000,91652
1653782400000,2022-05-29 00:00:00,ALGO/USDT,0.36730000,0.38000000,0.35270000,0.37880000,39721294.00000000,14557277.11849800,57114
1653696000000,2022-05-28 00:00:00,ALGO/USDT,0.36060000,0.37440000,0.35490000,0.36740000,44718711.00000000,16303414.51240000,64485
1653609600000,2022-05-27 00:00:00,ALGO/USDT,0.37940000,0.38470000,0.35550000,0.36060000,56176978.00000000,20695643.61280000,103929
1653523200000,2022-05-26 00:00:00,ALGO/USDT,0.40580000,0.41270000,0.36640000,0.37940000,60180181.00000000,23305298.50860000,109955
1653436800000,2022-05-25 00:00:00,ALGO/USDT,0.41900000,0.42220000,0.39880000,0.40570000,41739825.00000000,17041858.55390000,68459
1653350400000,2022-05-24 00:00:00,ALGO/USDT,0.41720000,0.42230000,0.39070000,0.41910000,41324277.00000000,16883900.63310000,72787
1653264000000,2022-05-23 00:00:00,ALGO/USDT,0.44260000,0.45270000,0.41060000,0.41710000,49830883.00000000,21886499.84020000,96006
1653177600000,2022-05-22 00:00:00,ALGO/USDT,0.43500000,0.44950000,0.42380000,0.44270000,39441576.00000000,17233101.14000000,73172
1653091200000,2022-05-21 00:00:00,ALGO/USDT,0.43320000,0.44390000,0.42140000,0.43500000,37238043.00000000,16069490.01990000,68334
1653004800000,2022-05-20 00:00:00,ALGO/USDT,0.45150000,0.45930000,0.41990000,0.43350000,48439159.00000000,21343112.64610000,98262
1652918400000,2022-05-19 00:00:00,ALGO/USDT,0.43360000,0.46400000,0.42110000,0.45160000,50933703.00000000,22514373.13570000,109809
1652832000000,2022-05-18 00:00:00,ALGO/USDT,0.49500000,0.50430000,0.43120000,0.43340000,46630616.00000000,21611248.60170000,113418
1652745600000,2022-05-17 00:00:00,ALGO/USDT,0.46040000,0.50870000,0.45930000,0.49500000,49493595.00000000,24077685.02760000,118716
1652659200000,2022-05-16 00:00:00,ALGO/USDT,0.49050000,0.49050000,0.43770000,0.46030000,55700503.00000000,25677215.50380000,133822
1652572800000,2022-05-15 00:00:00,ALGO/USDT,0.46360000,0.49400000,0.44400000,0.49060000,38615772.00000000,17841494.86520000,99986
1652486400000,2022-05-14 00:00:00,ALGO/USDT,0.44350000,0.47400000,0.41810000,0.46350000,69160967.00000000,30752113.11510000,168449
1652400000000,2022-05-13 00:00:00,ALGO/USDT,0.42410000,0.50900000,0.41480000,0.44350000,101243097.00000000,47456430.89600000,248589
1652313600000,2022-05-12 00:00:00,ALGO/USDT,0.45100000,0.48100000,0.35720000,0.42320000,204067701.25000000,83642737.02739300,349512
1652227200000,2022-05-11 00:00:00,ALGO/USDT,0.58480000,0.60700000,0.40340000,0.45040000,241579174.72000000,121491786.29469700,483183
1652140800000,2022-05-10 00:00:00,ALGO/USDT,0.57370000,0.66080000,0.55170000,0.58520000,165548448.00000000,101051180.71760000,381504
1652054400000,2022-05-09 00:00:00,ALGO/USDT,0.72940000,0.75550000,0.56510000,0.57460000,153129527.00000000,101694143.65760000,389193
1651968000000,2022-05-08 00:00:00,ALGO/USDT,0.74870000,0.78620000,0.70750000,0.72920000,147492538.00000000,109290665.26430000,381037
1651881600000,2022-05-07 00:00:00,ALGO/USDT,0.69730000,0.77500000,0.67230000,0.74870000,149618343.00000000,109640862.61480000,360185
1651795200000,2022-05-06 00:00:00,ALGO/USDT,0.63380000,0.72500000,0.62550000,0.69730000,115860871.00000000,77810838.21400000,315963
1651708800000,2022-05-05 00:00:00,ALGO/USDT,0.71590000,0.73100000,0.61420000,0.63400000,70791981.00000000,47235941.08140000,176761
1651622400000,2022-05-04 00:00:00,ALGO/USDT,0.67080000,0.71900000,0.65320000,0.71570000,104533672.00000000,71023694.21720000,248527
1651536000000,2022-05-03 00:00:00,ALGO/USDT,0.61590000,0.74300000,0.61090000,0.67100000,172302198.00000000,119358148.27030000,435480
1651449600000,2022-05-02 00:00:00,ALGO/USDT,0.60140000,0.64840000,0.58000000,0.61610000,45665627.00000000,27748808.91310000,101619
1651363200000,2022-05-01 00:00:00,ALGO/USDT,0.56720000,0.60510000,0.56400000,0.60160000,39309711.00000000,22979534.61700000,86482
1651276800000,2022-04-30 00:00:00,ALGO/USDT,0.63800000,0.63960000,0.53730000,0.56730000,37752138.70000000,22653772.66255000,93562
1651190400000,2022-04-29 00:00:00,ALGO/USDT,0.69840000,0.70990000,0.61920000,0.63810000,43316295.98000000,28744863.77395400,108876
1651104000000,2022-04-28 00:00:00,ALGO/USDT,0.67130000,0.71580000,0.66090000,0.69820000,42287624.00000000,28834911.48920000,107516
1651017600000,2022-04-27 00:00:00,ALGO/USDT,0.65600000,0.67850000,0.64880000,0.67120000,27728502.00000000,18449451.50400000,68411
1650931200000,2022-04-26 00:00:00,ALGO/USDT,0.70310000,0.72800000,0.64270000,0.65600000,37548574.94000000,25770088.19704000,100450
1650844800000,2022-04-25 00:00:00,ALGO/USDT,0.70090000,0.70600000,0.65540000,0.70300000,40977137.92000000,27823197.84084200,105030
1650758400000,2022-04-24 00:00:00,ALGO/USDT,0.70730000,0.71440000,0.69670000,0.70110000,12789033.00000000,9037419.72250000,37699
1650672000000,2022-04-23 00:00:00,ALGO/USDT,0.71910000,0.72370000,0.70370000,0.70740000,16364047.00000000,11716232.73300000,46506
1650585600000,2022-04-22 00:00:00,ALGO/USDT,0.71850000,0.73160000,0.71130000,0.71910000,20881215.00000000,15073091.48910000,62275
1650499200000,2022-04-21 00:00:00,ALGO/USDT,0.74150000,0.77440000,0.70840000,0.71840000,30344411.00000000,22651749.42550000,92526
1650412800000,2022-04-20 00:00:00,ALGO/USDT,0.75910000,0.77120000,0.72940000,0.74150000,26816689.00000000,20123143.97470000,79299
1650326400000,2022-04-19 00:00:00,ALGO/USDT,0.73650000,0.76330000,0.72850000,0.75890000,31037097.00000000,23218179.62150000,103270
1650240000000,2022-04-18 00:00:00,ALGO/USDT,0.71040000,0.74050000,0.68780000,0.73650000,33765836.00000000,24110005.27070000,101347
1650153600000,2022-04-17 00:00:00,ALGO/USDT,0.74330000,0.74570000,0.70600000,0.71050000,18920485.00000000,13865004.35040000,65642
1650067200000,2022-04-16 00:00:00,ALGO/USDT,0.73930000,0.75140000,0.72760000,0.74320000,15606184.00000000,11529794.88500000,56759
1649980800000,2022-04-15 00:00:00,ALGO/USDT,0.72670000,0.74310000,0.72120000,0.73930000,20936877.00000000,15354742.90640000,65102
1649894400000,2022-04-14 00:00:00,ALGO/USDT,0.74610000,0.76130000,0.71500000,0.72670000,25291305.00000000,18701965.82820000,87867
1649808000000,2022-04-13 00:00:00,ALGO/USDT,0.72580000,0.74800000,0.71360000,0.74610000,31073552.00000000,22792287.54950000,101803
1649721600000,2022-04-12 00:00:00,ALGO/USDT,0.69340000,0.74470000,0.68540000,0.72580000,31169176.00000000,22412824.41610000,102481
1649635200000,2022-04-11 00:00:00,ALGO/USDT,0.75030000,0.76090000,0.68130000,0.69360000,32285112.00000000,23212869.41990000,96249
1649548800000,2022-04-10 00:00:00,ALGO/USDT,0.78810000,0.79000000,0.74630000,0.75030000,14941731.00000000,11558441.66580000,48242
1649462400000,2022-04-09 00:00:00,ALGO/USDT,0.75880000,0.78960000,0.75760000,0.78800000,16582407.00000000,12841215.06520000,56823
1649376000000,2022-04-08 00:00:00,ALGO/USDT,0.79910000,0.80970000,0.75130000,0.75950000,25302339.00000000,19952374.52180000,78787
1649289600000,2022-04-07 00:00:00,ALGO/USDT,0.76580000,0.80900000,0.75040000,0.79930000,29187454.00000000,22970160.12300000,98467
1649203200000,2022-04-06 00:00:00,ALGO/USDT,0.83480000,0.83730000,0.76500000,0.76610000,48875684.00000000,39132778.33180000,152694
1649116800000,2022-04-05 00:00:00,ALGO/USDT,0.88240000,0.90040000,0.83070000,0.83450000,35442205.00000000,30844857.88340000,103951
1649030400000,2022-04-04 00:00:00,ALGO/USDT,0.93540000,0.93680000,0.85000000,0.88270000,42136651.00000000,37797582.84690000,126941
1648944000000,2022-04-03 00:00:00,ALGO/USDT,0.90660000,0.94780000,0.88800000,0.93530000,28740792.00000000,26510108.40240000,89387
1648857600000,2022-04-02 00:00:00,ALGO/USDT,0.93930000,0.97700000,0.89650000,0.90680000,48615895.00000000,46240797.80200000,141573
1648771200000,2022-04-01 00:00:00,ALGO/USDT,0.92930000,0.96240000,0.88870000,0.93910000,38982195.00000000,36324868.48170000,135693
1648684800000,2022-03-31 00:00:00,ALGO/USDT,0.92680000,0.98860000,0.90960000,0.92930000,52408387.00000000,49637959.39390000,179835
1648598400000,2022-03-30 00:00:00,ALGO/USDT,0.92280000,0.95570000,0.88140000,0.92660000,43231856.00000000,40205472.35670000,150328
1648512000000,2022-03-29 00:00:00,ALGO/USDT,0.90710000,0.96380000,0.89810000,0.92300000,39064270.00000000,36343559.85800000,138562
1648425600000,2022-03-28 00:00:00,ALGO/USDT,0.94920000,0.97390000,0.89220000,0.90680000,37338627.00000000,35520552.15610000,132201
1648339200000,2022-03-27 00:00:00,ALGO/USDT,0.91160000,0.94980000,0.89500000,0.94930000,24198146.00000000,22361752.91020000,86992
1648252800000,2022-03-26 00:00:00,ALGO/USDT,0.88870000,0.92000000,0.87530000,0.91160000,24603765.00000000,22147449.26680000,76690
1648166400000,2022-03-25 00:00:00,ALGO/USDT,0.89080000,0.94990000,0.88220000,0.88870000,61414552.00000000,56128968.99990000,200959
1648080000000,2022-03-24 00:00:00,ALGO/USDT,0.83880000,0.90800000,0.82120000,0.89110000,46497264.00000000,40277135.18220000,135208
1647993600000,2022-03-23 00:00:00,ALGO/USDT,0.82680000,0.83900000,0.80420000,0.83880000,30339005.00000000,24935907.43420000,75344
