unix,date,symbol,open,high,low,close,Volume UNI,Volume USDT,tradecount
1654300800000,2022-06-04 00:00:00,UNI/USDT,5.08000000,5.18000000,4.94000000,5.13000000,1013048.94000000,5120531.12700000,16301
1654214400000,2022-06-03 00:00:00,UNI/USDT,5.30000000,5.34000000,4.96000000,5.08000000,1457460.12000000,7457626.43930000,19973
1654128000000,2022-06-02 00:00:00,UNI/USDT,5.14000000,5.34000000,5.04000000,5.30000000,2429713.61000000,12628237.27000000,27254
1654041600000,2022-06-01 00:00:00,UNI/USDT,5.70000000,5.82000000,5.10000000,5.14000000,2830546.52000000,15586271.03590000,38228
1653955200000,2022-05-31 00:00:00,UNI/USDT,5.66000000,5.88000000,5.54000000,5.70000000,3488946.00000000,19921104.83270000,44323
1653868800000,2022-05-30 00:00:00,UNI/USDT,4.95000000,5.70000000,4.89000000,5.66000000,3675000.23000000,19739394.86850000,44370
1653782400000,2022-05-29 00:00:00,UNI/USDT,4.99000000,5.03000000,4.77000000,4.95000000,2160832.05000000,10572178.73090000,22685
1653696000000,2022-05-28 00:00:00,UNI/USDT,4.70000000,5.03000000,4.61000000,4.98000000,2470893.60000000,11915104.31450000,25462
1653609600000,2022-05-27 00:00:00,UNI/USDT,4.95000000,5.09000000,4.59000000,4.69000000,5120258.03000000,24731584.91610000,56433
1653523200000,2022-05-26 00:00:00,UNI/USDT,5.63000000,5.77000000,4.77000000,4.95000000,4505027.86000000,23269072.46750000,54747
1653436800000,2022-05-25 00:00:00,UNI/USDT,5.60000000,5.80000000,5.38000000,5.62000000,3072355.39000000,17246424.25440000,33582
1653350400000,2022-05-24 00:00:00,UNI/USDT,5.63000000,5.83000000,5.28000000,5.60000000,3734107.58000000,20811491.39440000,42810
1653264000000,2022-05-23 00:00:00,UNI/USDT,5.49000000,6.08000000,5.36000000,5.62000000,4457774.11000000,25498972.97970000,55929
1653177600000,2022-05-22 00:00:00,UNI/USDT,5.24000000,5.54000000,5.12000000,5.48000000,2259806.45000000,12013514.37860000,25164
1653091200000,2022-05-21 00:00:00,UNI/USDT,5.10000000,5.38000000,4.98000000,5.24000000,1909543.26000000,9914029.78730000,25263
1653004800000,2022-05-20 00:00:00,UNI/USDT,5.20000000,5.52000000,4.92000000,5.10000000,3301934.51000000,17298997.16510000,42739
1652918400000,2022-05-19 00:00:00,UNI/USDT,4.90000000,5.35000000,4.73000000,5.19000000,3074014.69000000,15327168.14760000,36556
1652832000000,2022-05-18 00:00:00,UNI/USDT,5.47000000,5.55000000,4.87000000,4.89000000,2512634.31000000,12979340.39730000,34165
1652745600000,2022-05-17 00:00:00,UNI/USDT,5.06000000,5.51000000,5.04000000,5.47000000,3218048.30000000,16994979.89600000,41002
1652659200000,2022-05-16 00:00:00,UNI/USDT,5.46000000,5.46000000,4.89000000,5.06000000,2815061.20000000,14305514.28030000,43200
1652572800000,2022-05-15 00:00:00,UNI/USDT,5.18000000,5.47000000,4.98000000,5.46000000,2656164.50000000,13853843.56230000,40104
1652486400000,2022-05-14 00:00:00,UNI/USDT,5.14000000,5.38000000,4.72000000,5.17000000,3157543.73000000,15873648.91750000,49703
1652400000000,2022-05-13 00:00:00,UNI/USDT,4.67000000,5.47000000,4.60000000,5.13000000,4218652.85000000,21640713.76100000,68596
1652313600000,2022-05-12 00:00:00,UNI/USDT,4.92000000,5.20000000,3.73000000,4.67000000,8726581.30000000,38932544.55410000,147326
1652227200000,2022-05-11 00:00:00,UNI/USDT,6.08000000,6.22000000,4.65000000,4.91000000,9587421.08000000,52451214.32522000,166986
1652140800000,2022-05-10 00:00:00,UNI/USDT,5.95000000,6.66000000,5.75000000,6.07000000,5405883.36000000,33758161.88980000,110625
1652054400000,2022-05-09 00:00:00,UNI/USDT,7.10000000,7.22000000,5.90000000,5.95000000,5910358.91900000,38834568.50677800,120067
1651968000000,2022-05-08 00:00:00,UNI/USDT,7.18000000,7.34000000,6.85000000,7.09000000,2402992.12000000,17084407.40320000,57938
1651881600000,2022-05-07 00:00:00,UNI/USDT,7.59000000,7.65000000,6.97000000,7.18000000,2468567.96000000,18296348.62710000,58590
1651795200000,2022-05-06 00:00:00,UNI/USDT,7.35000000,7.70000000,6.85000000,7.59000000,2686760.07000000,19609505.06590000,65995
1651708800000,2022-05-05 00:00:00,UNI/USDT,7.93000000,8.11000000,6.96000000,7.34000000,2925514.80000000,21991120.21640000,68704
1651622400000,2022-05-04 00:00:00,UNI/USDT,6.86000000,7.97000000,6.83000000,7.93000000,2536415.52000000,18694671.90710000,60385
1651536000000,2022-05-03 00:00:00,UNI/USDT,6.94000000,7.13000000,6.69000000,6.85000000,1239669.15000000,8622309.89650000,29041
1651449600000,2022-05-02 00:00:00,UNI/USDT,7.12000000,7.20000000,6.64000000,6.94000000,1762024.29000000,12132331.89560000,38202
1651363200000,2022-05-01 00:00:00,UNI/USDT,6.76000000,7.24000000,6.53000000,7.12000000,2287673.78000000,15759635.38890000,52559
1651276800000,2022-04-30 00:00:00,UNI/USDT,7.62000000,7.79000000,6.35000000,6.75000000,2622825.35800000,18806873.96419700,63372
1651190400000,2022-04-29 00:00:00,UNI/USDT,8.17000000,8.23000000,7.51000000,7.61000000,1635435.76000000,12847676.99280000,43739
1651104000000,2022-04-28 00:00:00,UNI/USDT,8.23000000,8.36000000,8.02000000,8.16000000,1363059.67000000,11176212.08980000,36753
1651017600000,2022-04-27 00:00:00,UNI/USDT,8.01000000,8.41000000,7.98000000,8.23000000,1036909.08000000,8535821.90030000,31351
1650931200000,2022-04-26 00:00:00,UNI/USDT,8.74000000,8.82000000,7.91000000,8.01000000,1315422.73000000,11051167.77670000,39584
1650844800000,2022-04-25 00:00:00,UNI/USDT,8.71000000,8.78000000,8.16000000,8.73000000,1836789.57000000,15532551.36970000,52314
1650758400000,2022-04-24 00:00:00,UNI/USDT,8.91000000,9.16000000,8.68000000,8.71000000,1087081.66000000,9667408.92850000,32266
1650672000000,2022-04-23 00:00:00,UNI/USDT,8.91000000,9.22000000,8.83000000,8.90000000,995331.67000000,9006701.73830000,27800
1650585600000,2022-04-22 00:00:00,UNI/USDT,8.86000000,9.14000000,8.74000000,8.91000000,1475388.63000000,13219653.05280000,38789
1650499200000,2022-04-21 00:00:00,UNI/USDT,9.33000000,9.72000000,8.61000000,8.85000000,1951981.20000000,18042975.21150000,58367
1650412800000,2022-04-20 00:00:00,UNI/USDT,9.55000000,9.70000000,9.10000000,9.32000000,1389404.39000000,13081335.41060000,41319
1650326400000,2022-04-19 00:00:00,UNI/USDT,9.39000000,9.62000000,9.21000000,9.55000000,876687.55000000,8256263.30240000,26942
1650240000000,2022-04-18 00:00:00,UNI/USDT,9.24000000,9.41000000,8.85000000,9.38000000,1295324.11000000,11796256.55820000,37932
1650153600000,2022-04-17 00:00:00,UNI/USDT,9.67000000,9.72000000,9.19000000,9.24000000,679734.11000000,6487353.82140000,22390
1650067200000,2022-04-16 00:00:00,UNI/USDT,9.77000000,9.83000000,9.49000000,9.67000000,604301.21000000,5841666.37350000,17463
1649980800000,2022-04-15 00:00:00,UNI/USDT,9.48000000,9.98000000,9.45000000,9.77000000,1105710.14000000,10738048.33540000,36241
1649894400000,2022-04-14 00:00:00,UNI/USDT,9.66000000,9.75000000,9.32000000,9.48000000,927401.63000000,8849099.12440000,26456
1649808000000,2022-04-13 00:00:00,UNI/USDT,9.32000000,9.74000000,9.26000000,9.65000000,1235317.71000000,11728625.21360000,40896
1649721600000,2022-04-12 00:00:00,UNI/USDT,8.99000000,9.49000000,8.94000000,9.32000000,1052819.76000000,9733530.28860000,33388
1649635200000,2022-04-11 00:00:00,UNI/USDT,9.89000000,9.89000000,8.90000000,8.99000000,1608656.52000000,15076973.88340000,46625
1649548800000,2022-04-10 00:00:00,UNI/USDT,10.05000000,10.32000000,9.83000000,9.88000000,928829.63000000,9349484.28740000,27934
1649462400000,2022-04-09 00:00:00,UNI/USDT,9.74000000,10.09000000,9.72000000,10.05000000,857175.17000000,8479897.80400000,28142
1649376000000,2022-04-08 00:00:00,UNI/USDT,10.44000000,10.55000000,9.62000000,9.74000000,1472282.01000000,14838105.32970000,47260
1649289600000,2022-04-07 00:00:00,UNI/USDT,9.96000000,10.55000000,9.81000000,10.44000000,1456826.80000000,14724046.98990000,52492
1649203200000,2022-04-06 00:00:00,UNI/USDT,11.12000000,11.12000000,9.91000000,9.96000000,2810776.72000000,29676440.41380000,89033
1649116800000,2022-04-05 00:00:00,UNI/USDT,11.55000000,11.90000000,11.04000000,11.12000000,1594119.81000000,18358062.59020000,60589
1649030400000,2022-04-04 00:00:00,UNI/USDT,11.87000000,12.17000000,11.04000000,11.54000000,2864850.62000000,33382024.50430000,97583
1648944000000,2022-04-03 00:00:00,UNI/USDT,11.65000000,12.04000000,11.46000000,11.87000000,2283837.64000000,26969734.53730000,71329
1648857600000,2022-04-02 00:00:00,UNI/USDT,11.58000000,12.02000000,11.42000000,11.65000000,3441860.07000000,40373174.42130000,102293
1648771200000,2022-04-01 00:00:00,UNI/USDT,11.30000000,12.09000000,10.87000000,11.58000000,3366731.25000000,38696626.45980000,92208
1648684800000,2022-03-31 00:00:00,UNI/USDT,11.73000000,12.49000000,11.04000000,11.29000000,4407918.63000000,52102355.33720000,142963
1648598400000,2022-03-30 00:00:00,UNI/USDT,11.25000000,11.85000000,10.80000000,11.72000000,3246794.45000000,37329807.37970000,104807
