unix,date,symbol,open,high,low,close,Volume STX,Volume USDT,tradecount
1656547200000,2022-06-30 00:00:00,STX/USDT,0.44500000,0.44900000,0.38200000,0.41000000,5642264.90000000,2273611.55530000,11723
1656460800000,2022-06-29 00:00:00,STX/USDT,0.41400000,0.47300000,0.41300000,0.44400000,10857415.30000000,4821505.08720000,24070
1656374400000,2022-06-28 00:00:00,STX/USDT,0.44000000,0.48900000,0.41000000,0.41500000,13073485.90000000,5937974.05460000,25401
1656288000000,2022-06-27 00:00:00,STX/USDT,0.40100000,0.57000000,0.39800000,0.44000000,30822745.70000000,14821138.52370000,59947
1656201600000,2022-06-26 00:00:00,STX/USDT,0.40900000,0.44200000,0.40000000,0.40100000,4573295.90000000,1923496.55780000,8723
1656115200000,2022-06-25 00:00:00,STX/USDT,0.41200000,0.41400000,0.39200000,0.40800000,2484028.20000000,1000453.78280000,5566
1656028800000,2022-06-24 00:00:00,STX/USDT,0.40300000,0.41600000,0.39600000,0.41300000,3548023.70000000,1436716.46810000,6971
1655942400000,2022-06-23 00:00:00,STX/USDT,0.37900000,0.40700000,0.37600000,0.40300000,3747605.60000000,1461664.43720000,8263
1655856000000,2022-06-22 00:00:00,STX/USDT,0.40300000,0.40300000,0.37700000,0.38000000,3041112.60000000,1175250.75410000,8453
1655769600000,2022-06-21 00:00:00,STX/USDT,0.37400000,0.43900000,0.37300000,0.40300000,9742160.10000000,4027864.09650000,18421
1655683200000,2022-06-20 00:00:00,STX/USDT,0.35600000,0.38100000,0.33800000,0.37400000,3633107.30000000,1311706.00560000,8780
1655596800000,2022-06-19 00:00:00,STX/USDT,0.34000000,0.36000000,0.31600000,0.35600000,3427300.90000000,1151612.15070000,7697
1655510400000,2022-06-18 00:00:00,STX/USDT,0.38200000,0.38600000,0.31700000,0.33900000,7796439.70000000,2718089.50480000,15501
1655424000000,2022-06-17 00:00:00,STX/USDT,0.32900000,0.44400000,0.32500000,0.38100000,14642368.60000000,5742366.82970000,28464
1655337600000,2022-06-16 00:00:00,STX/USDT,0.36400000,0.37500000,0.32400000,0.32800000,2807546.50000000,975422.90090000,4357
1655251200000,2022-06-15 00:00:00,STX/USDT,0.34200000,0.36500000,0.30200000,0.36400000,5354095.30000000,1761640.43680000,9380
1655164800000,2022-06-14 00:00:00,STX/USDT,0.34700000,0.35300000,0.30500000,0.34300000,4787447.30000000,1602859.94650000,8804
1655078400000,2022-06-13 00:00:00,STX/USDT,0.41900000,0.42000000,0.33400000,0.34600000,6745576.90000000,2429441.09731700,12445
1654992000000,2022-06-12 00:00:00,STX/USDT,0.46900000,0.47100000,0.41300000,0.41600000,2624560.80000000,1139002.75880000,8030
1654905600000,2022-06-11 00:00:00,STX/USDT,0.49500000,0.50800000,0.46100000,0.46800000,3282160.90000000,1578346.09850000,7791
1654819200000,2022-06-10 00:00:00,STX/USDT,0.53700000,0.54000000,0.49200000,0.49500000,1874997.20000000,961980.17200000,6156
1654732800000,2022-06-09 00:00:00,STX/USDT,0.54900000,0.56400000,0.53400000,0.53700000,1827034.70000000,1002465.29150000,5026
1654646400000,2022-06-08 00:00:00,STX/USDT,0.54200000,0.56700000,0.53700000,0.54900000,1953599.70000000,1074904.01700000,5995
1654560000000,2022-06-07 00:00:00,STX/USDT,0.55900000,0.55900000,0.52000000,0.54200000,4078448.40000000,2187846.55570000,9021
1654473600000,2022-06-06 00:00:00,STX/USDT,0.53300000,0.57600000,0.53300000,0.55900000,4016140.10000000,2241978.65620000,10494
1654387200000,2022-06-05 00:00:00,STX/USDT,0.52900000,0.54700000,0.52100000,0.53300000,2196207.20000000,1175993.95230000,6727
1654300800000,2022-06-04 00:00:00,STX/USDT,0.53700000,0.53800000,0.51900000,0.52800000,1394749.30000000,736422.68490000,4765
1654214400000,2022-06-03 00:00:00,STX/USDT,0.56600000,0.56700000,0.52700000,0.53500000,2599362.10000000,1412759.20560000,6803
1654128000000,2022-06-02 00:00:00,STX/USDT,0.52800000,0.57900000,0.52500000,0.56600000,3805994.50000000,2105274.32490000,9894
1654041600000,2022-06-01 00:00:00,STX/USDT,0.56500000,0.58700000,0.51500000,0.52700000,3399533.60000000,1902830.98040000,8749
1653955200000,2022-05-31 00:00:00,STX/USDT,0.57100000,0.58400000,0.54600000,0.56400000,2508168.70000000,1423294.20850000,6888
1653868800000,2022-05-30 00:00:00,STX/USDT,0.52500000,0.57400000,0.51500000,0.57200000,2369417.40000000,1294147.10420000,7426
1653782400000,2022-05-29 00:00:00,STX/USDT,0.51900000,0.52600000,0.49600000,0.52400000,1971718.70000000,1005795.38530000,5895
1653696000000,2022-05-28 00:00:00,STX/USDT,0.51500000,0.52800000,0.50400000,0.51800000,2531876.40000000,1310724.71860000,6435
1653609600000,2022-05-27 00:00:00,STX/USDT,0.53800000,0.55900000,0.49500000,0.51500000,5158468.90000000,2676861.13380000,11997
1653523200000,2022-05-26 00:00:00,STX/USDT,0.58500000,0.59000000,0.51000000,0.53600000,3853575.90000000,2114995.35140000,8463
