unix,date,symbol,open,high,low,close,Volume NEAR,Volume USDT,tradecount
1654992000000,2022-06-12 00:00:00,NEAR/USDT,4.10100000,4.15400000,3.69000000,3.69500000,17857448.00000000,69401417.46662800,220584
1654905600000,2022-06-11 00:00:00,NEAR/USDT,4.49700000,4.68300000,4.00000000,4.10000000,11395434.20000000,49220147.36920000,153011
1654819200000,2022-06-10 00:00:00,NEAR/USDT,5.08200000,5.11400000,4.44700000,4.49600000,12528091.00000000,59880210.34050000,156821
1654732800000,2022-06-09 00:00:00,NEAR/USDT,5.06500000,5.21800000,4.99200000,5.08300000,5888089.90000000,30057424.27440000,81924
1654646400000,2022-06-08 00:00:00,NEAR/USDT,5.19800000,5.35700000,5.06000000,5.06500000,7289064.10000000,37924326.42900000,109410
1654560000000,2022-06-07 00:00:00,NEAR/USDT,5.48600000,5.49400000,5.05200000,5.19800000,11345301.50000000,59187653.76020000,164750
1654473600000,2022-06-06 00:00:00,NEAR/USDT,5.33000000,5.76800000,5.30800000,5.48600000,11617166.30000000,64311142.22020000,151377
1654387200000,2022-06-05 00:00:00,NEAR/USDT,5.32900000,5.51100000,5.20900000,5.33100000,5076600.10000000,27091626.23820000,74381
1654300800000,2022-06-04 00:00:00,NEAR/USDT,5.25400000,5.40100000,5.11200000,5.32900000,6058781.40000000,31912421.75700000,94852
1654214400000,2022-06-03 00:00:00,NEAR/USDT,5.60500000,5.64000000,5.13400000,5.25200000,8446131.10000000,44958847.48140000,135376
1654128000000,2022-06-02 00:00:00,NEAR/USDT,5.34400000,5.65300000,5.15500000,5.60300000,12176661.40000000,65247114.53440000,186351
1654041600000,2022-06-01 00:00:00,NEAR/USDT,5.95600000,5.99400000,5.23700000,5.34300000,18445117.60000000,104879099.05570000,263918
1653955200000,2022-05-31 00:00:00,NEAR/USDT,5.75900000,6.54800000,5.72100000,5.95700000,27157430.50000000,166216205.09870000,377437
1653868800000,2022-05-30 00:00:00,NEAR/USDT,5.18100000,5.82200000,5.10100000,5.76000000,17668616.90000000,97508874.98200000,233006
1653782400000,2022-05-29 00:00:00,NEAR/USDT,4.99700000,5.22000000,4.77900000,5.18200000,9585828.20000000,48194144.88290000,126389
1653696000000,2022-05-28 00:00:00,NEAR/USDT,4.80500000,5.05400000,4.71800000,4.99800000,10258763.70000000,50192704.17340000,137990
1653609600000,2022-05-27 00:00:00,NEAR/USDT,5.23200000,5.31100000,4.67500000,4.80600000,24475984.80000000,121551452.15600000,332803
1653523200000,2022-05-26 00:00:00,NEAR/USDT,5.75700000,5.82900000,5.06000000,5.23100000,23141924.60000000,124304602.70350000,317973
1653436800000,2022-05-25 00:00:00,NEAR/USDT,5.96500000,6.09700000,5.68600000,5.75800000,14401809.80000000,83976641.65850000,201947
1653350400000,2022-05-24 00:00:00,NEAR/USDT,5.84600000,6.03700000,5.52200000,5.97000000,13351363.30000000,77364193.31170000,208410
1653264000000,2022-05-23 00:00:00,NEAR/USDT,6.24000000,6.53100000,5.73900000,5.84600000,13820911.80000000,86015315.57060000,262580
1653177600000,2022-05-22 00:00:00,NEAR/USDT,6.13600000,6.38700000,5.99200000,6.24200000,10400866.20000000,64281187.15740000,188236
1653091200000,2022-05-21 00:00:00,NEAR/USDT,5.75100000,6.19800000,5.61400000,6.13600000,8236988.60000000,48406785.80070000,169325
1653004800000,2022-05-20 00:00:00,NEAR/USDT,6.10200000,6.27500000,5.63700000,5.75200000,12031711.90000000,71275554.43780000,283162
1652918400000,2022-05-19 00:00:00,NEAR/USDT,5.92200000,6.27100000,5.56600000,6.10200000,16152288.40000000,95681817.25590000,336705
1652832000000,2022-05-18 00:00:00,NEAR/USDT,6.67900000,6.78000000,5.87100000,5.92300000,13557357.40000000,84422591.25270000,290868
1652745600000,2022-05-17 00:00:00,NEAR/USDT,6.54300000,6.98000000,6.27500000,6.67900000,11702774.10000000,77893742.37050000,249353
1652659200000,2022-05-16 00:00:00,NEAR/USDT,7.34800000,7.34800000,6.43600000,6.54300000,13789149.40000000,93112941.10830000,321549
1652572800000,2022-05-15 00:00:00,NEAR/USDT,6.67800000,7.50000000,6.49800000,7.34900000,13136382.60000000,90069405.63030000,279589
1652486400000,2022-05-14 00:00:00,NEAR/USDT,6.53100000,6.89200000,5.95900000,6.67800000,15167801.40000000,97348256.71340000,312042
1652400000000,2022-05-13 00:00:00,NEAR/USDT,6.41500000,7.66100000,6.08200000,6.53000000,38206820.20000000,266116438.44870000,644223
1652313600000,2022-05-12 00:00:00,NEAR/USDT,6.51200000,7.35000000,5.26000000,6.42100000,46607823.50000000,286458049.70840000,762094
1652227200000,2022-05-11 00:00:00,NEAR/USDT,9.56800000,9.89300000,5.30000000,6.50800000,62496252.00000000,477515910.29420000,1141186
1652140800000,2022-05-10 00:00:00,NEAR/USDT,9.39800000,10.92700000,8.86000000,9.56300000,31164956.60000000,308603400.84700000,759326
1652054400000,2022-05-09 00:00:00,NEAR/USDT,11.14700000,11.68600000,9.35000000,9.39900000,32111806.00000000,345514729.70890000,794273
1651968000000,2022-05-08 00:00:00,NEAR/USDT,10.43600000,11.25700000,9.85000000,11.14500000,16000809.80000000,168506714.93210000,382943
