unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,LTC/USDT,57.90000000,57.98000000,57.27000000,57.36000000,12791.18100000,737525.24790000,2237
1658188800000,2022-07-19 00:00:00,LTC/USDT,58.59000000,59.63000000,55.83000000,57.90000000,648764.40500000,37299676.90348000,118862
1658102400000,2022-07-18 00:00:00,LTC/USDT,55.76000000,59.56000000,55.23000000,58.60000000,704809.58900000,40596652.37876000,122628
1658016000000,2022-07-17 00:00:00,LTC/USDT,55.07000000,57.02000000,54.33000000,55.76000000,488379.92600000,27120519.15730000,88065
1657929600000,2022-07-16 00:00:00,LTC/USDT,51.76000000,55.56000000,51.07000000,55.08000000,437141.03500000,23272735.81587000,74916
1657843200000,2022-07-15 00:00:00,LTC/USDT,51.32000000,52.78000000,50.61000000,51.78000000,544118.25300000,28064711.07596000,79879
1657756800000,2022-07-14 00:00:00,LTC/USDT,49.54000000,51.75000000,47.96000000,51.32000000,522186.19100000,25957558.67544000,68358
1657670400000,2022-07-13 00:00:00,LTC/USDT,47.32000000,49.73000000,46.41000000,49.56000000,601519.05600000,28891898.55488000,81503
1657584000000,2022-07-12 00:00:00,LTC/USDT,48.70000000,49.37000000,47.28000000,47.33000000,466284.49700000,22544582.82015000,66128
1657497600000,2022-07-11 00:00:00,LTC/USDT,52.12000000,52.25000000,48.26000000,48.71000000,458088.60100000,23212879.64453000,69902
1657411200000,2022-07-10 00:00:00,LTC/USDT,54.09000000,55.07000000,50.65000000,52.12000000,793607.19700000,42213636.14422000,106476
1657324800000,2022-07-09 00:00:00,LTC/USDT,51.35000000,54.80000000,51.33000000,54.09000000,369622.82900000,19445502.96595000,57598
1657238400000,2022-07-08 00:00:00,LTC/USDT,52.17000000,53.99000000,50.75000000,51.35000000,539059.04800000,28201267.25365000,80903
1657152000000,2022-07-07 00:00:00,LTC/USDT,50.36000000,52.64000000,49.77000000,52.15000000,478416.35700000,24387960.55634000,68871
1657065600000,2022-07-06 00:00:00,LTC/USDT,49.70000000,51.20000000,48.96000000,50.34000000,369984.00700000,18515142.03745000,64786
1656979200000,2022-07-05 00:00:00,LTC/USDT,52.24000000,52.48000000,47.95000000,49.70000000,567147.95500000,28355698.23961000,95986
1656892800000,2022-07-04 00:00:00,LTC/USDT,50.94000000,52.43000000,49.70000000,52.26000000,428499.12800000,21800275.14044000,64441
1656806400000,2022-07-03 00:00:00,LTC/USDT,50.55000000,52.22000000,49.11000000,50.95000000,319754.38300000,16103424.41233000,62001
1656720000000,2022-07-02 00:00:00,LTC/USDT,51.21000000,51.65000000,49.77000000,50.55000000,395349.86100000,20021258.01033000,67673
1656633600000,2022-07-01 00:00:00,LTC/USDT,53.84000000,56.28000000,50.04000000,51.19000000,606167.18700000,31622453.00844000,114090
