unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,AXS/USDT,16.84000000,16.98000000,16.63000000,16.69000000,23476.91000000,394535.80440000,2053
1658188800000,2022-07-19 00:00:00,AXS/USDT,16.36000000,17.61000000,15.79000000,16.84000000,2193033.86000000,36561681.81010000,127241
1658102400000,2022-07-18 00:00:00,AXS/USDT,14.51000000,16.52000000,14.37000000,16.36000000,1550521.24000000,24301772.74560000,88302
1658016000000,2022-07-17 00:00:00,AXS/USDT,14.36000000,15.08000000,14.10000000,14.52000000,1003255.87000000,14601400.56710000,51637
1657929600000,2022-07-16 00:00:00,AXS/USDT,13.97000000,14.49000000,13.58000000,14.37000000,573963.73000000,8059079.95170000,31516
1657843200000,2022-07-15 00:00:00,AXS/USDT,13.95000000,14.30000000,13.73000000,13.96000000,816074.57000000,11424807.68470000,48715
1657756800000,2022-07-14 00:00:00,AXS/USDT,13.41000000,13.98000000,13.01000000,13.96000000,919129.97000000,12409824.52920000,47422
1657670400000,2022-07-13 00:00:00,AXS/USDT,12.86000000,13.45000000,12.34000000,13.41000000,787287.05000000,10176822.79870000,46704
1657584000000,2022-07-12 00:00:00,AXS/USDT,13.48000000,13.55000000,12.81000000,12.85000000,610546.93000000,8089407.34240000,36026
1657497600000,2022-07-11 00:00:00,AXS/USDT,14.42000000,14.44000000,13.23000000,13.48000000,662875.03000000,9243000.23670000,38203
1657411200000,2022-07-10 00:00:00,AXS/USDT,15.14000000,15.17000000,14.26000000,14.42000000,543996.72000000,7949816.68020000,30412
1657324800000,2022-07-09 00:00:00,AXS/USDT,14.84000000,15.55000000,14.84000000,15.14000000,540028.28000000,8266130.39960000,36380
1657238400000,2022-07-08 00:00:00,AXS/USDT,15.34000000,15.77000000,14.54000000,14.85000000,767425.72000000,11576118.33510000,44335
1657152000000,2022-07-07 00:00:00,AXS/USDT,14.83000000,15.50000000,14.55000000,15.33000000,837258.53000000,12601676.66670000,44374
1657065600000,2022-07-06 00:00:00,AXS/USDT,14.45000000,15.02000000,14.04000000,14.82000000,709146.06000000,10289364.76710000,44519
1656979200000,2022-07-05 00:00:00,AXS/USDT,14.88000000,15.50000000,13.91000000,14.45000000,976148.48000000,14320992.17230000,55626
1656892800000,2022-07-04 00:00:00,AXS/USDT,14.18000000,15.02000000,13.72000000,14.88000000,759122.00000000,10845865.15120000,43444
1656806400000,2022-07-03 00:00:00,AXS/USDT,13.94000000,14.55000000,13.50000000,14.18000000,527948.19000000,7375820.36010000,33465
1656720000000,2022-07-02 00:00:00,AXS/USDT,14.07000000,14.21000000,13.48000000,13.94000000,503320.70000000,6945242.26890000,30738
1656633600000,2022-07-01 00:00:00,AXS/USDT,14.58000000,14.96000000,13.69000000,14.05000000,948954.73000000,13492138.71740000,59857
1656547200000,2022-06-30 00:00:00,AXS/USDT,14.40000000,14.68000000,13.12000000,14.58000000,1066297.60000000,14674288.67090000,66303
1656460800000,2022-06-29 00:00:00,AXS/USDT,15.32000000,15.76000000,14.12000000,14.39000000,963361.08000000,14330786.04780000,56918
1656374400000,2022-06-28 00:00:00,AXS/USDT,15.91000000,16.83000000,15.12000000,15.31000000,1182158.20000000,18667184.19950000,67176
1656288000000,2022-06-27 00:00:00,AXS/USDT,16.17000000,16.94000000,15.43000000,15.91000000,1011626.97000000,16426998.44700000,58914
1656201600000,2022-06-26 00:00:00,AXS/USDT,17.84000000,18.00000000,16.08000000,16.17000000,1217651.24000000,20953422.47650000,78185
1656115200000,2022-06-25 00:00:00,AXS/USDT,17.12000000,18.53000000,16.85000000,17.83000000,1994131.68000000,35549225.53320000,125288
1656028800000,2022-06-24 00:00:00,AXS/USDT,14.73000000,17.79000000,14.68000000,17.12000000,2990634.26000000,49614009.44120000,176567
1655942400000,2022-06-23 00:00:00,AXS/USDT,14.00000000,14.88000000,13.98000000,14.72000000,893266.61000000,12956983.86500000,56732
1655856000000,2022-06-22 00:00:00,AXS/USDT,14.91000000,15.04000000,13.72000000,14.00000000,1244636.91000000,17846862.54970000,65057
1655769600000,2022-06-21 00:00:00,AXS/USDT,14.51000000,16.04000000,14.11000000,14.91000000,1346317.26000000,20304101.92820000,75778
1655683200000,2022-06-20 00:00:00,AXS/USDT,13.78000000,15.16000000,13.03000000,14.52000000,1571982.27000000,22121609.87140000,94084
1655596800000,2022-06-19 00:00:00,AXS/USDT,12.92000000,14.28000000,12.40000000,13.78000000,1210980.79000000,16038699.02310000,66788
1655510400000,2022-06-18 00:00:00,AXS/USDT,13.90000000,14.11000000,11.85000000,12.92000000,1393350.17000000,17856625.34490000,74285
1655424000000,2022-06-17 00:00:00,AXS/USDT,13.63000000,14.22000000,13.39000000,13.90000000,699535.80000000,9698725.41510000,44893
1655337600000,2022-06-16 00:00:00,AXS/USDT,15.79000000,16.37000000,13.24000000,13.63000000,1693201.59000000,24575430.72040000,93617
1655251200000,2022-06-15 00:00:00,AXS/USDT,14.09000000,15.87000000,12.54000000,15.79000000,2256722.37000000,31258512.52910000,130002
1655164800000,2022-06-14 00:00:00,AXS/USDT,13.49000000,15.31000000,12.36000000,14.09000000,2441474.57000000,34543080.23990000,124201
1655078400000,2022-06-13 00:00:00,AXS/USDT,14.43000000,14.69000000,12.20000000,13.48000000,2393391.88000000,31570368.95800000,122541
1654992000000,2022-06-12 00:00:00,AXS/USDT,16.34000000,16.47000000,14.37000000,14.44000000,1387559.43000000,21270341.27031700,80276
1654905600000,2022-06-11 00:00:00,AXS/USDT,18.05000000,18.72000000,15.95000000,16.33000000,1075967.68000000,18348359.98790000,69314
