unix,date,symbol,open,high,low,close,Volume AVAX,Volume USDT,tradecount
1655078400000,2022-06-13 00:00:00,AVAX/USDT,17.29000000,17.50000000,14.58000000,16.11000000,14886625.66000000,235101972.78749100,497675
1654992000000,2022-06-12 00:00:00,AVAX/USDT,19.91000000,20.16000000,17.21000000,17.29000000,8238012.46800000,152911830.37817000,315278
1654905600000,2022-06-11 00:00:00,AVAX/USDT,22.07000000,23.02000000,19.67000000,19.90000000,4541127.87000000,95645982.68224900,188689
1654819200000,2022-06-10 00:00:00,AVAX/USDT,24.42000000,24.87000000,21.91000000,22.08000000,3881414.90000000,90397131.15100000,187424
1654732800000,2022-06-09 00:00:00,AVAX/USDT,24.51000000,25.38000000,23.72000000,24.41000000,3066998.40000000,75435070.62690000,144149
1654646400000,2022-06-08 00:00:00,AVAX/USDT,24.60000000,25.45000000,23.72000000,24.50000000,3467088.16000000,84737930.33270000,168920
1654560000000,2022-06-07 00:00:00,AVAX/USDT,26.00000000,26.21000000,23.12000000,24.60000000,7021609.51000000,171021518.21370000,321648
1654473600000,2022-06-06 00:00:00,AVAX/USDT,24.18000000,27.79000000,24.05000000,25.99000000,5560470.13000000,146780541.08140000,275037
1654387200000,2022-06-05 00:00:00,AVAX/USDT,24.58000000,25.20000000,23.93000000,24.18000000,2624339.66000000,64475667.36730000,125904
1654300800000,2022-06-04 00:00:00,AVAX/USDT,23.00000000,24.67000000,22.14000000,24.57000000,2472290.13000000,57438768.41090000,119287
1654214400000,2022-06-03 00:00:00,AVAX/USDT,24.64000000,24.70000000,22.50000000,23.00000000,3150778.48000000,73290824.55990000,164522
1654128000000,2022-06-02 00:00:00,AVAX/USDT,23.68000000,24.90000000,22.50000000,24.63000000,4487201.10000000,106529006.91290000,184799
1654041600000,2022-06-01 00:00:00,AVAX/USDT,26.43000000,27.03000000,23.20000000,23.68000000,5323660.08000000,133858856.00810000,241222
1653955200000,2022-05-31 00:00:00,AVAX/USDT,27.71000000,29.11000000,25.55000000,26.42000000,6372299.65000000,172488062.01010000,297803
1653868800000,2022-05-30 00:00:00,AVAX/USDT,26.16000000,28.48000000,25.32000000,27.71000000,6453169.48000000,175262406.72140000,304571
1653782400000,2022-05-29 00:00:00,AVAX/USDT,24.76000000,27.00000000,23.72000000,26.16000000,5201437.75000000,132561529.32740000,241273
1653696000000,2022-05-28 00:00:00,AVAX/USDT,22.57000000,25.73000000,22.17000000,24.76000000,5080017.44000000,120720303.32180000,243091
1653609600000,2022-05-27 00:00:00,AVAX/USDT,23.42000000,23.88000000,21.35000000,22.58000000,7882719.85900000,177611133.21180000,365323
1653523200000,2022-05-26 00:00:00,AVAX/USDT,27.25000000,28.03000000,22.84000000,23.43000000,7355985.50000000,182792709.96510000,328080
1653436800000,2022-05-25 00:00:00,AVAX/USDT,29.07000000,29.68000000,27.11000000,27.25000000,3491521.18000000,98072485.91820000,172491
1653350400000,2022-05-24 00:00:00,AVAX/USDT,29.06000000,29.66000000,26.87000000,29.08000000,4251299.31000000,121105251.31190000,217586
1653264000000,2022-05-23 00:00:00,AVAX/USDT,31.71000000,33.08000000,28.54000000,29.06000000,4621612.58000000,144511813.86210000,323865
1653177600000,2022-05-22 00:00:00,AVAX/USDT,29.89000000,32.70000000,29.01000000,31.71000000,3775539.16000000,117042427.92580000,231296
1653091200000,2022-05-21 00:00:00,AVAX/USDT,28.80000000,30.61000000,28.19000000,29.89000000,2170197.88000000,63913906.53360000,154638
1653004800000,2022-05-20 00:00:00,AVAX/USDT,30.39000000,31.93000000,27.83000000,28.80000000,4866371.46000000,145419041.63310000,335700
