unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1652313600000,2022-05-12 00:00:00,VET/USDT,0.03042000,0.03230000,0.02400000,0.02767000,3488942494.00000000,96027446.73826700,351314
1652227200000,2022-05-11 00:00:00,VET/USDT,0.03878000,0.04020000,0.02840000,0.03044000,3704932946.90000000,128802066.02630700,463065
1652140800000,2022-05-10 00:00:00,VET/USDT,0.03789000,0.04368000,0.03666000,0.03879000,2391827212.30000000,95989851.83437600,369978
1652054400000,2022-05-09 00:00:00,VET/USDT,0.04448000,0.04528000,0.03760000,0.03790000,1914449167.40000000,78572206.68582700,297273
1651968000000,2022-05-08 00:00:00,VET/USDT,0.04554000,0.04608000,0.04366000,0.04448000,818844916.90000000,36814355.85543700,126029
1651881600000,2022-05-07 00:00:00,VET/USDT,0.04701000,0.04729000,0.04436000,0.04552000,580388323.60000000,26831955.79991800,90763
1651795200000,2022-05-06 00:00:00,VET/USDT,0.04757000,0.04797000,0.04532000,0.04703000,970500440.70000000,45348306.61438500,156570
1651708800000,2022-05-05 00:00:00,VET/USDT,0.05392000,0.05475000,0.04585000,0.04758000,1517922711.90000000,75996919.46415100,255113
1651622400000,2022-05-04 00:00:00,VET/USDT,0.04681000,0.05403000,0.04656000,0.05392000,1527332051.00000000,76575240.04233000,260617
1651536000000,2022-05-03 00:00:00,VET/USDT,0.04751000,0.04875000,0.04576000,0.04681000,597405229.20000000,28278002.78810400,88752
1651449600000,2022-05-02 00:00:00,VET/USDT,0.04848000,0.04986000,0.04574000,0.04750000,787624706.30000000,37553722.57396100,121428
1651363200000,2022-05-01 00:00:00,VET/USDT,0.04532000,0.04953000,0.04420000,0.04849000,926003337.50000000,43565242.60795600,141222
1651276800000,2022-04-30 00:00:00,VET/USDT,0.04850000,0.04968000,0.04440000,0.04530000,806930064.80000000,38109313.82934200,119940
1651190400000,2022-04-29 00:00:00,VET/USDT,0.05157000,0.05199000,0.04735000,0.04851000,657536450.60000000,32664910.29606300,101323
1651104000000,2022-04-28 00:00:00,VET/USDT,0.05201000,0.05330000,0.05038000,0.05158000,617319669.20000000,31935540.08039100,109112
1651017600000,2022-04-27 00:00:00,VET/USDT,0.05117000,0.05297000,0.05045000,0.05202000,533384281.50000000,27631261.18666100,97013
1650931200000,2022-04-26 00:00:00,VET/USDT,0.05633000,0.05691000,0.05033000,0.05117000,793954609.50000000,42391558.58920900,149421
1650844800000,2022-04-25 00:00:00,VET/USDT,0.05592000,0.05700000,0.05175000,0.05633000,878911176.10000000,47479486.07528800,167385
1650758400000,2022-04-24 00:00:00,VET/USDT,0.05744000,0.05808000,0.05537000,0.05592000,376799061.40000000,21348567.27865700,73990
1650672000000,2022-04-23 00:00:00,VET/USDT,0.05780000,0.05900000,0.05680000,0.05745000,427342248.50000000,24816661.50159300,76036
1650585600000,2022-04-22 00:00:00,VET/USDT,0.05871000,0.06018000,0.05706000,0.05779000,554401012.10000000,32476467.12224700,110179
1650499200000,2022-04-21 00:00:00,VET/USDT,0.06075000,0.06386000,0.05736000,0.05872000,855054417.10000000,51962663.56581300,180486
1650412800000,2022-04-20 00:00:00,VET/USDT,0.06160000,0.06345000,0.05906000,0.06076000,718391917.10000000,43942382.64030400,153487
1650326400000,2022-04-19 00:00:00,VET/USDT,0.05960000,0.06191000,0.05897000,0.06160000,585484714.80000000,35485492.23243600,111559
1650240000000,2022-04-18 00:00:00,VET/USDT,0.05792000,0.05966000,0.05501000,0.05960000,723780586.30000000,41556579.70169200,147231
1650153600000,2022-04-17 00:00:00,VET/USDT,0.06132000,0.06150000,0.05765000,0.05792000,462994632.10000000,27957036.19515100,85709
1650067200000,2022-04-16 00:00:00,VET/USDT,0.06161000,0.06268000,0.06008000,0.06131000,372022958.70000000,22823707.10514400,71357
1649980800000,2022-04-15 00:00:00,VET/USDT,0.06139000,0.06226000,0.06035000,0.06160000,389442213.00000000,23886551.52289000,68563
1649894400000,2022-04-14 00:00:00,VET/USDT,0.06154000,0.06390000,0.05938000,0.06139000,783302349.10000000,48488650.25707900,178151
1649808000000,2022-04-13 00:00:00,VET/USDT,0.06025000,0.06222000,0.05864000,0.06154000,629196230.90000000,38121949.08846900,122974
1649721600000,2022-04-12 00:00:00,VET/USDT,0.05774000,0.06199000,0.05721000,0.06023000,810806207.40000000,48282470.92387200,167841
1649635200000,2022-04-11 00:00:00,VET/USDT,0.06489000,0.06566000,0.05683000,0.05776000,953544184.40000000,58154731.36859200,190281
1649548800000,2022-04-10 00:00:00,VET/USDT,0.06712000,0.06850000,0.06461000,0.06492000,442055062.60000000,29382241.49432100,98184
1649462400000,2022-04-09 00:00:00,VET/USDT,0.06476000,0.06742000,0.06432000,0.06710000,403993781.70000000,26596990.41271100,86767
1649376000000,2022-04-08 00:00:00,VET/USDT,0.07025000,0.07199000,0.06409000,0.06475000,739241897.20000000,50331619.32601100,182824
1649289600000,2022-04-07 00:00:00,VET/USDT,0.06582000,0.07089000,0.06482000,0.07026000,742906115.00000000,50993663.63976900,202193
1649203200000,2022-04-06 00:00:00,VET/USDT,0.07589000,0.07627000,0.06527000,0.06582000,1325449255.90000000,93178176.74034600,332107
1649116800000,2022-04-05 00:00:00,VET/USDT,0.07892000,0.08071000,0.07566000,0.07584000,669699103.10000000,52636266.49826500,197532
1649030400000,2022-04-04 00:00:00,VET/USDT,0.08260000,0.08288000,0.07435000,0.07890000,977661454.60000000,76774855.88506600,249455
1648944000000,2022-04-03 00:00:00,VET/USDT,0.07715000,0.08295000,0.07500000,0.08262000,850702192.50000000,67232715.34925300,225718
1648857600000,2022-04-02 00:00:00,VET/USDT,0.08107000,0.08374000,0.07661000,0.07716000,1057700428.60000000,85097046.41117900,298989
1648771200000,2022-04-01 00:00:00,VET/USDT,0.07802000,0.08307000,0.07464000,0.08108000,1695859715.30000000,135190267.21162900,474757
1648684800000,2022-03-31 00:00:00,VET/USDT,0.08522000,0.08936000,0.07617000,0.07803000,2695162967.00000000,224278423.18003300,792262
1648598400000,2022-03-30 00:00:00,VET/USDT,0.07245000,0.08733000,0.06863000,0.08522000,4039022065.40000000,328378378.38883800,1268452
