unix,date,symbol,open,high,low,close,Volume USDC,Volume USDT,tradecount
1654214400000,2022-06-03 00:00:00,USDC/USDT,1.00080000,1.00110000,1.00070000,1.00100000,190358813.00000000,190522041.05900000,70184
1654128000000,2022-06-02 00:00:00,USDC/USDT,1.00090000,1.00110000,1.00070000,1.00070000,226554771.00000000,226752908.23920000,66110
1654041600000,2022-06-01 00:00:00,USDC/USDT,1.00080000,1.00120000,1.00070000,1.00090000,357159138.00000000,357487737.31820000,90878
1653955200000,2022-05-31 00:00:00,USDC/USDT,1.00070000,1.00090000,1.00060000,1.00080000,292623767.00000000,292838778.72340000,99664
1653868800000,2022-05-30 00:00:00,USDC/USDT,1.00100000,1.00110000,1.00050000,1.00080000,336531173.00000000,336809693.10890000,106645
1653782400000,2022-05-29 00:00:00,USDC/USDT,1.00110000,1.00120000,1.00090000,1.00100000,148829313.00000000,148985715.94680000,55320
1653696000000,2022-05-28 00:00:00,USDC/USDT,1.00130000,1.00130000,1.00100000,1.00110000,190224948.00000000,190435777.64660000,59666
1653609600000,2022-05-27 00:00:00,USDC/USDT,1.00120000,1.00130000,1.00100000,1.00130000,333404208.00000000,333784287.44400000,124676
1653523200000,2022-05-26 00:00:00,USDC/USDT,1.00100000,1.00140000,1.00100000,1.00120000,438174187.00000000,438673272.29520000,117684
1653436800000,2022-05-25 00:00:00,USDC/USDT,1.00110000,1.00130000,1.00100000,1.00100000,228221738.00000000,228482691.01790000,79053
1653350400000,2022-05-24 00:00:00,USDC/USDT,1.00120000,1.00130000,1.00100000,1.00110000,227450495.00000000,227709680.67450000,84788
1653264000000,2022-05-23 00:00:00,USDC/USDT,1.00100000,1.00120000,1.00080000,1.00110000,407289557.00000000,407710341.49220000,125089
1653177600000,2022-05-22 00:00:00,USDC/USDT,1.00130000,1.00160000,1.00100000,1.00100000,218582044.00000000,218868343.52070000,88730
1653091200000,2022-05-21 00:00:00,USDC/USDT,1.00120000,1.00150000,1.00120000,1.00140000,154085932.00000000,154293495.70390000,74100
1653004800000,2022-05-20 00:00:00,USDC/USDT,1.00120000,1.00140000,1.00060000,1.00130000,426882261.00000000,427310411.25700000,114422
1652918400000,2022-05-19 00:00:00,USDC/USDT,1.00150000,1.00170000,1.00090000,1.00110000,603656004.00000000,604416082.15850000,117919
1652832000000,2022-05-18 00:00:00,USDC/USDT,1.00120000,1.00160000,1.00100000,1.00150000,404938803.00000000,405463634.55770000,122036
1652745600000,2022-05-17 00:00:00,USDC/USDT,1.00140000,1.00150000,1.00110000,1.00110000,275488670.00000000,275847039.20410000,129011
1652659200000,2022-05-16 00:00:00,USDC/USDT,1.00110000,1.00190000,1.00070000,1.00130000,392021858.00000000,392521775.87780000,165040
1652572800000,2022-05-15 00:00:00,USDC/USDT,1.00140000,1.00180000,1.00100000,1.00120000,264543207.00000000,264902570.45410000,134786
1652486400000,2022-05-14 00:00:00,USDC/USDT,1.00190000,1.00240000,1.00100000,1.00140000,546469255.00000000,547489760.89880000,194888
1652400000000,2022-05-13 00:00:00,USDC/USDT,1.00290000,1.00600000,1.00090000,1.00180000,830671060.00000000,832324717.68640000,290601
1652313600000,2022-05-12 00:00:00,USDC/USDT,1.00600000,1.13830000,1.00200000,1.00300000,2498019174.00000000,2547333168.28620000,890752
1652227200000,2022-05-11 00:00:00,USDC/USDT,1.00040000,3.99000000,1.00020000,1.00600000,1819936381.18000000,1826836333.35320200,371752
1652140800000,2022-05-10 00:00:00,USDC/USDT,1.00020000,1.00060000,0.99990000,1.00030000,694705034.00000000,694888422.33490000,272957
1652054400000,2022-05-09 00:00:00,USDC/USDT,1.00040000,1.00040000,0.99990000,1.00020000,654296308.00000000,654431755.12160000,200489
1651968000000,2022-05-08 00:00:00,USDC/USDT,1.00030000,1.00060000,1.00020000,1.00030000,332814715.00000000,332931688.43960000,89681
1651881600000,2022-05-07 00:00:00,USDC/USDT,1.00030000,1.00040000,1.00020000,1.00030000,161953093.00000000,162007156.38210000,67496
1651795200000,2022-05-06 00:00:00,USDC/USDT,1.00020000,1.00030000,1.00010000,1.00020000,214395062.00000000,214433314.38460000,109334
1651708800000,2022-05-05 00:00:00,USDC/USDT,1.00020000,1.00020000,1.00010000,1.00010000,198778687.00000000,198807634.78210000,90816
1651622400000,2022-05-04 00:00:00,USDC/USDT,1.00020000,1.00020000,1.00010000,1.00020000,125014399.00000000,125033648.29080000,71221
1651536000000,2022-05-03 00:00:00,USDC/USDT,1.00010000,1.00030000,1.00000000,1.00010000,208014566.00000000,208041755.82450000,79068
1651449600000,2022-05-02 00:00:00,USDC/USDT,1.00000000,1.00020000,0.99990000,1.00010000,144888059.00000000,144889377.99580000,70125
1651363200000,2022-05-01 00:00:00,USDC/USDT,0.99980000,1.00000000,0.99960000,1.00000000,176011806.00000000,175982956.04560000,79047
1651276800000,2022-04-30 00:00:00,USDC/USDT,1.00020000,1.00020000,0.99970000,0.99980000,132681160.00000000,132676571.06250000,51071
1651190400000,2022-04-29 00:00:00,USDC/USDT,1.00000000,1.00020000,0.99990000,1.00010000,193784168.00000000,193789776.91740000,103616
1651104000000,2022-04-28 00:00:00,USDC/USDT,1.00000000,1.00000000,0.99980000,1.00000000,215119483.00000000,215101304.60720000,91224
1651017600000,2022-04-27 00:00:00,USDC/USDT,1.00010000,1.00010000,0.99990000,1.00000000,115914943.00000000,115912864.91160000,52199
1650931200000,2022-04-26 00:00:00,USDC/USDT,0.99990000,1.00010000,0.99990000,1.00000000,137630278.00000000,137623577.00480000,62460
1650844800000,2022-04-25 00:00:00,USDC/USDT,0.99980000,1.00000000,0.99970000,0.99990000,186503500.00000000,186471774.27870000,70968
1650758400000,2022-04-24 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99960000,0.99980000,124452629.00000000,124426055.10420000,45817
1650672000000,2022-04-23 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99980000,0.99980000,62546804.00000000,62537768.04120000,34604
1650585600000,2022-04-22 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99960000,0.99990000,189158944.00000000,189126020.45250000,58025
1650499200000,2022-04-21 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99960000,0.99990000,215430809.00000000,215385644.23930000,90502
1650412800000,2022-04-20 00:00:00,USDC/USDT,0.99980000,1.00000000,0.99960000,0.99980000,244260388.00000000,244206897.26180000,81717
1650326400000,2022-04-19 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99970000,0.99970000,151912860.00000000,151882083.57810000,68623
1650240000000,2022-04-18 00:00:00,USDC/USDT,0.99980000,1.00000000,0.99960000,0.99990000,209638306.00000000,209579355.91000000,111668
1650153600000,2022-04-17 00:00:00,USDC/USDT,0.99990000,0.99990000,0.99960000,0.99980000,122017717.00000000,121989182.72830000,48961
1650067200000,2022-04-16 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99970000,0.99990000,76448146.00000000,76433113.28100000,49951
1649980800000,2022-04-15 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99970000,0.99980000,139782697.00000000,139765933.01920000,62895
1649894400000,2022-04-14 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99970000,1.00000000,121438291.00000000,121417883.86590000,64377
1649808000000,2022-04-13 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99990000,114946709.00000000,114929473.61200000,48666
1649721600000,2022-04-12 00:00:00,USDC/USDT,0.99990000,0.99990000,0.99970000,0.99980000,155273460.00000000,155247262.92680000,78628
1649635200000,2022-04-11 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99970000,0.99990000,166981873.00000000,166948331.71620000,88076
1649548800000,2022-04-10 00:00:00,USDC/USDT,0.99980000,0.99980000,0.99960000,0.99980000,94332432.00000000,94303417.30190000,52200
1649462400000,2022-04-09 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99970000,0.99980000,69648564.00000000,69635787.37800000,39582
1649376000000,2022-04-08 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99970000,0.99980000,208138059.00000000,208094631.62740000,68052
1649289600000,2022-04-07 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99980000,0.99990000,190747115.00000000,190728110.90260000,78762
1649203200000,2022-04-06 00:00:00,USDC/USDT,0.99990000,1.00010000,0.99960000,0.99990000,284721222.00000000,284673664.53740000,118164
1649116800000,2022-04-05 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99970000,0.99990000,200385668.00000000,200344334.94410000,86927
1649030400000,2022-04-04 00:00:00,USDC/USDT,0.99980000,1.00000000,0.99970000,0.99980000,190334582.00000000,190290921.65110000,136409
1648944000000,2022-04-03 00:00:00,USDC/USDT,0.99970000,0.99980000,0.99960000,0.99970000,127597200.00000000,127557549.23560000,120015
1648857600000,2022-04-02 00:00:00,USDC/USDT,0.99960000,0.99980000,0.99960000,0.99970000,139799360.00000000,139753654.91730000,111385
1648771200000,2022-04-01 00:00:00,USDC/USDT,0.99970000,0.99980000,0.99950000,0.99970000,199998066.00000000,199926326.25930000,90314
1648684800000,2022-03-31 00:00:00,USDC/USDT,0.99970000,0.99990000,0.99950000,0.99980000,231219270.00000000,231149640.67220000,109307
1648598400000,2022-03-30 00:00:00,USDC/USDT,0.99960000,1.00000000,0.99950000,0.99970000,220270630.00000000,220208300.79020000,88059
1648512000000,2022-03-29 00:00:00,USDC/USDT,0.99950000,0.99970000,0.99950000,0.99960000,190061686.00000000,189978390.88040000,81318
1648425600000,2022-03-28 00:00:00,USDC/USDT,0.99960000,0.99990000,0.99940000,0.99950000,269891209.00000000,269786109.06250000,119366
1648339200000,2022-03-27 00:00:00,USDC/USDT,0.99950000,0.99970000,0.99950000,0.99970000,145317746.00000000,145259613.84150000,61401
1648252800000,2022-03-26 00:00:00,USDC/USDT,0.99960000,0.99970000,0.99940000,0.99950000,106779847.00000000,106730935.85450000,54648
1648166400000,2022-03-25 00:00:00,USDC/USDT,0.99950000,0.99960000,0.99910000,0.99960000,201942376.00000000,201833824.91160000,94452
1648080000000,2022-03-24 00:00:00,USDC/USDT,0.99950000,0.99970000,0.99910000,0.99950000,241881669.00000000,241765353.31820000,100444
1647993600000,2022-03-23 00:00:00,USDC/USDT,0.99950000,0.99980000,0.99950000,0.99960000,229972765.00000000,229876625.25290000,102023
1647907200000,2022-03-22 00:00:00,USDC/USDT,0.99960000,0.99970000,0.99930000,0.99950000,191773870.00000000,191685947.41750000,79827
1647820800000,2022-03-21 00:00:00,USDC/USDT,0.99950000,0.99970000,0.99940000,0.99970000,175987372.00000000,175912858.89460000,66749
1647734400000,2022-03-20 00:00:00,USDC/USDT,0.99940000,0.99960000,0.99920000,0.99950000,166388259.00000000,166289159.73950000,78398
1647648000000,2022-03-19 00:00:00,USDC/USDT,0.99930000,0.99950000,0.99920000,0.99940000,160678761.00000000,160582039.50410000,69264
1647561600000,2022-03-18 00:00:00,USDC/USDT,0.99950000,0.99960000,0.99930000,0.99940000,206984516.00000000,206874817.25140000,70605
1647475200000,2022-03-17 00:00:00,USDC/USDT,0.99960000,0.99970000,0.99950000,0.99950000,148451607.00000000,148389193.05180000,62009
1647388800000,2022-03-16 00:00:00,USDC/USDT,0.99970000,0.99980000,0.99950000,0.99950000,190582958.00000000,190522678.40100000,86966
1647302400000,2022-03-15 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99960000,0.99970000,140324796.00000000,140293429.05340000,57658
1647216000000,2022-03-14 00:00:00,USDC/USDT,0.99980000,0.99990000,0.99980000,0.99980000,135856970.00000000,135836838.12310000,45292
1647129600000,2022-03-13 00:00:00,USDC/USDT,1.00000000,1.00000000,0.99970000,0.99980000,140268541.00000000,140252326.57910000,65391
1647043200000,2022-03-12 00:00:00,USDC/USDT,1.00000000,1.00030000,0.99990000,1.00000000,185657672.00000000,185654068.40790000,52719
1646956800000,2022-03-11 00:00:00,USDC/USDT,0.99950000,1.00020000,0.99950000,0.99990000,256068775.00000000,256035921.58160000,73352
1646870400000,2022-03-10 00:00:00,USDC/USDT,0.99970000,0.99980000,0.99950000,0.99960000,180268998.00000000,180197041.59990000,93905
1646784000000,2022-03-09 00:00:00,USDC/USDT,0.99990000,1.00000000,0.99970000,0.99970000,167227585.00000000,167194557.92470000,62580
1646697600000,2022-03-08 00:00:00,USDC/USDT,0.99980000,1.00000000,0.99980000,0.99990000,148910641.00000000,148892348.11680000,76935
1646611200000,2022-03-07 00:00:00,USDC/USDT,0.99980000,1.00000000,0.99980000,0.99990000,178745223.00000000,178723016.57080000,75533
