unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1653609600000,2022-05-27 00:00:00,DOT/USDT,9.14000000,10.00000000,8.56000000,9.12000000,15631681.11000000,145061636.19850000,231349
1653523200000,2022-05-26 00:00:00,DOT/USDT,9.87000000,10.00000000,8.82000000,9.14000000,13610458.18000000,127248556.30160000,170161
1653436800000,2022-05-25 00:00:00,DOT/USDT,10.19000000,10.34000000,9.77000000,9.87000000,6770708.75000000,67750596.92540000,92236
1653350400000,2022-05-24 00:00:00,DOT/USDT,9.88000000,10.27000000,9.56000000,10.19000000,6933332.57000000,68760611.40690000,99855
1653264000000,2022-05-23 00:00:00,DOT/USDT,10.16000000,10.80000000,9.80000000,9.88000000,9534059.79000000,98450333.38550000,159435
1653177600000,2022-05-22 00:00:00,DOT/USDT,10.00000000,10.34000000,9.87000000,10.16000000,4485374.89000000,45305518.45510000,80446
1653091200000,2022-05-21 00:00:00,DOT/USDT,9.67000000,10.10000000,9.46000000,10.00000000,4106354.74000000,40273702.85010000,72163
1653004800000,2022-05-20 00:00:00,DOT/USDT,10.04000000,10.26000000,9.45000000,9.67000000,8304278.67000000,81820169.60090000,133824
1652918400000,2022-05-19 00:00:00,DOT/USDT,9.49000000,10.41000000,9.22000000,10.03000000,10352256.32000000,101903360.80940000,176101
1652832000000,2022-05-18 00:00:00,DOT/USDT,11.03000000,11.17000000,9.43000000,9.49000000,10809076.66000000,110317390.98000000,195469
1652745600000,2022-05-17 00:00:00,DOT/USDT,10.62000000,11.34000000,10.43000000,11.04000000,8641438.95000000,94535273.07170000,167846
1652659200000,2022-05-16 00:00:00,DOT/USDT,11.81000000,11.81000000,10.37000000,10.63000000,10051194.44000000,109369336.75590000,213935
1652572800000,2022-05-15 00:00:00,DOT/USDT,11.31000000,11.87000000,10.57000000,11.81000000,11082707.18000000,123422082.40150000,218941
1652486400000,2022-05-14 00:00:00,DOT/USDT,10.45000000,11.56000000,9.76000000,11.30000000,15902710.63000000,168541392.98000000,300699
1652400000000,2022-05-13 00:00:00,DOT/USDT,8.70000000,11.79000000,8.56000000,10.46000000,25890493.66000000,272524262.62270000,427446
1652313600000,2022-05-12 00:00:00,DOT/USDT,9.07000000,9.52000000,7.30000000,8.71000000,25729345.37500000,215253954.22271000,502173
1652227200000,2022-05-11 00:00:00,DOT/USDT,11.35000000,11.66000000,8.06000000,9.09000000,31995073.85900000,316359655.61068700,683576
1652140800000,2022-05-10 00:00:00,DOT/USDT,10.63000000,12.44000000,10.31000000,11.36000000,18906768.51100000,216809026.27638500,385047
1652054400000,2022-05-09 00:00:00,DOT/USDT,13.26000000,13.49000000,10.51000000,10.62000000,19395824.82900000,229337958.94569600,385487
1651968000000,2022-05-08 00:00:00,DOT/USDT,13.75000000,13.88000000,13.03000000,13.25000000,7019382.93100000,94131882.21166800,140423
1651881600000,2022-05-07 00:00:00,DOT/USDT,14.33000000,14.38000000,13.36000000,13.75000000,4305832.06800000,60366358.33960800,100115
1651795200000,2022-05-06 00:00:00,DOT/USDT,14.58000000,14.67000000,13.81000000,14.32000000,6781078.50000000,96930315.19068300,156333
