unix,date,symbol,open,high,low,close,Volume XTZ,Volume USDT,tradecount
1652918400000,2022-05-19 00:00:00,XTZ/USDT,1.68000000,1.77700000,1.61200000,1.75600000,3858457.20000000,6550317.97380000,31012
1652832000000,2022-05-18 00:00:00,XTZ/USDT,1.86000000,1.89200000,1.66600000,1.68000000,3518566.30000000,6164712.86210000,29144
1652745600000,2022-05-17 00:00:00,XTZ/USDT,1.77600000,1.87400000,1.75100000,1.86000000,2838742.70000000,5170338.47930000,26922
1652659200000,2022-05-16 00:00:00,XTZ/USDT,1.91800000,1.92000000,1.72100000,1.77600000,4550668.60000000,8135122.44620000,38874
1652572800000,2022-05-15 00:00:00,XTZ/USDT,1.82400000,1.92800000,1.77700000,1.91800000,3499077.30000000,6508697.22930000,32495
1652486400000,2022-05-14 00:00:00,XTZ/USDT,1.76800000,1.87100000,1.65100000,1.82500000,3647328.60000000,6436496.69060000,34530
1652400000000,2022-05-13 00:00:00,XTZ/USDT,1.67900000,1.93600000,1.65700000,1.76900000,7667180.00000000,14063945.70770000,69336
1652313600000,2022-05-12 00:00:00,XTZ/USDT,1.78500000,1.89200000,1.45100000,1.67900000,16863289.42000000,27776473.94449200,146847
1652227200000,2022-05-11 00:00:00,XTZ/USDT,2.11100000,2.18400000,1.70000000,1.79000000,16434278.01000000,31906129.06659900,169496
1652140800000,2022-05-10 00:00:00,XTZ/USDT,2.01200000,2.29200000,1.99400000,2.11200000,11572063.20000000,24894108.89590000,113988
1652054400000,2022-05-09 00:00:00,XTZ/USDT,2.55900000,2.66300000,2.00000000,2.01300000,12550218.74000000,28641658.42645600,120971
1651968000000,2022-05-08 00:00:00,XTZ/USDT,2.51500000,2.64100000,2.51300000,2.55800000,8707244.50000000,22457004.01640000,83885
1651881600000,2022-05-07 00:00:00,XTZ/USDT,2.50400000,2.64300000,2.41900000,2.51600000,6631566.10000000,16909305.32080000,63807
1651795200000,2022-05-06 00:00:00,XTZ/USDT,2.48700000,2.52900000,2.40000000,2.50500000,4591943.90000000,11336175.72030000,43831
1651708800000,2022-05-05 00:00:00,XTZ/USDT,2.70400000,2.88000000,2.41100000,2.48800000,8538720.60000000,22852570.03970000,93078
1651622400000,2022-05-04 00:00:00,XTZ/USDT,2.48900000,2.74700000,2.47500000,2.70300000,3683872.60000000,9539180.22700000,40015
1651536000000,2022-05-03 00:00:00,XTZ/USDT,2.49600000,2.58600000,2.42300000,2.48900000,2817191.40000000,7101394.49510000,28789
