unix,date,symbol,open,high,low,close,Volume ICP,Volume USDT,tradecount
1651622400000,2022-05-04 00:00:00,ICP/USDT,12.81000000,14.42000000,12.77000000,14.28000000,2051576.21000000,27872041.29700000,78998
1651536000000,2022-05-03 00:00:00,ICP/USDT,12.94000000,13.55000000,12.53000000,12.81000000,1755132.47000000,22971654.80850000,60317
1651449600000,2022-05-02 00:00:00,ICP/USDT,13.04000000,13.23000000,12.34000000,12.94000000,1839082.29000000,23569872.74580000,66934
1651363200000,2022-05-01 00:00:00,ICP/USDT,12.40000000,13.38000000,12.15000000,13.05000000,2900757.37000000,36866398.50860000,91739
1651276800000,2022-04-30 00:00:00,ICP/USDT,14.15000000,14.36000000,11.28000000,12.40000000,3231765.78000000,42485889.15160000,119181
1651190400000,2022-04-29 00:00:00,ICP/USDT,15.11000000,15.25000000,13.66000000,14.16000000,1823631.89000000,26423858.58610000,85927
1651104000000,2022-04-28 00:00:00,ICP/USDT,15.30000000,15.56000000,14.91000000,15.11000000,1479679.45000000,22531003.83750000,71286
1651017600000,2022-04-27 00:00:00,ICP/USDT,15.00000000,15.61000000,14.75000000,15.30000000,1321705.27000000,20130348.97780000,64687
1650931200000,2022-04-26 00:00:00,ICP/USDT,16.15000000,16.40000000,14.53000000,14.99000000,1762008.21000000,27453678.09950000,91896
1650844800000,2022-04-25 00:00:00,ICP/USDT,16.21000000,16.25000000,15.00000000,16.14000000,2249547.91000000,35083104.82500000,106593
1650758400000,2022-04-24 00:00:00,ICP/USDT,16.47000000,16.69000000,16.02000000,16.21000000,1044827.61000000,17083393.48130000,52459
1650672000000,2022-04-23 00:00:00,ICP/USDT,16.59000000,17.19000000,16.39000000,16.47000000,1112091.06000000,18650073.86420000,48487
1650585600000,2022-04-22 00:00:00,ICP/USDT,16.46000000,17.00000000,16.24000000,16.59000000,1258930.12000000,20900815.32310000,51754
1650499200000,2022-04-21 00:00:00,ICP/USDT,17.09000000,17.78000000,16.14000000,16.46000000,1604669.70000000,27557336.65930000,81317
1650412800000,2022-04-20 00:00:00,ICP/USDT,17.42000000,17.85000000,16.73000000,17.09000000,1534800.39000000,26530600.51370000,72520
1650326400000,2022-04-19 00:00:00,ICP/USDT,16.99000000,17.72000000,16.79000000,17.43000000,1372179.84000000,23612631.10600000,64775
1650240000000,2022-04-18 00:00:00,ICP/USDT,16.42000000,17.14000000,15.71000000,16.99000000,2006974.40000000,32914816.66930000,95404
1650153600000,2022-04-17 00:00:00,ICP/USDT,17.55000000,17.91000000,16.29000000,16.41000000,1877443.56000000,32517321.28200000,80147
1650067200000,2022-04-16 00:00:00,ICP/USDT,16.81000000,17.77000000,16.52000000,17.56000000,1367949.31000000,23383525.28250000,65954
1649980800000,2022-04-15 00:00:00,ICP/USDT,16.49000000,16.97000000,16.37000000,16.80000000,983962.92000000,16423934.56100000,45266
1649894400000,2022-04-14 00:00:00,ICP/USDT,16.98000000,17.32000000,16.12000000,16.49000000,1323641.25000000,22113267.60190000,58965
1649808000000,2022-04-13 00:00:00,ICP/USDT,16.59000000,17.15000000,16.18000000,16.97000000,1418895.65000000,23789883.82830000,62019
1649721600000,2022-04-12 00:00:00,ICP/USDT,16.09000000,17.06000000,15.99000000,16.59000000,1687107.97000000,27918126.17620000,75724
1649635200000,2022-04-11 00:00:00,ICP/USDT,17.34000000,17.52000000,15.60000000,16.10000000,2513416.61000000,41899175.99960000,113816
1649548800000,2022-04-10 00:00:00,ICP/USDT,18.39000000,18.45000000,17.25000000,17.34000000,1581502.66000000,28415552.97480000,63770
1649462400000,2022-04-09 00:00:00,ICP/USDT,18.00000000,18.45000000,17.79000000,18.39000000,1350432.84000000,24471109.52560000,53806
1649376000000,2022-04-08 00:00:00,ICP/USDT,19.29000000,19.60000000,17.76000000,18.00000000,2547059.06000000,47988458.13100000,109811
1649289600000,2022-04-07 00:00:00,ICP/USDT,18.73000000,19.50000000,18.33000000,19.29000000,1666335.47000000,31676175.67250000,93403
1649203200000,2022-04-06 00:00:00,ICP/USDT,21.04000000,21.16000000,18.58000000,18.73000000,3020079.01000000,60034553.39770000,180309
1649116800000,2022-04-05 00:00:00,ICP/USDT,21.89000000,22.85000000,20.86000000,21.04000000,2578017.56000000,56971809.29890000,150512
1649030400000,2022-04-04 00:00:00,ICP/USDT,22.65000000,23.52000000,20.75000000,21.89000000,3945185.63000000,87596436.39760000,248503
1648944000000,2022-04-03 00:00:00,ICP/USDT,21.01000000,22.83000000,20.62000000,22.66000000,1963367.09000000,42657696.42580000,122321
1648857600000,2022-04-02 00:00:00,ICP/USDT,21.61000000,22.54000000,20.91000000,21.01000000,2479313.62000000,53908269.44080000,151478
1648771200000,2022-04-01 00:00:00,ICP/USDT,20.98000000,21.85000000,20.00000000,21.61000000,2463654.16000000,51479790.93880000,144765
1648684800000,2022-03-31 00:00:00,ICP/USDT,21.82000000,23.33000000,20.22000000,20.99000000,3687837.61000000,80204943.33990000,257634
1648598400000,2022-03-30 00:00:00,ICP/USDT,22.12000000,22.45000000,21.11000000,21.81000000,2239762.94000000,49158548.20400000,157959
1648512000000,2022-03-29 00:00:00,ICP/USDT,21.76000000,23.29000000,21.36000000,22.12000000,3437982.65000000,76530586.36910000,213842
1648425600000,2022-03-28 00:00:00,ICP/USDT,21.90000000,23.50000000,21.14000000,21.76000000,4504175.38000000,101099153.73470000,306178
1648339200000,2022-03-27 00:00:00,ICP/USDT,19.41000000,22.00000000,18.95000000,21.90000000,3451070.17000000,70780545.17520000,204721
1648252800000,2022-03-26 00:00:00,ICP/USDT,18.74000000,19.61000000,18.56000000,19.41000000,1126410.59000000,21579847.96370000,55856
1648166400000,2022-03-25 00:00:00,ICP/USDT,19.41000000,20.05000000,18.61000000,18.75000000,1988555.35000000,38463805.36830000,106242
1648080000000,2022-03-24 00:00:00,ICP/USDT,18.96000000,19.84000000,18.66000000,19.41000000,2187262.10000000,42007791.04210000,114211
1647993600000,2022-03-23 00:00:00,ICP/USDT,18.03000000,19.55000000,17.73000000,18.96000000,3829288.11000000,72242432.00920000,167071
1647907200000,2022-03-22 00:00:00,ICP/USDT,16.94000000,18.45000000,16.79000000,18.02000000,2567432.10000000,45763201.93690000,111468
1647820800000,2022-03-21 00:00:00,ICP/USDT,16.77000000,17.19000000,16.24000000,16.95000000,1590927.14000000,26744849.02900000,55633
1647734400000,2022-03-20 00:00:00,ICP/USDT,17.60000000,17.76000000,16.61000000,16.78000000,1547786.10000000,26510438.93440000,64329
1647648000000,2022-03-19 00:00:00,ICP/USDT,16.89000000,17.68000000,16.77000000,17.59000000,2120020.52000000,36639416.35930000,83635
1647561600000,2022-03-18 00:00:00,ICP/USDT,16.57000000,17.08000000,16.15000000,16.89000000,1747932.32000000,29002356.76360000,67553
1647475200000,2022-03-17 00:00:00,ICP/USDT,16.48000000,17.22000000,16.28000000,16.56000000,2108735.15000000,35174916.66250000,97959
1647388800000,2022-03-16 00:00:00,ICP/USDT,15.84000000,16.49000000,15.58000000,16.48000000,2499951.31000000,40078794.86240000,115083
1647302400000,2022-03-15 00:00:00,ICP/USDT,16.15000000,16.44000000,15.34000000,15.84000000,1636083.76000000,25887182.60890000,76050
1647216000000,2022-03-14 00:00:00,ICP/USDT,15.75000000,16.21000000,15.58000000,16.16000000,1193114.49000000,18912530.96950000,45376
1647129600000,2022-03-13 00:00:00,ICP/USDT,16.07000000,16.44000000,15.43000000,15.75000000,1113284.72000000,17894892.30290000,64647
1647043200000,2022-03-12 00:00:00,ICP/USDT,16.00000000,16.64000000,16.00000000,16.07000000,959635.98000000,15722687.02950000,76498
1646956800000,2022-03-11 00:00:00,ICP/USDT,16.60000000,16.95000000,15.94000000,16.00000000,1518591.45000000,24935971.88210000,68303
1646870400000,2022-03-10 00:00:00,ICP/USDT,17.46000000,17.54000000,16.06000000,16.60000000,1588727.21000000,26298649.98430000,81941
1646784000000,2022-03-09 00:00:00,ICP/USDT,16.86000000,17.94000000,16.73000000,17.46000000,1804423.82000000,31610954.77100000,81709
1646697600000,2022-03-08 00:00:00,ICP/USDT,16.41000000,17.13000000,16.30000000,16.86000000,1374052.59000000,23059485.95650000,57534
1646611200000,2022-03-07 00:00:00,ICP/USDT,16.62000000,17.32000000,15.83000000,16.42000000,2293487.83000000,38126863.92470000,92846
