unix,date,symbol,open,high,low,close,Volume MKR,Volume USDT,tradecount
1656633600000,2022-07-01 00:00:00,MKR/USDT,909.00000000,935.00000000,869.00000000,892.00000000,2840.75870000,2563790.26080000,13768
1656547200000,2022-06-30 00:00:00,MKR/USDT,913.00000000,923.00000000,837.00000000,909.00000000,3151.33670000,2742904.04710000,14623
1656460800000,2022-06-29 00:00:00,MKR/USDT,946.00000000,975.00000000,897.00000000,911.00000000,4207.53200000,3964356.16810000,17809
1656374400000,2022-06-28 00:00:00,MKR/USDT,1002.00000000,1034.00000000,941.00000000,946.00000000,2628.04210000,2598933.38350000,13230
1656288000000,2022-06-27 00:00:00,MKR/USDT,1001.00000000,1071.00000000,987.00000000,1002.00000000,2619.19100000,2678223.15870000,13806
1656201600000,2022-06-26 00:00:00,MKR/USDT,1035.00000000,1097.00000000,992.00000000,1002.00000000,3382.57270000,3567689.02720000,17404
1656115200000,2022-06-25 00:00:00,MKR/USDT,1054.00000000,1086.00000000,997.00000000,1034.00000000,3029.56580000,3157244.06230000,15882
1656028800000,2022-06-24 00:00:00,MKR/USDT,977.00000000,1092.00000000,963.00000000,1054.00000000,4336.80510000,4436118.66460000,19343
1655942400000,2022-06-23 00:00:00,MKR/USDT,884.00000000,984.00000000,882.00000000,978.00000000,4213.88610000,3934899.62370000,16338
1655856000000,2022-06-22 00:00:00,MKR/USDT,922.00000000,951.00000000,870.00000000,883.00000000,3183.42100000,2893201.13000000,14498
1655769600000,2022-06-21 00:00:00,MKR/USDT,902.00000000,964.00000000,882.00000000,921.00000000,3976.68870000,3689957.18700000,18897
1655683200000,2022-06-20 00:00:00,MKR/USDT,907.00000000,953.00000000,860.00000000,902.00000000,5323.53360000,4819636.68470000,23356
1655596800000,2022-06-19 00:00:00,MKR/USDT,733.00000000,913.00000000,706.00000000,905.00000000,7129.41050000,5699716.36030000,24187
1655510400000,2022-06-18 00:00:00,MKR/USDT,767.00000000,785.00000000,656.00000000,733.00000000,4759.81550000,3411611.22460000,14484
1655424000000,2022-06-17 00:00:00,MKR/USDT,736.00000000,790.00000000,731.00000000,767.00000000,3079.50350000,2355787.78170000,8944
1655337600000,2022-06-16 00:00:00,MKR/USDT,828.00000000,839.00000000,715.00000000,735.00000000,3054.82570000,2336936.91550000,12835
1655251200000,2022-06-15 00:00:00,MKR/USDT,788.00000000,831.00000000,679.00000000,828.00000000,9871.62220000,7317723.56310000,25320
1655164800000,2022-06-14 00:00:00,MKR/USDT,764.00000000,821.00000000,691.00000000,788.00000000,5897.09356000,4551685.03950000,15953
1655078400000,2022-06-13 00:00:00,MKR/USDT,911.00000000,920.00000000,720.00000000,765.00000000,12376.27872000,9718653.42440000,31049
1654992000000,2022-06-12 00:00:00,MKR/USDT,990.00000000,998.00000000,902.00000000,913.00000000,3729.35630000,3511500.76300000,13500
1654905600000,2022-06-11 00:00:00,MKR/USDT,1046.00000000,1075.00000000,955.00000000,988.00000000,3734.16380000,3763165.44560000,15172
1654819200000,2022-06-10 00:00:00,MKR/USDT,1136.00000000,1142.00000000,1039.00000000,1046.00000000,2581.66690000,2818365.10800000,11526
1654732800000,2022-06-09 00:00:00,MKR/USDT,1154.00000000,1174.00000000,1120.00000000,1135.00000000,974.88900000,1114871.16640000,6739
1654646400000,2022-06-08 00:00:00,MKR/USDT,1158.00000000,1177.00000000,1127.00000000,1155.00000000,1213.70630000,1401842.54840000,8567
1654560000000,2022-06-07 00:00:00,MKR/USDT,1212.00000000,1220.00000000,1117.00000000,1158.00000000,2349.69490000,2734109.16910000,13434
1654473600000,2022-06-06 00:00:00,MKR/USDT,1180.00000000,1232.00000000,1177.00000000,1210.00000000,1807.30990000,2188229.58970000,10383
1654387200000,2022-06-05 00:00:00,MKR/USDT,1172.00000000,1208.00000000,1145.00000000,1181.00000000,1240.29640000,1460159.52160000,8963
1654300800000,2022-06-04 00:00:00,MKR/USDT,1145.00000000,1196.00000000,1118.00000000,1172.00000000,1106.39050000,1278408.40680000,10248
1654214400000,2022-06-03 00:00:00,MKR/USDT,1206.00000000,1210.00000000,1123.00000000,1146.00000000,3244.63920000,3753756.56730000,17821
1654128000000,2022-06-02 00:00:00,MKR/USDT,1208.00000000,1237.00000000,1171.00000000,1204.00000000,3405.56070000,4062490.45710000,21376
1654041600000,2022-06-01 00:00:00,MKR/USDT,1322.00000000,1335.00000000,1165.00000000,1209.00000000,2899.09430000,3660184.06650000,16912
1653955200000,2022-05-31 00:00:00,MKR/USDT,1372.00000000,1383.00000000,1295.00000000,1321.00000000,3276.42660000,4363668.63620000,18780
1653868800000,2022-05-30 00:00:00,MKR/USDT,1194.00000000,1383.00000000,1186.00000000,1371.00000000,4386.06420000,5716059.30560000,23841
1653782400000,2022-05-29 00:00:00,MKR/USDT,1213.00000000,1225.00000000,1171.00000000,1193.00000000,2290.88550000,2733996.56140000,11734
1653696000000,2022-05-28 00:00:00,MKR/USDT,1121.00000000,1237.00000000,1110.00000000,1213.00000000,2693.75330000,3203907.92110000,11880
1653609600000,2022-05-27 00:00:00,MKR/USDT,1150.00000000,1210.00000000,1101.00000000,1119.00000000,3578.39890000,4099650.85530000,19761
1653523200000,2022-05-26 00:00:00,MKR/USDT,1262.00000000,1292.00000000,1121.00000000,1150.00000000,4591.81710000,5489295.66290000,19015
1653436800000,2022-05-25 00:00:00,MKR/USDT,1294.00000000,1322.00000000,1249.00000000,1263.00000000,2590.64630000,3308450.66990000,14275
1653350400000,2022-05-24 00:00:00,MKR/USDT,1305.00000000,1326.00000000,1238.00000000,1295.00000000,3281.36160000,4211050.62300000,17932
1653264000000,2022-05-23 00:00:00,MKR/USDT,1432.00000000,1449.00000000,1282.00000000,1305.00000000,4216.68070000,5841531.26160000,23607
1653177600000,2022-05-22 00:00:00,MKR/USDT,1398.00000000,1440.00000000,1384.00000000,1433.00000000,1860.23260000,2624339.16800000,13628
1653091200000,2022-05-21 00:00:00,MKR/USDT,1393.00000000,1430.00000000,1356.00000000,1399.00000000,2589.49710000,3610197.36870000,17094
1653004800000,2022-05-20 00:00:00,MKR/USDT,1435.00000000,1469.00000000,1368.00000000,1393.00000000,3714.43180000,5272953.30840000,25396
1652918400000,2022-05-19 00:00:00,MKR/USDT,1434.00000000,1461.00000000,1370.00000000,1434.00000000,5755.92060000,8140185.07020000,35053
1652832000000,2022-05-18 00:00:00,MKR/USDT,1572.00000000,1600.00000000,1414.00000000,1434.00000000,4922.00290000,7330310.77950000,32097
1652745600000,2022-05-17 00:00:00,MKR/USDT,1531.00000000,1705.00000000,1483.00000000,1573.00000000,8894.63950000,14248080.56100000,48258
1652659200000,2022-05-16 00:00:00,MKR/USDT,1575.00000000,1600.00000000,1451.00000000,1530.00000000,7388.04660000,11339737.73550000,50262
1652572800000,2022-05-15 00:00:00,MKR/USDT,1564.00000000,1653.00000000,1462.00000000,1575.00000000,9681.55750000,15045316.73980000,57571
1652486400000,2022-05-14 00:00:00,MKR/USDT,1383.00000000,1631.00000000,1359.00000000,1564.00000000,18170.49380000,27219772.19600000,107418
1652400000000,2022-05-13 00:00:00,MKR/USDT,1338.00000000,1767.00000000,1325.00000000,1383.00000000,24744.50700000,37610419.33310000,145985
1652313600000,2022-05-12 00:00:00,MKR/USDT,1133.00000000,1365.00000000,955.00000000,1339.00000000,18849.86301000,21374926.28560000,95602
1652227200000,2022-05-11 00:00:00,MKR/USDT,1222.00000000,2300.00000000,1078.00000000,1133.00000000,68733.15340000,103783660.46700000,375587
1652140800000,2022-05-10 00:00:00,MKR/USDT,1050.00000000,1258.00000000,1023.00000000,1223.00000000,11706.62370000,13918072.30230000,66690
1652054400000,2022-05-09 00:00:00,MKR/USDT,1190.00000000,1220.00000000,1026.00000000,1052.00000000,9423.15486000,10397247.59525350,43474
1651968000000,2022-05-08 00:00:00,MKR/USDT,1266.00000000,1279.00000000,1172.00000000,1191.00000000,3816.07117000,4660830.13551600,21933
1651881600000,2022-05-07 00:00:00,MKR/USDT,1335.00000000,1349.00000000,1232.00000000,1264.00000000,1936.94620000,2544265.15450000,13137
