unix,date,symbol,open,high,low,close,Volume XMR,Volume USDT,tradecount
1656460800000,2022-06-29 00:00:00,XMR/USDT,117.60000000,125.10000000,116.80000000,119.00000000,106704.54000000,12830494.34820000,37763
1656374400000,2022-06-28 00:00:00,XMR/USDT,120.50000000,123.30000000,116.00000000,117.60000000,82380.30900000,9868376.66600000,28709
1656288000000,2022-06-27 00:00:00,XMR/USDT,125.30000000,131.40000000,119.70000000,120.40000000,89605.03000000,11176176.00440000,31909
1656201600000,2022-06-26 00:00:00,XMR/USDT,127.40000000,134.20000000,124.70000000,125.30000000,81204.13800000,10532918.42000000,30573
1656115200000,2022-06-25 00:00:00,XMR/USDT,126.60000000,128.30000000,121.00000000,127.40000000,56355.30800000,7025086.33950000,20805
1656028800000,2022-06-24 00:00:00,XMR/USDT,122.70000000,128.90000000,122.50000000,126.60000000,80778.31300000,10165449.45250000,30062
1655942400000,2022-06-23 00:00:00,XMR/USDT,111.20000000,123.00000000,110.70000000,122.70000000,61630.63700000,7254917.80020000,24648
1655856000000,2022-06-22 00:00:00,XMR/USDT,118.90000000,118.90000000,110.90000000,111.20000000,78960.90700000,9081620.74670000,28789
1655769600000,2022-06-21 00:00:00,XMR/USDT,117.20000000,125.40000000,115.70000000,119.00000000,113643.83100000,13779407.12830000,40443
1655683200000,2022-06-20 00:00:00,XMR/USDT,114.50000000,118.00000000,108.50000000,117.30000000,105293.42800000,11999712.45400000,39008
1655596800000,2022-06-19 00:00:00,XMR/USDT,104.40000000,115.30000000,100.00000000,114.40000000,129557.93600000,14013425.67110000,44740
1655510400000,2022-06-18 00:00:00,XMR/USDT,114.30000000,115.70000000,96.70000000,104.40000000,190659.80429000,20081074.23211500,63977
1655424000000,2022-06-17 00:00:00,XMR/USDT,106.70000000,116.40000000,105.90000000,114.50000000,149352.46900000,16818127.52550000,47019
1655337600000,2022-06-16 00:00:00,XMR/USDT,118.50000000,121.10000000,104.00000000,106.70000000,150464.90900000,16573368.03390000,57771
1655251200000,2022-06-15 00:00:00,XMR/USDT,118.40000000,119.50000000,104.00000000,118.50000000,329512.58512000,36994846.83107470,118967
1655164800000,2022-06-14 00:00:00,XMR/USDT,132.70000000,134.30000000,115.80000000,118.30000000,322236.90900000,39755058.79035170,123457
1655078400000,2022-06-13 00:00:00,XMR/USDT,158.20000000,160.40000000,127.80000000,132.80000000,243975.27200000,34538540.01670000,103164
1654992000000,2022-06-12 00:00:00,XMR/USDT,166.70000000,167.20000000,152.40000000,158.20000000,94953.10200000,15224037.61750000,52844
1654905600000,2022-06-11 00:00:00,XMR/USDT,174.40000000,178.60000000,160.70000000,166.50000000,83515.17300000,14154040.81770000,40476
1654819200000,2022-06-10 00:00:00,XMR/USDT,185.80000000,186.70000000,172.10000000,174.30000000,80062.05300000,14331667.46910000,41769
1654732800000,2022-06-09 00:00:00,XMR/USDT,186.50000000,189.90000000,182.10000000,185.90000000,49760.66400000,9252383.80820000,24063
1654646400000,2022-06-08 00:00:00,XMR/USDT,187.40000000,189.60000000,182.10000000,186.50000000,48568.63000000,9017449.61900000,28829
1654560000000,2022-06-07 00:00:00,XMR/USDT,189.20000000,195.40000000,180.00000000,187.50000000,78043.21400000,14619924.87630000,40930
1654473600000,2022-06-06 00:00:00,XMR/USDT,187.90000000,195.80000000,187.70000000,189.20000000,76052.02400000,14568528.63550000,38074
1654387200000,2022-06-05 00:00:00,XMR/USDT,189.10000000,191.90000000,185.70000000,187.90000000,60566.65700000,11426529.88950000,27009
1654300800000,2022-06-04 00:00:00,XMR/USDT,193.60000000,196.10000000,188.00000000,189.10000000,71316.25800000,13728493.34910000,32548
1654214400000,2022-06-03 00:00:00,XMR/USDT,201.30000000,203.00000000,187.40000000,193.60000000,93746.21000000,18206745.26780000,43436
1654128000000,2022-06-02 00:00:00,XMR/USDT,198.80000000,204.50000000,192.20000000,201.40000000,93930.04900000,18626535.10210000,56849
1654041600000,2022-06-01 00:00:00,XMR/USDT,198.50000000,203.80000000,192.80000000,198.80000000,130273.76600000,25714241.50260000,73926
1653955200000,2022-05-31 00:00:00,XMR/USDT,204.00000000,208.60000000,190.10000000,198.60000000,196414.43800000,38978934.70000000,84237
1653868800000,2022-05-30 00:00:00,XMR/USDT,185.90000000,209.70000000,182.80000000,204.10000000,136562.32900000,26852186.85860000,72080
1653782400000,2022-05-29 00:00:00,XMR/USDT,175.90000000,188.30000000,167.50000000,186.00000000,102369.69000000,18181133.08940000,49394
1653696000000,2022-05-28 00:00:00,XMR/USDT,180.80000000,184.40000000,174.10000000,176.00000000,73638.29300000,13156615.25970000,37470
1653609600000,2022-05-27 00:00:00,XMR/USDT,189.30000000,190.90000000,176.10000000,180.90000000,139713.47800000,25723468.08960000,64894
1653523200000,2022-05-26 00:00:00,XMR/USDT,204.20000000,207.20000000,184.80000000,189.30000000,180425.74200000,35107820.50760000,91746
1653436800000,2022-05-25 00:00:00,XMR/USDT,193.00000000,205.90000000,191.40000000,204.20000000,195514.02300000,39094777.12940000,113194
1653350400000,2022-05-24 00:00:00,XMR/USDT,185.40000000,197.00000000,183.70000000,193.10000000,159986.06300000,30562744.50140000,71304
1653264000000,2022-05-23 00:00:00,XMR/USDT,187.10000000,205.40000000,165.00000000,185.30000000,263353.06000000,50457843.07580000,117781
1653177600000,2022-05-22 00:00:00,XMR/USDT,175.80000000,188.60000000,172.40000000,187.00000000,95082.18400000,17074904.33090000,44476
1653091200000,2022-05-21 00:00:00,XMR/USDT,174.00000000,181.10000000,170.30000000,175.90000000,105014.32200000,18435006.11720000,49210
1653004800000,2022-05-20 00:00:00,XMR/USDT,165.80000000,181.80000000,163.20000000,174.10000000,212635.12000000,36732877.71750000,98198
1652918400000,2022-05-19 00:00:00,XMR/USDT,155.10000000,170.30000000,150.70000000,166.00000000,124933.19600000,20224366.40520000,67507
1652832000000,2022-05-18 00:00:00,XMR/USDT,172.80000000,176.00000000,154.30000000,155.10000000,107518.35300000,17814990.45960000,45934
1652745600000,2022-05-17 00:00:00,XMR/USDT,162.40000000,177.90000000,162.00000000,172.80000000,103479.19000000,17774272.31560000,48242
1652659200000,2022-05-16 00:00:00,XMR/USDT,172.20000000,176.00000000,160.00000000,162.50000000,133862.17800000,22495026.13330000,63634
1652572800000,2022-05-15 00:00:00,XMR/USDT,153.40000000,178.00000000,150.80000000,172.10000000,135008.13100000,21781292.33090000,63619
1652486400000,2022-05-14 00:00:00,XMR/USDT,143.90000000,155.30000000,133.00000000,153.50000000,108817.89200000,15773635.40050000,70332
