unix,date,symbol,open,high,low,close,Volume DASH,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,DASH/USDT,50.10000000,50.10000000,49.40000000,49.60000000,1116.26300000,55545.84740000,357
1658188800000,2022-07-19 00:00:00,DASH/USDT,48.80000000,50.90000000,47.30000000,50.10000000,128804.85100000,6321256.56720000,27696
1658102400000,2022-07-18 00:00:00,DASH/USDT,46.00000000,50.00000000,45.90000000,48.90000000,140525.70200000,6742083.31380000,30669
1658016000000,2022-07-17 00:00:00,DASH/USDT,44.90000000,47.10000000,44.10000000,46.00000000,100424.50100000,4620672.86840000,22397
1657929600000,2022-07-16 00:00:00,DASH/USDT,43.30000000,45.10000000,42.10000000,44.90000000,66314.68800000,2894230.43780000,12364
1657843200000,2022-07-15 00:00:00,DASH/USDT,43.70000000,44.80000000,43.00000000,43.30000000,71567.03100000,3140503.19450000,13780
1657756800000,2022-07-14 00:00:00,DASH/USDT,42.50000000,44.00000000,40.60000000,43.70000000,71039.70000000,2976999.06120000,11845
1657670400000,2022-07-13 00:00:00,DASH/USDT,39.90000000,42.60000000,39.30000000,42.40000000,95201.31600000,3895004.78960000,15006
1657584000000,2022-07-12 00:00:00,DASH/USDT,41.50000000,42.30000000,39.70000000,39.80000000,97137.93100000,3997753.26220000,15328
1657497600000,2022-07-11 00:00:00,DASH/USDT,45.10000000,45.20000000,41.30000000,41.60000000,76539.87100000,3334106.94410000,13187
1657411200000,2022-07-10 00:00:00,DASH/USDT,47.80000000,47.90000000,44.60000000,45.20000000,43593.77200000,2009955.17580000,8742
1657324800000,2022-07-09 00:00:00,DASH/USDT,45.80000000,48.20000000,45.80000000,47.90000000,43745.82800000,2061765.45900000,8827
1657238400000,2022-07-08 00:00:00,DASH/USDT,46.10000000,47.40000000,44.90000000,45.80000000,66104.47400000,3041021.51500000,11980
1657152000000,2022-07-07 00:00:00,DASH/USDT,44.20000000,46.40000000,43.60000000,46.00000000,62809.38200000,2831383.32330000,10524
1657065600000,2022-07-06 00:00:00,DASH/USDT,43.10000000,44.80000000,42.40000000,44.30000000,53194.02100000,2315919.97510000,9775
1656979200000,2022-07-05 00:00:00,DASH/USDT,44.40000000,44.90000000,41.80000000,43.10000000,73009.82100000,3165957.23980000,13131
1656892800000,2022-07-04 00:00:00,DASH/USDT,42.70000000,44.70000000,41.50000000,44.30000000,67488.47900000,2893799.78470000,18888
1656806400000,2022-07-03 00:00:00,DASH/USDT,42.90000000,43.50000000,41.40000000,42.70000000,43277.50500000,1835628.84000000,11297
1656720000000,2022-07-02 00:00:00,DASH/USDT,41.80000000,43.40000000,40.70000000,42.80000000,51240.06600000,2154657.90260000,9694
1656633600000,2022-07-01 00:00:00,DASH/USDT,42.30000000,43.50000000,40.70000000,41.80000000,110744.88100000,4645206.85150000,18942
1656547200000,2022-06-30 00:00:00,DASH/USDT,44.60000000,44.90000000,40.20000000,42.30000000,110672.74800000,4625444.43070000,19600
1656460800000,2022-06-29 00:00:00,DASH/USDT,46.30000000,47.20000000,43.90000000,44.50000000,100533.21900000,4561849.05970000,18476
