unix,date,symbol,open,high,low,close,Volume LRC,Volume USDT,tradecount
1658275200000,2022-07-20 00:00:00,LRC/USDT,0.45090000,0.45260000,0.44870000,0.44980000,464702.00000000,209226.70540000,1253
1658188800000,2022-07-19 00:00:00,LRC/USDT,0.43140000,0.47500000,0.42050000,0.45090000,57486888.00000000,25685465.82260000,128536
1658102400000,2022-07-18 00:00:00,LRC/USDT,0.37780000,0.45990000,0.37510000,0.43140000,69637789.00000000,29668876.68590000,140629
1658016000000,2022-07-17 00:00:00,LRC/USDT,0.38730000,0.39890000,0.37660000,0.37760000,12244672.00000000,4754000.95850000,25938
1657929600000,2022-07-16 00:00:00,LRC/USDT,0.37670000,0.39140000,0.36820000,0.38720000,11842806.00000000,4501947.68600000,23172
1657843200000,2022-07-15 00:00:00,LRC/USDT,0.38280000,0.39280000,0.37130000,0.37680000,20825017.00000000,7973616.62510000,43924
1657756800000,2022-07-14 00:00:00,LRC/USDT,0.37080000,0.38880000,0.35780000,0.38240000,23088544.00000000,8630465.72100000,38261
1657670400000,2022-07-13 00:00:00,LRC/USDT,0.36050000,0.37520000,0.34540000,0.37090000,21098346.00000000,7602971.52540000,40764
1657584000000,2022-07-12 00:00:00,LRC/USDT,0.39160000,0.39950000,0.35900000,0.36050000,24297853.00000000,9339700.01640000,53279
1657497600000,2022-07-11 00:00:00,LRC/USDT,0.39130000,0.41400000,0.37270000,0.39170000,35088687.00000000,13906048.73720000,76754
1657411200000,2022-07-10 00:00:00,LRC/USDT,0.40560000,0.40610000,0.38280000,0.39090000,12231501.00000000,4828743.21990000,21788
1657324800000,2022-07-09 00:00:00,LRC/USDT,0.40180000,0.41290000,0.39900000,0.40590000,8725020.00000000,3556982.34880000,18560
1657238400000,2022-07-08 00:00:00,LRC/USDT,0.41810000,0.42770000,0.39860000,0.40210000,15212575.00000000,6231743.95920000,34816
1657152000000,2022-07-07 00:00:00,LRC/USDT,0.40900000,0.42410000,0.40440000,0.41790000,14059503.00000000,5836494.15040000,31942
1657065600000,2022-07-06 00:00:00,LRC/USDT,0.40850000,0.41880000,0.40100000,0.40890000,13777432.00000000,5638034.58630000,31302
1656979200000,2022-07-05 00:00:00,LRC/USDT,0.40150000,0.44070000,0.39070000,0.40890000,33125222.00000000,13782116.70960000,72152
1656892800000,2022-07-04 00:00:00,LRC/USDT,0.38070000,0.40220000,0.37220000,0.40090000,9481311.00000000,3679205.36710000,25219
1656806400000,2022-07-03 00:00:00,LRC/USDT,0.37970000,0.38680000,0.36910000,0.38080000,6777063.00000000,2557849.87450000,16791
1656720000000,2022-07-02 00:00:00,LRC/USDT,0.37980000,0.38390000,0.36790000,0.37940000,7934714.00000000,2985068.96800000,21099
1656633600000,2022-07-01 00:00:00,LRC/USDT,0.38560000,0.39700000,0.36870000,0.37970000,15000343.00000000,5702973.10810000,40930
1656547200000,2022-06-30 00:00:00,LRC/USDT,0.39010000,0.39350000,0.35710000,0.38560000,16215554.00000000,6041535.48930000,45696
1656460800000,2022-06-29 00:00:00,LRC/USDT,0.38840000,0.40200000,0.37890000,0.38970000,15205330.00000000,5931469.54110000,43409
