unix,date,symbol,open,high,low,close,Volume SHIB,Volume USDT,tradecount
1656288000000,2022-06-27 00:00:00,SHIB/USDT,0.00001098,0.00001173,0.00001076,0.00001108,6589164030688.00,73963719.05793346,169856
1656201600000,2022-06-26 00:00:00,SHIB/USDT,0.00001180,0.00001214,0.00001093,0.00001098,9449719269325.00,110199950.59332767,213047
1656115200000,2022-06-25 00:00:00,SHIB/USDT,0.00001083,0.00001199,0.00001071,0.00001180,14857032085882.00,170024167.39331039,304008
1656028800000,2022-06-24 00:00:00,SHIB/USDT,0.00001029,0.00001126,0.00001003,0.00001082,12355572272754.00,131979993.39883416,258158
1655942400000,2022-06-23 00:00:00,SHIB/USDT,0.00000968,0.00001045,0.00000961,0.00001029,11902718133693.00,120348856.98227258,244747
1655856000000,2022-06-22 00:00:00,SHIB/USDT,0.00001065,0.00001084,0.00000927,0.00000968,24703311375762.00,247151060.36266800,487259
1655769600000,2022-06-21 00:00:00,SHIB/USDT,0.00000811,0.00001200,0.00000801,0.00001065,33277433706018.00,341301293.63995298,764374
1655683200000,2022-06-20 00:00:00,SHIB/USDT,0.00000822,0.00000834,0.00000788,0.00000811,4117505815023.00,33365885.13231815,99147
1655596800000,2022-06-19 00:00:00,SHIB/USDT,0.00000772,0.00000835,0.00000739,0.00000822,5699473176803.00,44968458.63381737,132017
1655510400000,2022-06-18 00:00:00,SHIB/USDT,0.00000818,0.00000827,0.00000714,0.00000771,6089619542098.00,47001431.18540838,147920
1655424000000,2022-06-17 00:00:00,SHIB/USDT,0.00000798,0.00000833,0.00000794,0.00000817,3495765488339.00,28525302.49755402,92489
1655337600000,2022-06-16 00:00:00,SHIB/USDT,0.00000883,0.00000896,0.00000785,0.00000798,6198244639740.00,51385277.43561369,153710
1655251200000,2022-06-15 00:00:00,SHIB/USDT,0.00000819,0.00000889,0.00000760,0.00000883,10016230286721.00,80802694.40974865,221188
1655164800000,2022-06-14 00:00:00,SHIB/USDT,0.00000806,0.00000855,0.00000750,0.00000819,9535861978363.00,77311049.93088718,213010
1655078400000,2022-06-13 00:00:00,SHIB/USDT,0.00000859,0.00000879,0.00000742,0.00000805,14020225203009.00,111846596.59959280,305483
1654992000000,2022-06-12 00:00:00,SHIB/USDT,0.00000936,0.00000949,0.00000838,0.00000860,8545674755936.00,76037282.29509257,192629
1654905600000,2022-06-11 00:00:00,SHIB/USDT,0.00001014,0.00001036,0.00000912,0.00000935,5174734331061.00,49772594.19547080,133734
1654819200000,2022-06-10 00:00:00,SHIB/USDT,0.00001058,0.00001066,0.00001000,0.00001013,3051242393267.00,31469517.56749544,84119
