unix,date,symbol,open,high,low,close,Volume ZIL,Volume USDT,tradecount
1656892800000,2022-07-04 00:00:00,ZIL/USDT,0.03868000,0.04015000,0.03716000,0.03997000,327181571.60000000,12668549.52860500,51096
1656806400000,2022-07-03 00:00:00,ZIL/USDT,0.03897000,0.03935000,0.03774000,0.03868000,223027476.20000000,8588233.07688400,39245
1656720000000,2022-07-02 00:00:00,ZIL/USDT,0.04080000,0.04082000,0.03796000,0.03895000,340809338.50000000,13271741.23406300,57025
1656633600000,2022-07-01 00:00:00,ZIL/USDT,0.03874000,0.04161000,0.03707000,0.04078000,881785627.70000000,34717813.67510400,147748
1656547200000,2022-06-30 00:00:00,ZIL/USDT,0.03972000,0.03980000,0.03514000,0.03874000,536493660.10000000,19908615.99637600,95713
1656460800000,2022-06-29 00:00:00,ZIL/USDT,0.04161000,0.04227000,0.03837000,0.03970000,458957124.70000000,18379303.58917800,88846
1656374400000,2022-06-28 00:00:00,ZIL/USDT,0.04492000,0.04539000,0.04096000,0.04159000,398346505.10000000,17216491.72069200,79168
1656288000000,2022-06-27 00:00:00,ZIL/USDT,0.04562000,0.04779000,0.04376000,0.04491000,365838820.10000000,16743578.37448200,77773
1656201600000,2022-06-26 00:00:00,ZIL/USDT,0.04867000,0.05115000,0.04541000,0.04562000,603247043.60000000,29282489.83907000,120035
1656115200000,2022-06-25 00:00:00,ZIL/USDT,0.04552000,0.05128000,0.04427000,0.04869000,873402537.50000000,41943391.84224600,165928
1656028800000,2022-06-24 00:00:00,ZIL/USDT,0.04164000,0.04942000,0.04147000,0.04552000,1338668080.80000000,62010159.64920600,217534
1655942400000,2022-06-23 00:00:00,ZIL/USDT,0.03870000,0.04238000,0.03862000,0.04164000,729787378.90000000,29652522.52887600,105747
1655856000000,2022-06-22 00:00:00,ZIL/USDT,0.04210000,0.04212000,0.03769000,0.03870000,1166429609.80000000,46759388.28951000,178753
1655769600000,2022-06-21 00:00:00,ZIL/USDT,0.03451000,0.04550000,0.03365000,0.04209000,2359808980.70000000,96596856.02860400,336927
1655683200000,2022-06-20 00:00:00,ZIL/USDT,0.03407000,0.03512000,0.03227000,0.03453000,573362111.30000000,19406883.17181300,80004
1655596800000,2022-06-19 00:00:00,ZIL/USDT,0.03195000,0.03471000,0.03056000,0.03407000,643491878.20000000,20919730.42698100,91731
1655510400000,2022-06-18 00:00:00,ZIL/USDT,0.03361000,0.03411000,0.02937000,0.03196000,584334834.20000000,18376850.35986300,84228
1655424000000,2022-06-17 00:00:00,ZIL/USDT,0.03260000,0.03443000,0.03221000,0.03361000,395805832.70000000,13272317.95008500,50554
1655337600000,2022-06-16 00:00:00,ZIL/USDT,0.03736000,0.03789000,0.03189000,0.03260000,558746209.60000000,19118191.96851400,90903
1655251200000,2022-06-15 00:00:00,ZIL/USDT,0.03415000,0.03737000,0.03012000,0.03737000,798230000.20000000,26294130.14043000,130166
1655164800000,2022-06-14 00:00:00,ZIL/USDT,0.03370000,0.03547000,0.03041000,0.03417000,781926390.90000000,26267818.79471300,134313
1655078400000,2022-06-13 00:00:00,ZIL/USDT,0.03718000,0.03774000,0.03091000,0.03370000,972426626.10000000,32383219.73392200,163921
1654992000000,2022-06-12 00:00:00,ZIL/USDT,0.04180000,0.04243000,0.03702000,0.03720000,502564014.80000000,19534236.27596600,90611
1654905600000,2022-06-11 00:00:00,ZIL/USDT,0.04556000,0.04647000,0.04068000,0.04178000,350487180.70000000,15122412.31802400,68224
1654819200000,2022-06-10 00:00:00,ZIL/USDT,0.04894000,0.04907000,0.04489000,0.04559000,295905468.80000000,13827119.40050000,58786
1654732800000,2022-06-09 00:00:00,ZIL/USDT,0.04904000,0.04980000,0.04836000,0.04894000,192715271.50000000,9461713.37520900,37213
1654646400000,2022-06-08 00:00:00,ZIL/USDT,0.04966000,0.05034000,0.04832000,0.04902000,266017752.30000000,13125574.05221800,56442
1654560000000,2022-06-07 00:00:00,ZIL/USDT,0.05170000,0.05187000,0.04785000,0.04966000,401983328.50000000,19873864.85964400,80821
1654473600000,2022-06-06 00:00:00,ZIL/USDT,0.05003000,0.05391000,0.04974000,0.05171000,496729485.40000000,25776371.69973800,93344
1654387200000,2022-06-05 00:00:00,ZIL/USDT,0.05025000,0.05113000,0.04917000,0.05005000,218406506.50000000,10885819.17321100,42247
1654300800000,2022-06-04 00:00:00,ZIL/USDT,0.04996000,0.05063000,0.04848000,0.05024000,197675311.50000000,9834425.73448500,45234
1654214400000,2022-06-03 00:00:00,ZIL/USDT,0.05158000,0.05294000,0.04847000,0.04998000,341157883.10000000,17105313.27641600,69364
1654128000000,2022-06-02 00:00:00,ZIL/USDT,0.04999000,0.05224000,0.04900000,0.05159000,369440971.00000000,18631065.39040700,87483
1654041600000,2022-06-01 00:00:00,ZIL/USDT,0.05486000,0.05626000,0.04807000,0.04998000,734013683.50000000,38596848.19405700,146804
1653955200000,2022-05-31 00:00:00,ZIL/USDT,0.05510000,0.06000000,0.05213000,0.05487000,1126886082.30000000,62560269.03302300,219261
1653868800000,2022-05-30 00:00:00,ZIL/USDT,0.04854000,0.05593000,0.04811000,0.05512000,698329630.10000000,36160916.12849300,126930
1653782400000,2022-05-29 00:00:00,ZIL/USDT,0.04781000,0.04876000,0.04646000,0.04851000,362383574.10000000,17255163.98088800,58004
1653696000000,2022-05-28 00:00:00,ZIL/USDT,0.04708000,0.04838000,0.04605000,0.04779000,374347674.20000000,17774417.20588000,66219
1653609600000,2022-05-27 00:00:00,ZIL/USDT,0.04804000,0.04956000,0.04564000,0.04707000,853853805.10000000,40549273.91685200,160617
1653523200000,2022-05-26 00:00:00,ZIL/USDT,0.05125000,0.05289000,0.04480000,0.04805000,944915456.60000000,46027846.55348900,159274
