unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT,tradecount
1654128000000,2022-06-02 00:00:00,XLM/USDT,0.13710000,0.14410000,0.13490000,0.14300000,70226911.00000000,9774651.92880000,35013
1654041600000,2022-06-01 00:00:00,XLM/USDT,0.15050000,0.15090000,0.13310000,0.13700000,85716160.00000000,12247429.34050000,44574
1653955200000,2022-05-31 00:00:00,XLM/USDT,0.14350000,0.15410000,0.14100000,0.15070000,113586120.00000000,16825732.87760000,62926
1653868800000,2022-05-30 00:00:00,XLM/USDT,0.13100000,0.14390000,0.13080000,0.14350000,87179194.00000000,12079178.71600000,45259
1653782400000,2022-05-29 00:00:00,XLM/USDT,0.12270000,0.13150000,0.12170000,0.13110000,47777359.00000000,6039282.10010000,23276
1653696000000,2022-05-28 00:00:00,XLM/USDT,0.12040000,0.12380000,0.11950000,0.12270000,36148148.00000000,4408370.52680000,17505
1653609600000,2022-05-27 00:00:00,XLM/USDT,0.12430000,0.12500000,0.11850000,0.12040000,70297131.00000000,8548466.09660000,31041
1653523200000,2022-05-26 00:00:00,XLM/USDT,0.13230000,0.13400000,0.12070000,0.12430000,76884418.00000000,9686070.36020000,35826
1653436800000,2022-05-25 00:00:00,XLM/USDT,0.13300000,0.13460000,0.12830000,0.13220000,53400231.00000000,7012308.07190000,22687
1653350400000,2022-05-24 00:00:00,XLM/USDT,0.12880000,0.13340000,0.12420000,0.13310000,56514012.00000000,7288437.11330000,22197
1653264000000,2022-05-23 00:00:00,XLM/USDT,0.13560000,0.13850000,0.12790000,0.12880000,66388745.00000000,8967766.28320000,29852
1653177600000,2022-05-22 00:00:00,XLM/USDT,0.13070000,0.13670000,0.13000000,0.13550000,46540383.00000000,6227925.10340000,22765
1653091200000,2022-05-21 00:00:00,XLM/USDT,0.12640000,0.13140000,0.12350000,0.13080000,47504859.00000000,6089102.02430000,23474
1653004800000,2022-05-20 00:00:00,XLM/USDT,0.13060000,0.13420000,0.12440000,0.12630000,71738933.00000000,9306204.55170000,33362
1652918400000,2022-05-19 00:00:00,XLM/USDT,0.12760000,0.13380000,0.12290000,0.13060000,70387052.00000000,9067727.92870000,34151
1652832000000,2022-05-18 00:00:00,XLM/USDT,0.14170000,0.14330000,0.12730000,0.12770000,60860088.00000000,8205160.28310000,30440
1652745600000,2022-05-17 00:00:00,XLM/USDT,0.13630000,0.14230000,0.13370000,0.14180000,68143545.00000000,9436642.87180000,36047
1652659200000,2022-05-16 00:00:00,XLM/USDT,0.14510000,0.14520000,0.13370000,0.13640000,75923556.00000000,10485552.53370000,43115
1652572800000,2022-05-15 00:00:00,XLM/USDT,0.13820000,0.14540000,0.13400000,0.14530000,59224520.00000000,8199648.51790000,34543
1652486400000,2022-05-14 00:00:00,XLM/USDT,0.13220000,0.14050000,0.12730000,0.13820000,93200492.00000000,12486001.03950000,47598
1652400000000,2022-05-13 00:00:00,XLM/USDT,0.12060000,0.13980000,0.11990000,0.13220000,115837921.00000000,15476877.26840000,68211
1652313600000,2022-05-12 00:00:00,XLM/USDT,0.12630000,0.13100000,0.10420000,0.12060000,297597932.90000000,34675857.91705800,159704
1652227200000,2022-05-11 00:00:00,XLM/USDT,0.14840000,0.15120000,0.11720000,0.12640000,279112679.60000000,37898321.01456400,175875
1652140800000,2022-05-10 00:00:00,XLM/USDT,0.14060000,0.15630000,0.13620000,0.14850000,207677839.00000000,30822754.07810000,128006
1652054400000,2022-05-09 00:00:00,XLM/USDT,0.16170000,0.16510000,0.13890000,0.14060000,152229822.00000000,22908281.73960700,96965
1651968000000,2022-05-08 00:00:00,XLM/USDT,0.16740000,0.16820000,0.15940000,0.16160000,67967589.30000000,11163563.04380000,44025
1651881600000,2022-05-07 00:00:00,XLM/USDT,0.17140000,0.17350000,0.16470000,0.16750000,62439111.00000000,10587885.09270000,38143
1651795200000,2022-05-06 00:00:00,XLM/USDT,0.17100000,0.17290000,0.16350000,0.17150000,62417084.00000000,10537945.91800000,45738
1651708800000,2022-05-05 00:00:00,XLM/USDT,0.18470000,0.18770000,0.16670000,0.17110000,81215022.00000000,14358658.65990000,63432
1651622400000,2022-05-04 00:00:00,XLM/USDT,0.17200000,0.18500000,0.17150000,0.18470000,64353572.00000000,11406767.69560000,44093
1651536000000,2022-05-03 00:00:00,XLM/USDT,0.17350000,0.17730000,0.16950000,0.17200000,43147013.00000000,7504095.77470000,30255
1651449600000,2022-05-02 00:00:00,XLM/USDT,0.17560000,0.17780000,0.17040000,0.17350000,48517434.00000000,8468347.69100000,32628
1651363200000,2022-05-01 00:00:00,XLM/USDT,0.16880000,0.17700000,0.16820000,0.17570000,50312644.00000000,8694266.41420000,36436
1651276800000,2022-04-30 00:00:00,XLM/USDT,0.17780000,0.18150000,0.16670000,0.16890000,57964974.00000000,10185917.59090000,40162
