unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT,tradecount
1651622400000,2022-05-04 00:00:00,EOS/USDT,2.05400000,2.23800000,2.04600000,2.22600000,15455144.20000000,32835839.64090000,70454
1651536000000,2022-05-03 00:00:00,EOS/USDT,2.09700000,2.12400000,2.01900000,2.05300000,10163861.50000000,21161698.97250000,45441
1651449600000,2022-05-02 00:00:00,EOS/USDT,2.10900000,2.15400000,2.03300000,2.09700000,15248866.10000000,31903860.60090000,70152
1651363200000,2022-05-01 00:00:00,EOS/USDT,2.01300000,2.11200000,1.99800000,2.11000000,14055668.30000000,28915415.23380000,69146
1651276800000,2022-04-30 00:00:00,EOS/USDT,2.27400000,2.29000000,1.91300000,2.01200000,18631588.60000000,39693468.57700000,102224
1651190400000,2022-04-29 00:00:00,EOS/USDT,2.31500000,2.37900000,2.22200000,2.27400000,22143241.50000000,51092878.84820000,105975
1651104000000,2022-04-28 00:00:00,EOS/USDT,2.25300000,2.35500000,2.24300000,2.31400000,17309557.40000000,39835139.49030000,83488
1651017600000,2022-04-27 00:00:00,EOS/USDT,2.18500000,2.28300000,2.15900000,2.25300000,12600607.50000000,28161840.00350000,68625
1650931200000,2022-04-26 00:00:00,EOS/USDT,2.37800000,2.45000000,2.14600000,2.18500000,19041873.50000000,44045930.97530000,107077
1650844800000,2022-04-25 00:00:00,EOS/USDT,2.34900000,2.39500000,2.20800000,2.37800000,18508382.00000000,42540703.30850000,106964
1650758400000,2022-04-24 00:00:00,EOS/USDT,2.40400000,2.44800000,2.33600000,2.35000000,10520006.80000000,25128948.11490000,54366
1650672000000,2022-04-23 00:00:00,EOS/USDT,2.45800000,2.48900000,2.38000000,2.40400000,11304929.40000000,27456042.45600000,61575
1650585600000,2022-04-22 00:00:00,EOS/USDT,2.50500000,2.55800000,2.43600000,2.45700000,18577653.20000000,46725499.84650000,93264
1650499200000,2022-04-21 00:00:00,EOS/USDT,2.76400000,2.85800000,2.45200000,2.50500000,37304369.70000000,100484292.94390000,229674
1650412800000,2022-04-20 00:00:00,EOS/USDT,2.64500000,2.88600000,2.52200000,2.76400000,55248346.60000000,149991574.24660000,328675
1650326400000,2022-04-19 00:00:00,EOS/USDT,2.44500000,2.69800000,2.41800000,2.64600000,25729835.50000000,65900097.50380000,135067
1650240000000,2022-04-18 00:00:00,EOS/USDT,2.41800000,2.45900000,2.29600000,2.44500000,24346089.70000000,57760097.23150000,99127
1650153600000,2022-04-17 00:00:00,EOS/USDT,2.60900000,2.68600000,2.38800000,2.41800000,28524743.60000000,73032352.15040000,142923
1650067200000,2022-04-16 00:00:00,EOS/USDT,2.41800000,2.64300000,2.40200000,2.60800000,21040510.30000000,53066314.64520000,119620
