unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,tradecount
1655251200000,2022-06-15 00:00:00,BAT/USDT,0.29140000,0.36450000,0.27270000,0.36210000,116406495.00000000,36419716.68350000,191421
1655164800000,2022-06-14 00:00:00,BAT/USDT,0.28650000,0.29310000,0.25810000,0.29240000,35648792.67000000,9910578.81870400,56733
1655078400000,2022-06-13 00:00:00,BAT/USDT,0.30670000,0.30970000,0.26350000,0.28690000,39269860.82000000,11058760.64477600,73142
1654992000000,2022-06-12 00:00:00,BAT/USDT,0.33470000,0.33770000,0.30630000,0.30720000,19755762.00000000,6322142.67990000,36433
1654905600000,2022-06-11 00:00:00,BAT/USDT,0.36390000,0.37160000,0.32980000,0.33460000,16535040.00000000,5726189.87020000,34456
1654819200000,2022-06-10 00:00:00,BAT/USDT,0.39390000,0.39880000,0.35960000,0.36400000,12781224.00000000,4836831.70070000,27878
1654732800000,2022-06-09 00:00:00,BAT/USDT,0.39520000,0.41420000,0.38750000,0.39370000,8626180.00000000,3441393.12340000,20115
1654646400000,2022-06-08 00:00:00,BAT/USDT,0.39320000,0.40860000,0.38550000,0.39490000,11699100.00000000,4657966.17290000,26366
1654560000000,2022-06-07 00:00:00,BAT/USDT,0.40270000,0.40310000,0.37200000,0.39320000,13595664.00000000,5237435.63470000,33723
1654473600000,2022-06-06 00:00:00,BAT/USDT,0.38430000,0.42460000,0.38320000,0.40280000,14507482.00000000,5868658.82040000,34343
1654387200000,2022-06-05 00:00:00,BAT/USDT,0.38170000,0.38920000,0.37200000,0.38450000,8156629.00000000,3110410.59160000,18781
1654300800000,2022-06-04 00:00:00,BAT/USDT,0.37930000,0.38410000,0.36860000,0.38060000,10570632.00000000,3982899.81560000,22631
1654214400000,2022-06-03 00:00:00,BAT/USDT,0.40000000,0.40300000,0.37040000,0.37910000,13155260.00000000,5045576.80270000,29552
1654128000000,2022-06-02 00:00:00,BAT/USDT,0.38320000,0.40580000,0.37810000,0.40020000,19827953.00000000,7736275.09810000,46185
1654041600000,2022-06-01 00:00:00,BAT/USDT,0.40290000,0.42340000,0.37270000,0.38310000,30033011.00000000,12046124.98280000,61985
1653955200000,2022-05-31 00:00:00,BAT/USDT,0.40300000,0.41290000,0.38890000,0.40260000,19677268.00000000,7923162.53470000,47648
1653868800000,2022-05-30 00:00:00,BAT/USDT,0.37260000,0.40450000,0.36710000,0.40280000,18266513.00000000,7092242.74130000,45363
1653782400000,2022-05-29 00:00:00,BAT/USDT,0.36820000,0.37710000,0.35600000,0.37230000,15033718.00000000,5520080.26360000,34797
1653696000000,2022-05-28 00:00:00,BAT/USDT,0.36000000,0.37350000,0.35570000,0.36830000,12991272.00000000,4747623.68910000,31224
1653609600000,2022-05-27 00:00:00,BAT/USDT,0.37190000,0.38200000,0.34930000,0.35970000,32326914.00000000,11737623.66470000,70207
1653523200000,2022-05-26 00:00:00,BAT/USDT,0.39020000,0.40500000,0.35830000,0.37210000,27066977.00000000,10236381.63630000,65509
1653436800000,2022-05-25 00:00:00,BAT/USDT,0.39520000,0.40080000,0.37790000,0.39030000,18365373.00000000,7109791.80060000,41670
1653350400000,2022-05-24 00:00:00,BAT/USDT,0.38530000,0.39890000,0.37050000,0.39500000,21556353.00000000,8347381.56270000,51828
1653264000000,2022-05-23 00:00:00,BAT/USDT,0.40690000,0.42500000,0.37930000,0.38510000,19914005.00000000,8093526.79680000,49146
1653177600000,2022-05-22 00:00:00,BAT/USDT,0.38880000,0.41070000,0.38300000,0.40720000,16370031.00000000,6519602.36990000,35172
1653091200000,2022-05-21 00:00:00,BAT/USDT,0.38160000,0.39450000,0.37010000,0.38880000,17842013.00000000,6840130.67930000,38576
1653004800000,2022-05-20 00:00:00,BAT/USDT,0.39110000,0.40930000,0.36980000,0.38180000,26222230.00000000,10217039.39300000,52966
1652918400000,2022-05-19 00:00:00,BAT/USDT,0.37310000,0.39850000,0.35850000,0.39100000,19306513.00000000,7344791.37980000,40222
1652832000000,2022-05-18 00:00:00,BAT/USDT,0.41450000,0.42090000,0.36750000,0.37290000,19957274.00000000,7761357.54590000,46263
1652745600000,2022-05-17 00:00:00,BAT/USDT,0.39350000,0.42180000,0.38710000,0.41460000,18480460.00000000,7530705.43020000,44100
1652659200000,2022-05-16 00:00:00,BAT/USDT,0.43490000,0.43510000,0.38160000,0.39340000,18722728.00000000,7473831.08800000,49673
1652572800000,2022-05-15 00:00:00,BAT/USDT,0.41840000,0.43540000,0.39490000,0.43510000,16414617.00000000,6756531.88610000,45681
