pair,cmo_period,oversold_value,overbought_value,entry_size,poloniex_period,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
BTC_USDT,7,-50,50,1.0,86400,10,9.984380050322704,-0.015619949677295963,-2.8489045327336227,-0.046123085212072465,-0.062141391452057326,-0.05303329859605637,0.07161874231064846,0.00382256,10,12.185156091676259,2.1851560916762587,-22.76150760188308,2,1,0,0,3
BTC_USDT,8,-50,50,1.0,86400,10,9.92623214,-0.07376786000000024,-2.510142690504067,-0.4940465629012566,-0.6132009585623317,-0.056001455929456205,0.051324572422414165,0.00124886,10,12.185156091676259,2.1851560916762587,-22.76150760188308,1,0,0,0,1
BTC_USDT,9,-50,50,1.0,86400,10,9.785241469999999,-0.214758530000001,-7.374522087388723,-0.45640813112468265,-0.5711108800434813,-0.16245045300219674,0.1545054875474616,0.00374659,10,12.185156091676259,2.1851560916762587,-22.76150760188308,3,0,0,0,3
BTC_USDT,10,-50,50,1.0,86400,10,9.92623214,-0.07376786000000024,-2.510142690504067,-0.4940465629012566,-0.6132009585623317,-0.056001455929456205,0.051324572422414165,0.00124886,10,12.185156091676259,2.1851560916762587,-22.76150760188308,1,0,0,0,1
BTC_USDT,7,-50,50,1.0,14400,10,10.908596817597799,0.9085968175977968,-3.6053205910695616,0.7734403006549797,1.521142947192066,0.028091903790467096,0.11307587869532389,0.03364492,10,12.296366442992696,2.2963664429926958,-22.761507601883118,13,13,0,0,26
BTC_USDT,8,-50,50,1.0,14400,10,10.360983687546964,0.3609836875469661,-1.647541181282778,0.853744414120686,1.5727036783151012,0.012488787498403415,0.0344463622615228,0.01045396,10,12.296366442992696,2.2963664429926958,-22.761507601883118,4,4,0,0,8
BTC_USDT,9,-50,50,1.0,14400,10,11.598022801033057,1.598022801033057,-5.799487233663749,0.8417103549240066,1.5773747573390753,0.04652056006943462,0.21366403657680533,0.06701673999999999,10,12.296366442992696,2.2963664429926958,-22.761507601883118,26,26,0,0,52
BTC_USDT,10,-50,50,1.0,14400,10,11.239813876201463,1.2398138762014632,-2.5392536677359634,1.2099097755385255,2.2432020724214765,0.03842269726138861,0.1391332565569643,0.024057009999999997,10,12.296366442992696,2.2963664429926958,-22.761507601883118,9,9,0,0,18
BTC_USDT,7,-50,50,1.0,7200,10,10.963399714108746,0.9633997141087463,-10.966886658140565,0.3585350198785541,0.5397688173951926,0.004490169541912414,0.3112557023135627,0.08514007000000001,10,12.296366442992696,2.2963664429926958,-22.7615076018831,37,30,0,0,67
BTC_USDT,8,-50,50,1.0,7200,10,10.941436246414662,0.9414362464146624,-4.2392653040989785,0.6637808497220795,1.0260201471414807,0.012186558471207523,0.15176888766947866,0.03501843,10,12.296366442992696,2.2963664429926958,-22.7615076018831,15,12,0,0,27
BTC_USDT,9,-50,50,1.0,7200,10,10.52828412214139,0.5282841221413896,-11.59707401690496,0.19064537152664757,0.28481218134002684,-0.004890332568358721,0.3262922737903651,0.11595612999999999,10,12.296366442992696,2.2963664429926958,-22.7615076018831,51,41,0,0,92
BTC_USDT,10,-50,50,1.0,7200,10,11.130646044040517,1.1306460440405175,-9.25676485677885,0.4702286770037464,0.7089854695291457,0.013627499470150907,0.21083881424831352,0.0639798,10,12.296366442992696,2.2963664429926958,-22.7615076018831,28,22,0,0,50
BTC_USDT,7,-50,50,1.0,1800,10,8.313662260090094,-1.6863377399099058,-21.636060027745494,-0.242856111677445,-0.32592241173412506,-0.01605973863934654,0.4029852125533315,0.3403190899999998,10,12.296366442992696,2.2963664429926958,-23.155748872248243,140,134,0,0,274
BTC_USDT,8,-50,50,1.0,1800,10,9.154577371121768,-0.8454226288782323,-13.87877670747022,-0.14613699071576233,-0.1986827937355137,-0.009373213351212823,0.31096911050523657,0.16171027999999996,10,12.296366442992696,2.2963664429926958,-23.155748872248243,67,63,0,0,130
BTC_USDT,9,-50,50,1.0,1800,10,8.68042260072938,-1.3195773992706208,-18.162881476207087,-0.17005647043098163,-0.23309934974870172,-0.013610522869682664,0.413488273150521,0.4333118799999998,10,12.296366442992696,2.2963664429926958,-23.155748872248243,177,171,0,0,348
BTC_USDT,10,-50,50,1.0,1800,10,9.414327280478101,-0.5856727195218987,-16.389627302187765,-0.06915759673266261,-0.09436065865106759,-0.008381689364621627,0.3708564209246321,0.21699499000000003,10,12.301159850769393,2.301159850769391,-23.155748872248243,90,84,0,0,174
BTC_USDT,7,-50,50,1.0,900,10,8.631542762074984,-1.368457237925016,-19.790644135611114,-0.12518988067151698,-0.1757609473918224,-0.00703465090932598,0.4196212190559532,0.6421096599999997,10,12.301159850769393,2.301159850769391,-23.701348475305654,259,256,0,0,515
BTC_USDT,8,-50,50,1.0,900,10,9.754776921515814,-0.24522307848418556,-12.667951210803697,-0.018454296817845335,-0.026436655309669252,-0.0027053355172181573,0.2961887533967466,0.30975602,10,12.301159850769393,2.301159850769391,-23.701348475305654,124,124,0,0,248
