pair,cmo_period,oversold_value,overbought_value,entry_size,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
ATOM_BTC,8,-50,50,1.0,10,10.148471165373213,0.1484711653732127,-11.048606573938995,0.27900129768949455,0.36048429021073586,0.021096132491028173,0.1985359662344432,0.0,10,8.776781569882491,-1.2232184301175089,-38.78795840996959,2,0,0,0,2
EOS_BTC,8,-50,50,1.0,10,13.661588018488466,3.661588018488466,-28.53430653165516,1.468702981778826,2.782311113169286,-0.10535407652105064,0.4338555421346102,0.0,10,18.454013822434877,8.454013822434877,-51.41524227693275,6,2,0,0,8
XEM_BTC,8,-50,50,1.0,10,9.342592562592628,-0.6574074374073717,-15.414175960667814,-0.5390403263589447,-0.6991447222459516,-0.05649646608754141,0.12623462860945286,0.0,10,5.417558886509635,-4.582441113490365,-70.48458149779736,3,0,0,0,3
EOS_USDT,8,-50,50,1.0,10,10.251145242568974,0.25114524256897397,-27.82606890419571,0.36005169064677267,0.5650080345709978,-0.2787023443933047,0.2064807520744591,0.0,10,11.857840129419536,1.857840129419536,-70.18677737931034,2,0,0,0,2
BCH_USDT,8,-50,50,1.0,10,9.623732697546982,-0.37626730245301765,-20.349629128894886,-0.15154554614281293,-0.22687625956063678,-0.22262671869924566,0.15926468276276765,0.0,10,9.28968347405298,-0.7103165259470199,-63.81176023890999,2,0,0,0,2
ETC_BTC,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,60.90264020458884,50.902640204588835,-41.92197802197801,0,0,0,0,0
BCH_BTC,8,-50,50,1.0,10,11.85909628655852,1.8590962865585183,-16.97500931447993,1.3481645625417351,2.316608124970596,0.01609358957032941,0.2941740535814423,0.0,10,14.689438943125241,4.689438943125241,-41.35836376328578,2,0,0,0,2
XMR_USDT,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,9.180939995768641,-0.8190600042313587,-58.17700542077,0,0,0,0,0
ATOM_USDC,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,5.4091684559801525,-4.5908315440198475,-59.6109290046803,0,0,0,0,0
DOT_USDT,8,-50,50,1.0,10,9.578009883748797,-0.4219901162512034,-15.91331777372278,-0.31187201203820036,-0.4059569821766982,-0.01311539987102964,0.16878170481898797,0.0,10,5.950260460444686,-4.049739539555314,-62.12637910416666,3,1,0,0,4
ATOM_USDT,8,-50,50,1.0,10,9.6667127614,-0.33328723860000053,-8.77824463589407,-0.5484434357621747,-0.6918618341888655,-0.04027323911657011,0.08794720490155718,0.0,10,5.596875954596369,-4.403124045403631,-60.18317428321651,1,0,0,0,1
BNB_USDT,8,-50,50,1.0,10,9.668783893116563,-0.3312161068834367,-7.145807583820002,-0.5441228746437832,-0.8388310835001347,-0.1079768341052853,0.03485389488002405,0.0,10,9.314343276770538,-0.6856567232294619,-61.33754060801585,3,0,0,0,3
USDT_USDC,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,10.006078274520783,0.006078274520785243,-0.27734763793398154,0,0,0,0,0
USDJ_USDT,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,9.138883754878364,-0.8611162451216359,-15.741870958015589,0,0,0,0,0
DOGE_USDC,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,54.98008454013509,44.98008454013509,-54.918611940298526,0,0,0,0,0
SC_USDT,8,-50,50,1.0,10,9.486264740656818,-0.5137352593431821,-7.791972474250293,-1.4616927049271469,-1.7435008839726822,-0.19465310323114723,0.032345481757615785,0.0,10,12.491754705197444,2.491754705197444,-71.85520345021565,1,0,0,0,1
EOS_USDC,8,-50,50,1.0,10,10.246931356957152,0.24693135695715185,-27.953138229386298,0.3553936602311492,0.5607678704953446,-0.2620644695272327,0.20536195514108133,0.0,10,11.792754526712832,1.792754526712832,-70.48016284530388,2,0,0,0,2
LSK_BTC,8,-50,50,1.0,10,11.891563558653608,1.8915635586536084,-17.676423758714545,1.3348554523493208,2.104274716745011,0.10191397210185095,0.2653833476721597,0.0,10,13.4999277769753,3.4999277769752997,-43.85026737967914,8,5,0,0,13
BTT_USDT,8,-50,50,1.0,10,9.424321924277448,-0.5756780757225517,-6.8419789542689085,-1.8489238640425885,-2.3128558236952133,-0.2411622552292743,0.023298024951729553,0.0,10,25.542136565112497,15.542136565112497,-68.5005518288626,1,0,0,0,1
DASH_BTC,8,-50,50,1.0,10,10.427912763690466,0.4279127636904647,-8.371069622950257,0.8361673733328403,1.2756591194316886,0.09007268234728537,0.12432016557432249,0.0,10,8.973174137666161,-1.0268258623338387,-44.61732198904353,2,1,0,0,3
TUSD_USDT,8,-50,50,1.0,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,9.987376073057783,-0.012623926942216812,-2.4210704402952823,0,0,0,0,0
BCH_USDC,8,-50,50,1.0,10,9.292636277585673,-0.7073637224143265,-26.333353494899985,-0.2901271057719657,-0.46023977769914515,-0.33053511127534707,0.19410021259408253,0.0,10,9.41895887269572,-0.5810411273042799,-63.878284296471165,5,0,0,0,5
AMP_USDT,8,-50,50,1.0,10,10.756674139098,0.7566741390979992,-25.250328564386454,0.637853973897721,1.0407056706026911,-0.1446974398376666,0.24726437610585528,0.0,10,12.036056835162213,2.0360568351622135,-59.85505327274674,2,0,0,0,2
XRP_USDC,8,-50,50,1.0,10,9.098746505001845,-0.901253494998155,-10.209563188640331,-1.606619728917637,-1.7982608767710866,-0.33436587550912505,0.04255964674714104,0.0,10,15.69620585106383,5.69620585106383,-57.295937687754126,2,0,0,0,2
JST_USDT,8,-50,50,1.0,10,7.602952561830607,-2.397047438169393,-32.500702949899235,-1.4147225011808005,-1.7294506073945637,-0.7840244928908573,0.15126201226201927,0.0,10,9.522322571636481,-0.4776774283635188,-67.88357631049766,5,0,0,0,5
DASH_USDT,8,-50,50,1.0,10,9.708493681138432,-0.2915063188615683,-10.3072026100653,-0.5508462058810616,-0.6868909543865647,-0.0457166318925856,0.06506869117355019,0.0,10,5.7445694648248224,-4.2554305351751776,-65.62495410434073,1,0,0,0,1
ETC_ETH,8,-50,50,1.0,10,10.510740353925367,0.5107403539253674,-3.696786130531593,1.556076741056517,2.750298031480944,0.06676630832109169,0.016284443411728383,0.0,10,31.544166243009656,21.544166243009656,-40.09094566938282,2,1,0,0,3
ZEC_USDT,8,-50,50,1.0,10,10.221438470959999,0.22143847095999902,-2.6285524176466466,1.0490983487466559,1.607453911892376,0.04857912236670937,0.0116097799170299,0.0,10,8.567532437110051,-1.4324675628899488,-63.60907210406048,1,1,0,0,2
KCS_USDT,8,-50,50,1.0,10,9.719433646999999,-0.2805663530000011,-3.682256792812274,-2.786448468297061,-2.9405366470804504,-0.17732539648799883,0.01267260068287017,0.0,10,4.816688336960237,-5.183311663039763,-63.727304241628424,3,0,0,0,3
QTUM_BTC,8,-50,50,1.0,10,11.652893258450838,1.6528932584508382,-3.42640390814907,2.737736858482307,5.828824631552563,0.2678401698807514,0.03853647251080443,0.0,10,24.657471264367818,14.657471264367818,-49.23689307988678,2,2,0,0,4
LSK_USDT,8,-50,50,1.0,10,10.263280109088104,0.26328010908810384,-1.1014715830342243,1.3420160513254342,2.756273848333124,0.06035379099439648,0.006334021491433543,0.0,10,8.646830128501573,-1.3531698714984266,-65.62582185158561,1,1,0,0,2
SC_BTC,8,-50,50,1.0,10,14.090909050909097,4.090909050909097,-22.448979642232402,1.8509304768293096,3.4556788705980335,0.020173482370921328,0.3731509138483088,0.0,10,19.583333333333336,9.583333333333336,-50.000000000000014,4,2,0,0,6
BTC_USDT,9,-50,50,1.0,10,8.147795073092892,-1.852204926907108,-26.177123751153957,-1.5551950878380527,-1.9397295472886797,-0.1815940149200318,0.33300203782758664,0.0,10,6.402114354486473,-3.597885645513527,-45.57995454092219,9,2,0,0,11
DOGE_BTC,9,-50,50,1.0,10,15.347525890472388,5.347525890472388,-24.27812230258834,1.6144400866539141,3.7421337771813543,-0.7120951963662431,0.27527417215920746,0.0,10,85.95959595959596,75.95959595959596,-34.359400998336106,4,2,0,0,6
ETH_USDT,9,-50,50,1.0,10,10.024207205848217,0.024207205848217228,-2.5011252146926393,0.19078807355427077,0.2664105254877714,-0.00854385512458334,0.013167235577306735,0.0,10,12.457619575106788,2.457619575106788,-49.80954854862881,1,0,0,0,1
DOGE_USDT,9,-50,50,1.0,10,19.634791960992505,9.634791960992505,-25.301266349077974,1.983730407701117,5.521300776658537,-0.18245471434103466,0.3446200763041603,0.0,10,55.36503459599772,45.36503459599772,-56.16342832568615,6,3,0,0,9
ETH_BTC,9,-50,50,1.0,10,16.10781035084772,6.107810350847721,-5.32943497689734,3.835976147219625,9.66410495126155,0.6120684564785579,0.33806480781225823,0.0,10,19.466302857142853,9.466302857142853,-25.8897760701647,8,7,0,0,15
XRP_USDT,9,-50,50,1.0,10,7.037036250792109,-2.9629637492078906,-42.00377037539484,-0.8697432125635646,-1.0842843180505166,-1.2647454374026457,0.2624665666524208,0.0,10,15.561499377514318,5.561499377514316,-56.9043448307352,9,0,0,0,9
TRX_USDT,9,-50,50,1.0,10,7.607619905610773,-2.3923800943892273,-38.71141512248556,-0.9561197869331376,-1.231978610716325,-0.8999922067054245,0.2394015571974881,0.0,10,11.876528006664373,1.8765280066643726,-61.78469257220579,7,0,0,0,7
BTC_USDC,9,-50,50,1.0,10,8.017280251559821,-1.9827197484401786,-26.615278954909776,-1.6525259639562995,-2.065673551372696,-0.2222873795532195,0.3331345784564067,0.0,10,6.410528780980096,-3.589471219019904,-45.55248394551796,8,1,0,0,9
XRP_BTC,9,-50,50,1.0,10,25.677430518339023,15.677430518339023,-34.376746506412225,2.6503843184371743,5.598820318983137,0.5001897151551978,0.7998015523136272,0.0,10,24.345238095238095,14.345238095238095,-38.50094365057967,10,1,0,0,11
LTC_USDT,9,-50,50,1.0,10,7.777056746374241,-2.2229432536257594,-49.48459211779832,-0.48415272225874834,-0.6166818279001366,-0.3870144660275949,0.4872350480527818,0.0,10,7.416056125506713,-2.583943874493287,-63.30884063256029,9,0,0,0,9
SRM_USDT,9,-50,50,1.0,10,11.366853210566985,1.366853210566985,-6.3255154209478235,1.6890980460153968,3.2403866307251104,0.2785851285083165,0.05842827840452622,0.0,10,8.426668438346258,-1.5733315616537418,-67.26533784647667,5,4,0,0,9
