pair,cmo_period,oversold_value,overbought_value,entry_size,poloniex_period,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
XRP_BTC,7,-50,50,1.0,86400,10,8.509229698198425,-1.4907703018015752,-79.59029273801056,0.32424179097088945,0.5626507562545449,-0.004069485857705794,0.8598030605901866,0.030835380000000003,10,7.424547283702213,-2.5754527162977867,-82.19251336898394,17,9,0,0,26
XRP_BTC,8,-50,50,1.0,86400,10,9.98869572551555,-0.01130427448445026,-77.54627347410452,0.37764805141024194,0.660303560658618,0.041373758055025904,0.8231854764734923,0.02098218,10,7.424547283702213,-2.5754527162977867,-82.19251336898394,13,4,0,0,17
XRP_BTC,9,-50,50,1.0,86400,10,8.104425594619642,-1.8955744053803585,-80.53245613327294,0.31776888441206097,0.5471346708972776,-0.010004023471574265,0.8837626089321718,0.045679609999999995,10,7.424547283702213,-2.5754527162977867,-82.19251336898394,23,15,0,0,38
XRP_BTC,10,-50,50,1.0,86400,10,9.329329851985188,-0.6706701480148123,-77.46943361923222,0.3539902685265892,0.6168777056251341,0.02061075718296725,0.8411943165528833,0.01841681,10,7.424547283702213,-2.5754527162977867,-82.19251336898394,12,3,0,0,15
