pair,cmo_period,oversold_value,overbought_value,entry_size,poloniex_period,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
SOL-USDT,9,-60,40,150.0,86400,1000,1042.01558066176,42.01558066175994,-4.350303596159762,0.8737832510849257,1.4558790306527987,-0.025380543568044856,0.030284988291051744,1.7111711,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,9,-60,40,200.0,86400,1000,1056.02077379414,56.02077379414004,-5.772276246090187,0.8795073678947151,1.469996738402024,-0.03338821325807601,0.040431478145558954,2.28156144,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,9,-60,40,250.0,86400,1000,1070.02596735806,70.02596735805992,-7.180524057887064,0.8852204790142167,1.48419675337891,-0.041168050330669774,0.05060760288204434,2.8519518,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,9,-60,40,300.0,86400,1000,1084.03116091198,84.0311609119799,-8.575244742123388,0.890925676631512,1.4984895258791617,-0.048718521855707776,0.060815709453298346,3.4223421600000004,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,9,-60,40,350.0,86400,1000,1098.0363544759,98.0363544759,-9.95663227219107,0.8966257976248495,1.5128852265654542,-0.05603772887019267,0.07105816322886335,3.99273252,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,9,-60,40,400.0,86400,1000,1112.04154759828,112.04154759827998,-11.32487688884262,0.9023234442705093,1.527393793904926,-0.06312341898103205,0.08133735311386812,4.56312287,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,9,-60,40,450.0,86400,1000,1126.0467411621999,126.04674116219985,-12.680165355028027,0.9080210049491962,1.5420249837290207,-0.0699729971014795,0.09165569852229481,5.13351323,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,9,-60,40,500.0,86400,1000,1140.05193472612,140.05193472611995,-14.022680788623514,0.9137206698568712,1.5567884092110174,-0.07658353139001174,0.10201565314645726,5.70390359,1000,4910.51100107203,3910.51100107203,-40.252182347235674,1,1,0,0,2
SOL-USDT,10,-60,40,50.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,10,-60,40,100.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,10,-60,40,150.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,10,-60,40,200.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,10,-60,40,250.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,10,-60,40,300.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,10,-60,40,350.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,10,-60,40,400.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,10,-60,40,450.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,10,-60,40,500.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,4910.51100107203,3910.51100107203,-40.252182347235674,0,0,0,0,0
SOL-USDT,11,-60,40,50.0,86400,1000,1023.04901129879,23.049011298789992,-2.6345889141653864,0.5623127232369405,0.9324751331507438,-0.04233719267171731,0.026657971588880884,2.6158867600000004,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,11,-60,40,100.0,86400,1000,1046.0980227227699,46.09802272276988,-5.188696131589856,0.5871943375956767,0.9812609217295771,-0.08141114510909142,0.05327462105334149,5.23177344,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,11,-60,40,150.0,86400,1000,1069.1470331837002,69.14703318370016,-7.66595401693123,0.6116104742037793,1.029911984685318,-0.1173739314587978,0.0799077969547619,7.84766011,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,11,-60,40,200.0,86400,1000,1092.19604503922,92.19604503922005,-10.06977966164366,0.635650671035571,1.0786018138555646,-0.150337490651251,0.10661312812236773,10.4635468,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,11,-60,40,250.0,86400,1000,1115.2450562193,115.24505621930007,-12.403390386788756,0.6593960000857261,1.1274996791682526,-0.18037809321026338,0.1334448854832568,13.07943349,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,11,-60,40,300.0,86400,1000,1138.2940669341301,138.29406693413011,-14.669818340330346,0.6829205110523476,1.176773075416131,-0.2075395510257362,0.1604567747689677,15.69532015,1000,4910.51100107203,3910.51100107203,-40.252182347235674,5,5,0,0,10
SOL-USDT,11,-60,40,350.0,86400,1000,1045.0973496868698,45.09734968686985,-16.609679352126008,0.356377839329052,0.5593641616406435,-0.3013377345016117,0.14572469681579744,14.22696995,1000,4910.51100107203,3910.51100107203,-40.252182347235674,4,4,0,0,8
SOL-USDT,11,-60,40,400.0,86400,1000,1051.5398283034901,51.53982830349014,-18.982490676111,0.37953671414703516,0.600179562318066,-0.3374209223983737,0.16770563075738404,16.25939418,1000,4910.51100107203,3910.51100107203,-40.252182347235674,4,4,0,0,8
SOL-USDT,11,-60,40,450.0,86400,1000,1057.9823063933804,57.98230639338044,-21.355301999095985,0.40293540799849553,0.6421569328533471,-0.37165063051380426,0.19007724168423673,18.291818470000003,1000,4910.51100107203,3910.51100107203,-40.252182347235674,4,4,0,0,8
SOL-USDT,11,-60,40,500.0,86400,1000,924.8360938845799,-75.1639061154201,-17.64789943777347,-0.2018793466682935,-0.26315091703204785,-0.4298303858268158,0.12559386586356236,14.622667,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,50.0,86400,1000,1021.7733475192799,21.77334751927981,-1.897374453412592,0.7566984156554699,1.2486444665568395,-0.013147164035732697,0.015655573835540077,1.60945137,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,100.0,86400,1000,1043.5466949109198,43.54669491091977,-3.6537578793505685,0.7750377963802331,1.2868147927692823,-0.024692170560404715,0.031140240346659638,3.2189026700000003,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,150.0,86400,1000,1065.32004166454,65.32004166453999,-5.344568241074422,0.7927276505003765,1.3240655668906625,-0.034743163096633986,0.04647303247256357,4.828353959999999,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,200.0,86400,1000,1087.09338948772,87.09338948772006,-7.022300540100248,0.8098323535129369,1.3604964348373831,-0.043392055918691205,0.06167122462572333,6.437805280000001,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,250.0,86400,1000,1108.86673662546,108.86673662545991,-8.651862555739942,0.826408940671773,1.396197906826891,-0.05071712046946351,0.07675058822004964,8.0472566,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,300.0,86400,1000,1130.6400836329801,130.64008363298012,-10.235299492951919,0.8425081593349726,1.4312525603208197,-0.05678506648461629,0.0917256080398206,9.656707879999999,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,350.0,86400,1000,1152.41343118226,152.41343118225996,-11.77454245976633,0.8581753007979558,1.4657359749970613,-0.06165273860107371,0.10660966290103258,11.266159219999999,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,400.0,86400,1000,1174.18677818978,174.18677818977994,-13.271416094448254,0.8734509273252198,1.4997175917882022,-0.06536849762344026,0.12141517636167858,12.8756105,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,450.0,86400,1000,1195.9601253175201,195.96012531752012,-14.727646103496195,0.8883714798526889,1.5332614445838295,-0.06797335964823277,0.13615375040097147,14.485061819999999,1000,4910.51100107203,3910.51100107203,-40.252182347235674,3,3,0,0,6
SOL-USDT,12,-60,40,500.0,86400,1000,1083.22062651546,83.22062651546003,-9.799933633348004,0.5860173077107717,0.8879555135346888,-0.11429668747048446,0.090495477546219,10.41844415,1000,4910.51100107203,3910.51100107203,-40.252182347235674,2,2,0,0,4
SOL-USDT,7,-60,40,50.0,21600,1000,938.3024458197998,-61.6975541802002,-12.55260439921502,-0.3676046954576357,-0.5260620182778797,-0.10337539093102621,0.16853613879303816,10.055353819999999,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,24,17,0,0,41
SOL-USDT,7,-60,40,100.0,21600,1000,901.47492415156,-98.52507584844,-21.70899801084092,-0.2929565690987184,-0.42503957418841665,-0.16064022445465514,0.28398950840913567,19.115682300000003,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,22,17,0,0,39
SOL-USDT,7,-60,40,150.0,21600,1000,845.9373476193799,-154.06265238062008,-26.710049983995997,-0.4872718477821549,-0.7024548064869724,-0.21435707333880472,0.2948269676103543,20.302413129999998,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,16,12,0,0,28
SOL-USDT,7,-60,40,200.0,21600,1000,826.8312597487,-173.16874025130005,-25.794832996588084,-0.6519890233036205,-0.9275599993184993,-0.2300478388377868,0.2701235555616931,19.23173495,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,12,8,0,0,20
SOL-USDT,7,-60,40,250.0,21600,1000,822.18567853701,-177.81432146299005,-24.745785260185954,-0.7149469849102632,-1.0055280893914296,-0.23268058713597087,0.2583341062958795,17.998152519999998,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,9,6,0,0,15
SOL-USDT,7,-60,40,300.0,21600,1000,795.33886130361,-204.66113869639003,-29.69494229289297,-0.6580997328316575,-0.9339419935958544,-0.27008912324002776,0.31537554645835647,20.10524571,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,8,6,0,0,14
SOL-USDT,7,-60,40,350.0,21600,1000,821.40145606735,-178.59854393265005,-23.905142133928976,-0.7598220559211972,-1.0562005657918396,-0.23070548096762497,0.2452232306341568,16.75832068,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,6,4,0,0,10
SOL-USDT,7,-60,40,400.0,21600,1000,795.8873783042802,-204.11262169571978,-27.320162447769064,-0.73231416827051,-1.0213344034774474,-0.26480268631678217,0.28812605548789455,19.15236651,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,6,4,0,0,10
SOL-USDT,7,-60,40,450.0,21600,1000,791.58427429453,-208.41572570546998,-30.735182699356017,-0.6680266778367945,-0.9482357251623362,-0.27308577468943684,0.31369107030678905,19.30760633,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,5,4,0,0,9
SOL-USDT,7,-60,40,500.0,21600,1000,867.2733676848901,-132.7266323151099,-17.631742901863973,-0.8311175708087835,-1.1438145733360836,-0.16761800450895603,0.1657796300087475,11.9493614,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,3,2,0,0,5
SOL-USDT,8,-60,40,50.0,21600,1000,991.8418430201698,-8.15815697983021,-6.496345374025596,-0.06854391601912121,-0.09932485945304095,-0.0334737765632447,0.08457664120302695,7.475834950000001,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,16,14,0,0,30
SOL-USDT,8,-60,40,100.0,21600,1000,983.6836869146199,-16.316313085380102,-12.812483321995128,-0.03190507826284516,-0.04651444447989529,-0.06320255855852702,0.17242974664494418,14.951669560000003,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,16,14,0,0,30
SOL-USDT,8,-60,40,150.0,21600,1000,927.9174869005199,-72.08251309948014,-20.24817855111803,-0.19183709750085196,-0.2794505421792054,-0.12862679931700316,0.2579299280149466,19.188192769999997,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,14,12,0,0,26
SOL-USDT,8,-60,40,200.0,21600,1000,881.13645495454,-118.86354504546,-21.94171402317997,-0.4427012620827933,-0.6341487493612304,-0.17064482130145645,0.24447954539172137,17.46971755,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,10,8,0,0,18
SOL-USDT,8,-60,40,250.0,21600,1000,867.32530525818,-132.67469474182008,-21.82752160056198,-0.5377560905642333,-0.7660450616147032,-0.1835876967457271,0.2392024110180556,16.916945130000002,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,8,6,0,0,14
SOL-USDT,8,-60,40,300.0,21600,1000,840.79036635629,-159.20963364371005,-26.19302590662106,-0.5046328357605848,-0.7220639823282514,-0.21962101237416773,0.2962184950329492,20.300334149999998,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,8,6,0,0,14
SOL-USDT,8,-60,40,350.0,21600,1000,844.0328250207899,-155.96717497921009,-22.296245887411132,-0.6808528213545286,-0.9526169712161978,-0.20566731172240418,0.2340715455097962,16.83318326,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,6,4,0,0,10
SOL-USDT,8,-60,40,400.0,21600,1000,821.7518004650801,-178.24819953491988,-25.48142380225893,-0.6561715712696579,-0.9208917332647261,-0.2355291466761824,0.27412126096031936,19.237923690000002,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,6,4,0,0,10
SOL-USDT,8,-60,40,450.0,21600,1000,812.5448455968599,-187.4551544031401,-28.666601853963996,-0.602070819475043,-0.8513962651094015,-0.24993571178227653,0.30562119879906535,19.40385819,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,5,4,0,0,9
SOL-USDT,8,-60,40,500.0,21600,1000,883.0132116009199,-116.98678839908007,-16.059439294259974,-0.7158309120719699,-0.9678188598951978,-0.15289047801017439,0.16717916298728405,12.018369840000002,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,3,2,0,0,5
SOL-USDT,9,-60,40,50.0,21600,1000,1009.5851645826599,9.5851645826599,-2.7868421361549824,0.2706199757208004,0.4049145034832714,-0.003955993087075879,0.0366288518890667,4.304322920000001,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,9,8,0,0,17
SOL-USDT,9,-60,40,100.0,21600,1000,1019.1703292113602,19.170329211360354,-5.442603287739328,0.28586540503050273,0.4293226059254151,-0.006871725498949847,0.07285138194584864,8.608645639999999,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,9,8,0,0,17
SOL-USDT,9,-60,40,150.0,21600,1000,1028.75549355159,28.755493551590007,-7.976319388001814,0.30095881111472095,0.4536926786465768,-0.008770898160023733,0.10868578980532696,12.91296839,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,9,8,0,0,17
SOL-USDT,9,-60,40,200.0,21600,1000,966.0870142225199,-33.91298577748012,-9.756238521527358,-0.22998979579660636,-0.33446618302033126,-0.06367203644022403,0.11703044961097178,12.85410748,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,7,6,0,0,13
SOL-USDT,9,-60,40,250.0,21600,1000,941.86035262184,-58.13964737816002,-12.694901565498059,-0.3533808820399699,-0.5060089248541395,-0.09162368321284338,0.1423579402116082,13.48843402,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,6,5,0,0,11
SOL-USDT,9,-60,40,300.0,21600,1000,930.2324232909298,-69.76757670907023,-15.228673211662045,-0.33686782194813114,-0.48357680604086606,-0.10912218580730833,0.17342392414130958,16.18612082,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,6,5,0,0,11
SOL-USDT,9,-60,40,350.0,21600,1000,911.28721613319,-88.71278386681001,-18.295205473370046,-0.3890926649913179,-0.5572417746772844,-0.1316018244186603,0.19657559131058894,15.34694985,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,5,4,0,0,9
SOL-USDT,9,-60,40,400.0,21600,1000,898.6139615609002,-101.38603843909993,-20.908806199242008,-0.3706160750702014,-0.5322822825234403,-0.14949462742324285,0.22862848618687484,17.53937123,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,5,4,0,0,9
SOL-USDT,9,-60,40,450.0,21600,1000,885.9407066172798,-114.05929338272017,-23.522407027320043,-0.3514821206127614,-0.5063078327646214,-0.16700747879876482,0.2618705226820154,19.731792640000002,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,5,4,0,0,9
SOL-USDT,9,-60,40,500.0,21600,1000,896.9537208783499,-103.04627912165006,-15.792340474552018,-0.6586130612038892,-0.9177352746100339,-0.13561830973066982,0.15250949727129526,12.04299045,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,3,2,0,0,5
SOL-USDT,10,-60,40,50.0,21600,1000,1058.6674482561,58.66744825609999,-4.629318405600189,0.9988288431057205,1.5994481980896413,0.020972755430724903,0.082960097902257,2.29486137,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,4,4,0,0,8
SOL-USDT,10,-60,40,100.0,21600,1000,1117.33489502739,117.33489502739008,-8.603500146159869,1.0342663421365037,1.6620207189090423,0.04366659045560672,0.15928542370537707,4.58972266,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,4,4,0,0,8
SOL-USDT,10,-60,40,150.0,21600,1000,1176.00234243522,176.00234243522004,-12.052426499662833,1.066920580255301,1.7202600193135715,0.06758917808353107,0.2298537923435595,6.884583940000001,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,4,4,0,0,8
SOL-USDT,10,-60,40,200.0,21600,1000,1234.66979000268,234.66979000267997,-15.0737746583712,1.0971377048425512,1.7746903475855416,0.0923776207865937,0.2953868442104949,9.17944525,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,4,4,0,0,8
SOL-USDT,10,-60,40,250.0,21600,1000,1155.23799305848,155.23799305848001,-10.251459482044233,1.036075170016426,1.6670295132470057,0.06099704757485843,0.20059462105765427,8.28027797,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,3,3,0,0,6
SOL-USDT,10,-60,40,300.0,21600,1000,1186.2855920276802,186.2855920276802,-11.874454098656384,1.0511563956546652,1.694781933648182,0.0743351617879417,0.23591312884847224,9.936333560000001,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,3,3,0,0,6
SOL-USDT,10,-60,40,350.0,21600,1000,1039.97220369194,39.97220369193997,-2.9905632345086004,0.5839777311671025,0.9627782599140399,0.02688446774536607,0.023206498024661324,7.20104038,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,2,2,0,0,4
SOL-USDT,10,-60,40,400.0,21600,1000,1045.6825184178601,45.68251841786014,-3.41207237287,0.5870394530304935,0.9692575845039778,0.03091162588502118,0.02650215041972551,8.22976043,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,2,2,0,0,4
SOL-USDT,10,-60,40,450.0,21600,1000,1051.3928332658802,51.3928332658802,-3.838581420542013,0.5900869780050818,0.9757344778927991,0.034984971925017976,0.029793423585517856,9.25848049,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,2,2,0,0,4
SOL-USDT,10,-60,40,500.0,21600,1000,1018.2482974412,18.248297441199952,-2.736666672339993,0.35082434930380285,0.5081620895870668,0.011042061600638604,0.015478616172093358,5.09182501,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,1,1,0,0,2
SOL-USDT,11,-60,40,50.0,21600,1000,992.16156947896,-7.838430521039982,-6.908086233837294,-0.04639182282931745,-0.06716161656943846,-0.03944418857296368,0.10506915886191731,6.744020520000001,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,16,11,0,0,27
SOL-USDT,11,-60,40,100.0,21600,1000,984.3231392140101,-15.676860785989902,-13.563374658927183,-0.005547048951615563,-0.008091232933445927,-0.07344199345314438,0.21277955556422284,13.488040760000004,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,16,11,0,0,27
SOL-USDT,11,-60,40,150.0,21600,1000,983.09070160679,-16.90929839320995,-18.25848514222712,0.033683992944481274,0.04938873731427764,-0.08623976972375087,0.2733228151011778,19.48579237,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,15,11,0,0,26
SOL-USDT,11,-60,40,200.0,21600,1000,968.2813157213902,-31.71868427860977,-21.257574652700182,0.0003884878555618108,0.0005670023463445335,-0.10087844378917951,0.2960666515678442,20.86507848,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,12,9,0,0,21
SOL-USDT,11,-60,40,250.0,21600,1000,939.2722010770902,-60.727798922909756,-23.553919386131778,-0.0979307106824548,-0.14280014596084883,-0.12685844475434824,0.3025522834728349,20.975296150000002,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,10,7,0,0,17
SOL-USDT,11,-60,40,300.0,21600,1000,920.6452265470701,-79.35477345292986,-23.083093113791758,-0.1868533020658623,-0.2718936213027952,-0.1410084901392353,0.286986190695985,22.13771043,1000,1325.5703228088314,325.5703228088314,-29.54229645255564,9,6,0,0,15
