pair,cmo_period,oversold_value,overbought_value,entry_size,poloniex_period,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
ETH-USDC,8,-60,40,50.0,86400,1000,997.2177435141,-2.7822564859000067,-0.6340219926600099,-0.24307384250713843,-0.30849017799917916,-0.004623365995024222,0.0020283856126785856,0.48603171,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,1,1,0,0,2
ETH-USDC,8,-60,40,100.0,86400,1000,994.4354895961,-5.564510403900044,-1.2680434028600018,-0.2380817928178924,-0.3025780712705,-0.009176411468760595,0.004068780825278225,0.97206296,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,1,1,0,0,2
ETH-USDC,8,-60,40,150.0,86400,1000,991.6532356681,-8.346764331899976,-1.9020648140599974,-0.2330539513110124,-0.29660775091108804,-0.013657819305132133,0.006121350468322939,1.45809421,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,1,1,0,0,2
ETH-USDC,8,-60,40,200.0,86400,1000,988.8709817501001,-11.1290182498999,-2.5360862242600035,-0.22798991003993277,-0.29057826983924673,-0.018066235605085988,0.008186260927759688,1.94412546,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,1,1,0,0,2
ETH-USDC,8,-60,40,250.0,86400,1000,986.0887278321,-13.911272167900051,-3.170107634460009,-0.2228892560794025,-0.2844886607192007,-0.022400273029626955,0.01026368209294956,2.4301567100000003,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,1,1,0,0,2
ETH-USDC,8,-60,40,300.0,86400,1000,983.3064739040999,-16.693526095900097,-3.8041290456600056,-0.21775156993052006,-0.27833793352693115,-0.026658509748887095,0.012353787456776538,2.91618797,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,1,1,0,0,2
ETH-USDC,8,-60,40,350.0,86400,1000,980.5242174381999,-19.475782561800088,-4.4381510373200115,-0.21257642043097535,-0.2721250688881818,-0.030839492146204333,0.01445675615121923,3.40221966,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,1,1,0,0,2
ETH-USDC,8,-60,40,400.0,86400,1000,977.7419635202,-22.258036479800012,-5.072172447519989,-0.20736338452584296,-0.26584904128144493,-0.034941718517864526,0.016572765336924294,3.88825091,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,1,1,0,0,2
ETH-USDC,8,-60,40,450.0,86400,1000,974.9597096022001,-25.040290397799936,-5.706193857719995,-0.20211201802444334,-0.25950878334111477,-0.038963660871559336,0.01870200187200693,4.37428216,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,1,1,0,0,2
ETH-USDC,8,-60,40,500.0,86400,1000,972.1774556742,-27.82254432579998,-6.340215268920005,-0.19682187468836648,-0.25310320815199844,-0.04290270196077333,0.02084472669001919,4.86031341,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,1,1,0,0,2
ETH-USDC,9,-60,40,50.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,9,-60,40,100.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,9,-60,40,150.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,9,-60,40,200.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,9,-60,40,250.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,9,-60,40,300.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,9,-60,40,350.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,9,-60,40,400.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,0,0,0,0,0
ETH-USDC,9,-60,40,450.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,9,-60,40,500.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,50.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,100.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,150.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,200.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,250.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,300.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,350.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,400.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,450.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,10,-60,40,500.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,50.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,100.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,150.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,200.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,250.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,300.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,350.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,400.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,450.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,11,-60,40,500.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,50.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,100.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,150.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,200.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.4606173908555,1482.4606173908555,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,250.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,300.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,350.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,400.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,450.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,12,-60,40,500.0,86400,1000,1000,0.0,0.0,nan,nan,0.0,0.0,0,1000,2482.6154525487586,1482.6154525487586,-57.290445731891126,0,0,0,0,0
ETH-USDC,7,-60,40,50.0,21600,1000,999.3505812850001,-0.6494187149999107,-0.5794062921763179,-0.08757397325453273,-0.13211804028755697,-0.002023133926839782,0.004439974679778435,1.99678737,1000,1393.1677736808974,393.1677736808974,-19.848509579723565,4,4,0,0,8
