pair,cmo_period,oversold_value,overbought_value,entry_size,starting_capital,final_equity,net_profit,max_drawdown,sharpe_ratio,sortino_ratio,alpha,beta,fees_paid,starting_capital,final_benchmark_equity,final_benchmark_profit,benchmark_max_drawdown,longs,sells,shorts,covers,total_trades
BTC_USDT,8,-50,50,0.5,10,9.713519097351746,-0.286480902648254,-4.997740133639018,-1.1037290572725376,-1.4607736462864576,-0.1615785839681633,0.0552381347495734,0.0,10,17.569962522966883,7.5699625229668825,-22.764192399798684,4,3,0,0,7
DOGE_BTC,8,-50,50,0.5,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,129.14893617021278,119.14893617021278,-54.45544554455446,0,0,0,0,0
ETH_USDT,8,-50,50,0.5,10,11.585486829901097,1.5854868299010967,-3.249527438166569,2.741794241862421,6.561653945490334,0.08813593969062392,0.1053386160501951,0.0,10,26.668376845744245,16.668376845744245,-27.462674023024746,9,0,0,0,9
DOGE_USDT,8,-50,50,0.5,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,225.9010653654176,215.9010653654176,-38.917705624536495,0,0,0,0,0
ETH_BTC,8,-50,50,0.5,10,9.946029437436644,-0.05397056256335553,-0.5397056256335446,-2.1430058409093955,-2.143513270761477,-0.014492123453269902,0.00072254537132126,0.0,10,15.182321604622977,5.182321604622977,-32.69799170484362,3,0,0,0,3
XRP_USDT,8,-50,50,0.5,10,11.838056487438436,1.8380564874384362,-12.490670667112422,1.9144777929984516,3.7736259312024107,-0.16155311731340846,0.10312709076028446,0.0,10,60.17416864486998,50.17416864486998,-43.65692680664898,2,1,0,0,3
TRX_USDT,8,-50,50,0.5,10,9.803946920136044,-0.19605307986395637,-2.4561163336504666,-1.6505919096632964,-2.1136884489165073,-0.09768768774845832,0.009637402239326458,0.0,10,51.177454445870076,41.177454445870076,-38.107925620473154,1,1,0,0,2
BTC_USDC,8,-50,50,0.5,10,9.712571624231638,-0.28742837576836244,-5.02246806269126,-1.1054119005293717,-1.4635693597608723,-0.16184013952461754,0.055296799507345236,0.0,10,17.550339851461544,7.550339851461544,-22.826868142120656,4,3,0,0,7
XRP_BTC,8,-50,50,0.5,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,34.18663303909206,24.186633039092058,-50.23411371237459,0,0,0,0,0
LTC_USDT,8,-50,50,0.5,10,9.902056865453815,-0.09794313454618475,-7.5298563965516765,-0.20951116119566884,-0.32198732523280454,-0.18264172961432762,0.05823968800548941,0.0,10,25.757771889562104,15.7577718895621,-30.43487054228124,4,4,0,0,8
SRM_USDT,8,-50,50,0.5,10,10.575186571852173,0.5751865718521731,-3.4791135456138913,1.217494651411209,2.050045528958161,-0.14278407078869573,0.05455678653092236,0.0,10,53.707637244024234,43.707637244024234,-41.78437004934919,3,0,0,0,3
XMR_BTC,8,-50,50,0.5,10,10.701211864292166,0.7012118642921656,-0.9459186184492289,3.2132692441709088,7.871416618223152,0.09766636358549904,0.036871327724460015,0.0,10,19.874732570275448,9.874732570275448,-26.721669767050216,2,0,0,0,2
LTC_BTC,8,-50,50,0.5,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,14.678488909137787,4.678488909137787,-31.328675408783944,0,0,0,0,0
TRX_BTC,8,-50,50,0.5,10,11.8602888991089,1.8602888991089,-6.30882655629095,2.3085326667579933,5.310135467872893,-0.01554730606544349,0.14203891121648737,0.0,10,28.98876404494382,18.98876404494382,-32.28346456692911,5,2,0,0,7
ETC_USDT,8,-50,50,0.5,10,24.37134399828032,14.37134399828032,-15.454792248064313,3.171777287049003,9.576801712217971,-0.4189175522962646,0.4115336788285999,0.0,10,109.55906197934723,99.55906197934723,-37.78299363233098,13,0,0,0,13
ETH_USDC,8,-50,50,0.5,10,11.591775009631803,1.591775009631803,-3.2469379768545616,2.7403950578522034,6.460693433299613,0.09028534901325258,0.10506968989676707,0.0,10,26.633090557428556,16.633090557428556,-27.620408642145588,9,0,0,0,9
ATOM_BTC,8,-50,50,0.5,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,20.59558793096312,10.59558793096312,-38.47492423501812,0,0,0,0,0
EOS_BTC,8,-50,50,0.5,10,10.118184120311264,0.11818412031126435,-2.222158364753236,0.6139193623725506,1.0273196030085232,-0.0330197657649162,0.025196416224358597,0.0,10,21.4692580369148,11.469258036914802,-43.87694399592078,2,0,0,0,2
XEM_BTC,8,-50,50,0.5,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,9.714285714285715,-0.2857142857142847,-66.0163624921334,0,0,0,0,0
EOS_USDT,8,-50,50,0.5,10,9.99318698210342,-0.00681301789657951,-7.6678109269989205,0.025284997108194242,0.03774779653487368,-0.18464263329886504,0.04413418863067425,0.0,10,38.082797734663245,28.082797734663245,-41.293022412546456,3,2,0,0,5
BCH_USDT,8,-50,50,0.5,10,10.712383840712349,0.7123838407123486,-7.585088146569626,1.3466266401964244,2.7114351370364163,-0.12520434365768762,0.07880121055503778,0.0,10,34.583764955610356,24.583764955610356,-36.388100458627,3,2,0,0,5
ETC_BTC,8,-50,50,0.5,10,18.244158006580776,8.244158006580776,-15.603772871516222,2.7132855658948767,7.156262437870567,-0.05949714270299067,0.3094985974731648,0.0,10,62.59252831171086,52.59252831171086,-41.2660028449502,9,0,0,0,9
BCH_BTC,8,-50,50,0.5,10,10,0.0,0.0,nan,nan,0.0,0.0,0,10,19.493304847126463,9.493304847126463,-40.44083235052641,0,0,0,0,0
